POSTID,KEYFIELD,PRODUCT,GROUP,COV_CD,RES_BASE_C,COV_SEQ_NR,BEN_TERM,COV_ST_YR,COV_ST_MTH,ANN_BEF,ANN_1,ANN_2,ANN_INC_PC,ANN_INC_AM,ISS_YR_ANN,ISS_YR_MTH
100011700,100011700,TRAD,DIL,700,92,1,9999,1986,6,3252.00,,,,,1986,6
100021320,100021320,TRAD,DIL,700,92,1,9999,1986,7,917.00,,,0.00,,1986,7
100027390,100027390,TRAD,DIL,700,92,1,9999,1986,5,22787.00,,,,,1986,5
100028760,100028760,TRAD,DIL,700,92,1,9999,1986,8,1357.00,,,0.00,,1986,8
100035980,100035980,TRAD,DIL,700,92,1,9999,1986,9,54454.00,,,,,1986,9
100046660,100046660,TRAD,DIL,700,92,1,9999,1986,8,4722.00,3306.00,3306.00,0.00,,1986,8
100048000,100048000,TRAD,DIL,700,92,1,9999,1986,9,569.00,,,0.00,,1986,9
100052280,100052280,TRAD,DIL,900,61,1,9999,1986,10,1.00,,296.00,0.00,,1986,10
100065500,100065500,TRAD,DIL,700,92,1,9999,1986,12,1335.00,,,,,1986,12
100070230,100070230,TRAD,DIL,700,92,1,9999,1986,10,6672.00,,,0.00,,1986,10
100071880,100071880,TRAD,DIL,700,92,1,9999,1986,8,55.00,,,0.00,,1986,8
100079100,100079100,TRAD,DIL,700,92,1,9999,1986,11,6033.00,,,0.00,,1986,11
100082460,100082460,TRAD,DIL,700,92,1,9999,1986,7,86.00,86.00,56.00,0.00,,1986,7
100084480,100084480,TRAD,DIL,700,92,1,9999,1986,12,524.00,,,,,1986,12
100094180,100094180,TRAD,DIL,700,92,1,9999,1986,12,1330.00,,,,,1986,12
100110320,100110320,TRAD,DIL,700,92,1,9999,1986,12,3358.00,3358.00,3358.00,0.00,,1986,12
100115310,100115310,TRAD,DIL,700,92,1,9999,1986,12,3113.00,,,0.00,,1986,12
100120970,100120970,TRAD,DIL,700,92,1,9999,1986,12,79.00,,,,,1986,12
100125650,100125650,TRAD,DIL,700,92,1,9999,1986,11,573.00,,,0.00,,1986,11
100132200,100132200,TRAD,DIL,700,92,1,9999,1987,1,6378.00,,,,,1987,1
100135360,100135360,TRAD,DIL,700,92,1,9999,1987,2,5358.00,,,,,1987,2
100135640,100135640,TRAD,DIL,700,92,1,9999,1987,1,3744.00,,,,,1987,1
100143780,100143780,TRAD,DIL,700,92,1,9999,1987,1,2351.00,,,,,1987,1
100146820,100146820,TRAD,DIL,700,92,1,9999,1987,2,9418.00,6592.00,6592.00,0.00,,1987,2
100148230,100148230,TRAD,DIL,700,92,1,9999,1987,1,3521.00,,,0.00,,1987,1
100174120,100174120,TRAD,DIL,700,92,1,9999,1987,3,1528.00,,,0.00,,1987,3
100177500,100177500,TRAD,DIL,700,92,1,9999,1987,2,724.00,,,,,1987,2
100178630,100178630,TRAD,DIL,700,92,1,9999,1987,4,1109.00,,,,,1987,4
100185840,100185840,TRAD,DIL,700,92,1,9999,1987,4,6125.00,,,,,1987,4
100190340,100190340,TRAD,DIL,900,61,1,9999,1986,12,1.00,1975.00,,0.00,,1986,12
100193970,100193970,TRAD,DIL,700,92,1,9999,1987,4,9919.00,,,,,1987,4
100200010,100200010,TRAD,DIL,700,92,1,9999,1987,5,5426.00,5426.00,3799.00,0.00,,1987,5
100200970,100200970,TRAD,DIL,700,92,1,9999,1987,5,2798.00,,,,,1987,5
100202540,100202540,TRAD,DIL,700,92,1,9999,1987,5,1997.00,,,0.00,,1987,5
100203510,100203510,TRAD,DIL,700,92,1,9999,1987,5,4481.00,,,,,1987,5
100206920,100206920,TRAD,DIL,700,92,1,9999,1987,6,19504.00,,,,,1987,6
100207130,100207130,TRAD,DIL,700,92,1,9999,1987,5,257.00,,,,,1987,5
100207730,100207730,TRAD,DIL,900,61,1,9999,1986,12,1.00,2683.00,,0.00,,1986,12
100207960,100207960,TRAD,DIL,700,92,1,9999,1986,12,9206.00,9206.00,9206.00,0.00,,1986,12
100212440,100212440,TRAD,DIL,700,92,1,9999,1987,3,1703.00,,,,,1987,3
100212720,100212720,TRAD,DIL,700,92,1,9999,1987,7,6064.00,,,0.00,,1987,7
100217210,100217210,TRAD,DIL,700,92,1,9999,1987,12,542.00,,,,,1987,12
100233030,100233030,TRAD,DIL,700,92,1,9999,1987,5,434.00,,,0.00,,1987,5
100242670,100242670,TRAD,DIL,700,92,1,9999,1987,7,4176.00,,,,,1987,7
100245010,100245010,TRAD,DIL,700,92,1,9999,1987,8,342.00,342.00,239.00,0.00,,1987,8
100247010,100247010,TRAD,DIL,700,92,1,9999,1987,8,1023.00,,,,,1987,8
100251730,100251730,TRAD,DIL,700,92,1,9999,1987,9,7728.00,,,,,1987,9
100256260,100256260,TRAD,DIL,700,92,1,9999,1987,8,2098.00,,,0.00,,1987,8
100256490,100256490,TRAD,DIL,700,92,1,9999,1987,8,2635.00,,,,,1987,8
100257480,100257480,TRAD,DIL,700,92,1,9999,1987,9,1359.00,,,0.00,,1987,9
100260620,100260620,TRAD,DIL,700,92,1,9999,1987,6,24973.00,,,0.00,,1987,6
100265410,100265410,TRAD,DIL,700,92,1,9999,1986,11,914.00,,,0.00,,1986,11
100271200,100271200,TRAD,DIL,700,92,1,9999,1987,8,1615.00,,,,,1987,8
100279220,100279220,TRAD,DIL,700,92,1,9999,1987,11,48858.00,,,0.00,,1987,11
100286690,100286690,TRAD,DIL,700,92,1,9999,1987,12,2045.00,,,,,1987,12
100287300,100287300,TRAD,DIL,700,92,1,9999,1986,11,905.00,,,0.00,,1986,11
100292710,100292710,TRAD,DIL,700,92,1,9999,1986,11,959.00,,,0.00,,1986,11
100294970,100294970,TRAD,DIL,700,92,1,9999,1987,12,3208.00,,,0.00,,1987,12
