POSTID,PRODUCT,PRODBOOMCD,GROUP,NB_IF,RECORDNO,PAID_UP,NO_POL,NO_INS,SALES_CHAN,INTERMED,LEG_ENTITY,ISS_YR,ISS_MTH,SEX_1,AGE_ISS_1,DOB_YR_1,DOB_MTH_1,AGE_ADJ_1,SEX_2,AGE_ISS_2,DOB_YR_2,DOB_MTH_2,AGE_ADJ_2,PERSTPCD,PROFIT_GRP,TARCD,BEN_TERM,SINGLE_PR,PREMPAY_CD,PREM_FREQ,PREM_SUM_V,RC_RATE_PC,BASISCOM_P,SCORECOM_P,BASISCOM_U,SCORECOM_U,RESTEARNTR,CURRENCY,STATU_RES,STATU_ADM,ANN_FREQ,RSK_INIT,RSK_OUTSTA,RID_RES,RID_IBNR,RID_AGERES,UNEARNPREM,PROD_KD
100011700,TRAD,DIL,1,IF,1,Y,1,1,MVI,628420,A,1986,6,F,57.00,1929,6,0,O,,,,,N,Z,DIL,9999,0.45,C,Q,0.45,1.50,0.01,,0.00,,0.00,EUR,17709.00,177.00,Q,,,,,,0.00,99
100459330,TRAD,DIL,1,IF,97,Y,1,2,MVI,830000,A,1988,8,M,47.17,1941,6,0,F,43.08,1945,6,0,N,Z,DIL,9999,51904.69,C,Q,51904.69,1.50,778.57,,0.00,,0.00,EUR,38569.00,386.00,Q,,,,,,2469.33,99
100712410,TRAD,DIL,1,IF,193,Y,1,1,MVI,632703,A,1989,11,F,50.00,1939,10,0,O,,,,,N,Z,DIL,9999,0.00,P,Q,0.00,1.50,0.00,,0.00,,0.00,EUR,65256.00,653.00,Q,,,,,,4767.33,99
100895420,TRAD,DIL,1,IF,289,Y,1,2,MVI,270314,A,1990,1,M,46.58,1943,5,0,F,49.17,1940,10,,N,Z,DIL,9999,8490.23,C,Q,8490.23,1.50,127.35,,0.00,,0.00,EUR,7417.00,369.00,Q,,,,,,2475.00,99
101175060,TRAD,DIL,1,IF,385,Y,1,1,MVI,857763,A,1991,9,F,56.50,1935,2,0,O,,,,,N,Z,DIL,9999,73132.13,C,Q,73132.13,1.50,1096.98,,0.00,,0.00,EUR,48644.00,486.00,H,,,,,,4396.00,99
101460650,TRAD,DIL,1,IF,481,Y,1,1,MVI,854802,A,1992,1,F,56.50,1935,6,0,O,,,,,N,Z,DIL,9999,298634.58,C,Q,298634.58,1.50,4479.52,,0.00,,0.00,EUR,195699.00,1957.00,Q,,,,,,26100.00,99
101654890,TRAD,DIL,1,IF,577,Y,1,1,MVI,172114,A,1993,2,F,58.83,1934,3,0,O,,,,,N,Z,DIL,9999,0.00,P,Q,0.00,1.50,0.00,,0.00,,0.00,EUR,63040.00,630.00,Q,,,,,,5964.67,99
102001740,TRAD,DIL,1,IF,673,Y,1,1,MVI,860957,A,1994,2,F,63.00,1931,1,0,O,,,,,N,Z,DIL,9999,59331.76,C,Q,59331.76,1.50,889.98,,0.00,,0.00,EUR,25166.00,252.00,Q,,,,,,2817.33,99
102520440,TRAD,DIL,1,IF,769,Y,1,1,MVI,854810,A,1995,7,F,35.25,1960,3,0,O,,,,,N,Z,DIL,356,50233.92,C,Q,50233.92,1.50,753.51,,0.00,,0.00,EUR,10706.00,107.00,M,,,,,,,99
104515810,TRAD,DIL,1,IF,865,Y,1,1,MVI,761072,A,1997,6,F,57.92,1939,7,0,O,,,,,N,Z,DIL,9999,39374.51,C,M,39374.51,1.50,590.62,,0.00,,0.00,EUR,26033.00,260.00,M,,,,,,,99
