keyfield,postid,product,group,kstvlgnr,kstcd,ksttotbd,kstvbgjr,kstvbgmd,chgperiod,recordno
608319800,608319800,CHARGE,chg,1,1.0,48.0,2008,11,120.0,1
608319800,608319800,CHARGE,chg,2,1.0,7.32,2008,11,120.0,2
608321030,608321030,CHARGE,chg,1,1.0,0.24,2010,1,120.0,3
608321030,608321030,CHARGE,chg,2,1.0,0.0,2010,1,120.0,4
608324330,608324330,CHARGE,chg,1,1.0,19.8,2007,12,120.0,5
608324330,608324330,CHARGE,chg,2,1.0,3.0,2007,12,120.0,6
608325730,608325730,CHARGE,chg,1,1.0,28.68,2011,3,120.0,7
608325730,608325730,CHARGE,chg,2,1.0,4.44,2011,3,120.0,8
608327970,608327970,CHARGE,chg,1,1.0,0.36,2008,1,120.0,9
608327970,608327970,CHARGE,chg,2,1.0,0.12,2008,1,120.0,10
608332660,608332660,CHARGE,chg,1,1.0,63.59,2007,11,106.0,11
608332680,608332680,CHARGE,chg,1,1.0,67.64,2007,11,106.0,12
608342070,608342070,CHARGE,chg,1,1.0,0.12,2008,1,120.0,13
608342070,608342070,CHARGE,chg,2,1.0,0.0,2008,1,120.0,14
608346210,608346210,CHARGE,chg,1,1.0,0.12,2012,8,120.0,15
608351910,608351910,CHARGE,chg,1,1.0,68.16,2009,1,120.0,16
608351910,608351910,CHARGE,chg,2,1.0,10.44,2009,1,120.0,17
608356740,608356740,CHARGE,chg,1,1.0,13.2,2014,11,120.0,18
608356740,608356740,CHARGE,chg,2,1.0,1.92,2014,11,120.0,19
608361750,608361750,CHARGE,chg,1,1.0,1.92,2008,1,120.0,20
608361750,608361750,CHARGE,chg,2,1.0,0.36,2008,1,120.0,21
608374650,608374650,CHARGE,chg,1,1.0,0.24,2008,7,120.0,22
608374650,608374650,CHARGE,chg,2,1.0,0.0,2008,7,120.0,23
608381170,608381170,CHARGE,chg,2,1.0,0.12,2008,8,120.0,24
608381170,608381170,CHARGE,chg,1,1.0,0.48,2008,8,120.0,25
608384170,608384170,CHARGE,chg,1,1.0,0.12,2012,10,120.0,26
608385240,608385240,CHARGE,chg,1,1.0,71.52,2007,11,22.0,27
608385240,608385240,CHARGE,chg,2,1.0,11.04,2007,11,22.0,28
608385290,608385290,CHARGE,chg,1,1.0,119.76,2007,11,23.0,29
608385290,608385290,CHARGE,chg,2,1.0,18.36,2007,11,23.0,30
608385330,608385330,CHARGE,chg,1,1.0,105.72,2007,11,22.0,31
608385330,608385330,CHARGE,chg,2,1.0,16.2,2007,11,22.0,32
608385480,608385480,CHARGE,chg,1,1.0,291.12,2007,11,22.0,33
608385480,608385480,CHARGE,chg,2,1.0,44.76,2007,11,22.0,34
608385500,608385500,CHARGE,chg,1,1.0,177.48,2007,11,22.0,35
608385500,608385500,CHARGE,chg,2,1.0,27.24,2007,11,22.0,36
608385560,608385560,CHARGE,chg,2,1.0,3.84,2007,11,22.0,37
608385560,608385560,CHARGE,chg,1,1.0,24.96,2007,11,22.0,38
608385720,608385720,CHARGE,chg,1,1.0,1.56,2018,10,120.0,39
608385720,608385720,CHARGE,chg,2,1.0,9.96,2018,10,120.0,40
608385790,608385790,CHARGE,chg,1,1.0,98.16,2007,11,22.0,41
608385790,608385790,CHARGE,chg,2,1.0,15.12,2007,11,22.0,42
608385820,608385820,CHARGE,chg,1,1.0,40.44,2007,11,22.0,43
608385820,608385820,CHARGE,chg,2,1.0,6.24,2007,11,22.0,44
608385940,608385940,CHARGE,chg,1,1.0,126.48,2007,11,22.0,45
608385940,608385940,CHARGE,chg,2,1.0,19.44,2007,11,22.0,46
608385970,608385970,CHARGE,chg,1,1.0,92.52,2007,11,22.0,47
608385970,608385970,CHARGE,chg,2,1.0,14.16,2007,11,22.0,48
608386050,608386050,CHARGE,chg,2,1.0,6.12,2007,11,22.0,49
608386050,608386050,CHARGE,chg,1,1.0,39.72,2007,11,22.0,50
608386150,608386150,CHARGE,chg,1,1.0,104.28,2007,11,23.0,51
608386150,608386150,CHARGE,chg,2,1.0,15.96,2007,11,23.0,52
608386160,608386160,CHARGE,chg,1,1.0,11.88,2007,11,22.0,53
608386160,608386160,CHARGE,chg,2,1.0,1.8,2007,11,22.0,54
608386200,608386200,CHARGE,chg,1,1.0,89.64,2007,11,22.0,55
608386200,608386200,CHARGE,chg,2,1.0,13.8,2007,11,22.0,56
608386670,608386670,CHARGE,chg,1,1.0,48.72,2007,11,23.0,57
608386670,608386670,CHARGE,chg,2,1.0,7.44,2007,11,23.0,58
608386680,608386680,CHARGE,chg,1,1.0,35.64,2007,11,23.0,59
608386680,608386680,CHARGE,chg,2,1.0,5.52,2007,11,23.0,60
608386710,608386710,CHARGE,chg,2,1.0,3.84,2007,11,22.0,61
608386710,608386710,CHARGE,chg,1,1.0,25.44,2007,11,22.0,62
608386720,608386720,CHARGE,chg,1,1.0,110.88,2007,11,22.0,63
608386720,608386720,CHARGE,chg,2,1.0,17.04,2007,11,22.0,64
608386880,608386880,CHARGE,chg,1,1.0,69.12,2007,11,23.0,65
608386880,608386880,CHARGE,chg,2,1.0,10.56,2007,11,23.0,66
608386930,608386930,CHARGE,chg,1,1.0,61.2,2007,11,23.0,67
608386930,608386930,CHARGE,chg,2,1.0,9.36,2007,11,23.0,68
608387080,608387080,CHARGE,chg,1,1.0,150.24,2007,11,23.0,69
608387080,608387080,CHARGE,chg,2,1.0,23.04,2007,11,23.0,70
608387100,608387100,CHARGE,chg,1,1.0,58.2,2007,11,23.0,71
608387100,608387100,CHARGE,chg,2,1.0,9.0,2007,11,23.0,72
608387280,608387280,CHARGE,chg,1,1.0,90.0,2007,11,23.0,73
608387280,608387280,CHARGE,chg,2,1.0,13.8,2007,11,23.0,74
608387530,608387530,CHARGE,chg,2,1.0,8.04,2007,11,23.0,75
608387530,608387530,CHARGE,chg,1,1.0,52.68,2007,11,23.0,76
608387540,608387540,CHARGE,chg,1,1.0,70.92,2007,11,23.0,77
608387540,608387540,CHARGE,chg,2,1.0,10.92,2007,11,23.0,78
608387550,608387550,CHARGE,chg,1,1.0,53.64,2007,11,23.0,79
608387550,608387550,CHARGE,chg,2,1.0,8.28,2007,11,23.0,80
608387560,608387560,CHARGE,chg,1,1.0,76.2,2007,11,23.0,81
608387560,608387560,CHARGE,chg,2,1.0,11.64,2007,11,23.0,82
608387670,608387670,CHARGE,chg,1,1.0,150.72,2007,11,23.0,83
608387670,608387670,CHARGE,chg,2,1.0,23.16,2007,11,23.0,84
608387680,608387680,CHARGE,chg,1,1.0,84.72,2007,11,23.0,85
608387680,608387680,CHARGE,chg,2,1.0,12.96,2007,11,23.0,86
608387760,608387760,CHARGE,chg,2,1.0,12.96,2007,11,24.0,87
608387760,608387760,CHARGE,chg,1,1.0,84.48,2007,11,24.0,88
608388010,608388010,CHARGE,chg,1,1.0,96.12,2007,11,23.0,89
608388010,608388010,CHARGE,chg,2,1.0,14.76,2007,11,23.0,90
608388110,608388110,CHARGE,chg,1,1.0,239.16,2007,11,23.0,91
608388110,608388110,CHARGE,chg,2,1.0,36.72,2007,11,23.0,92
608388150,608388150,CHARGE,chg,1,1.0,94.92,2007,11,23.0,93
608388150,608388150,CHARGE,chg,2,1.0,14.52,2007,11,23.0,94
608388180,608388180,CHARGE,chg,1,1.0,51.0,2007,11,23.0,95
608388180,608388180,CHARGE,chg,2,1.0,7.8,2007,11,23.0,96
608388360,608388360,CHARGE,chg,1,1.0,57.36,2007,11,23.0,97
