keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608310930,608310930,FUND,AXENT,003,414.3597,9549,100.0,SCHAKELSPAAR,SCHAKELSPAAR,395.5354,18.8243,0.0,1
608310980,608310980,FUND,AXENT,003,217.7302,4573,0.0,SCHAKELSPAAR,SCHAKELSPAAR,210.478,7.2522,0.0,2
608311020,608311020,FUND,AXENT,012,1271.9769999999999,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1249.5455,22.4315,0.0,3
608311320,608311320,FUND,AXENT,012,829.9323,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,824.9949,4.9374,0.0,4
608311360,608311360,FUND,AXENT,012,1444.4134,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1424.08,20.3334,0.0,5
608311640,608311640,FUND,AXENT,012,621.7754,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,619.8728,1.9026,0.0,6
608311670,608311670,FUND,AXENT,003,493.4617,13315,100.0,SCHAKELSPAAR,SCHAKELSPAAR,487.7269,5.7348,0.0,7
608311710,608311710,FUND,AXENT,003,2661.9788,58401,100.0,SCHAKELSPAAR,SCHAKELSPAAR,2585.2893,76.6895,0.0,8
608311750,608311750,FUND,AXENT,003,485.2488,12246,100.0,SCHAKELSPAAR,SCHAKELSPAAR,475.594,9.6548,0.0,9
608311760,608311760,FUND,AXENT,012,207.5756,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,204.8323,2.7433,0.0,10
608311800,608311800,FUND,AXENT,002,837.3389,34181,100.0,SCHAKELSPAAR,SCHAKELSPAAR,824.0219,13.317,0.0,11
608311900,608311900,FUND,AXENT,012,192.2909,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,191.3157,0.9752,0.0,12
608312130,608312130,FUND,AXENT,012,637.9975,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,620.9471,17.0504,0.0,13
608312200,608312200,FUND,AXENT,003,513.3912,14045,100.0,SCHAKELSPAAR,SCHAKELSPAAR,511.4642,1.927,0.0,14
608312210,608312210,FUND,AXENT,003,760.3747,20755,100.0,SCHAKELSPAAR,SCHAKELSPAAR,756.0036,4.3711,0.0,15
608312270,608312270,FUND,AXENT,012,982.5379,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,956.4509,26.087,0.0,16
608312360,608312360,FUND,AXENT,003,1032.6158,27371,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1025.03,7.5858,0.0,17
608312420,608312420,FUND,AXENT,003,463.5734,10531,100.0,SCHAKELSPAAR,SCHAKELSPAAR,444.0451,19.5283,0.0,18
608312600,608312600,FUND,AXENT,012,1424.2006,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1384.7341,39.4665,0.0,19
608312730,608312730,FUND,AXENT,012,1422.5334,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1351.988,70.5454,0.0,20
608312800,608312800,FUND,AXENT,003,128.6976,2135,100.0,SCHAKELSPAAR,SCHAKELSPAAR,125.3658,3.3318,0.0,21
