postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608307870,SPAARKAS,SCHAKELSPAAR,1,IF,1,N,1,1,ASB,,C,0,0,M,1997,8,M,26.33,1971,3,0,,,,,,N,F,SCHAKELSPAAR,F,348,0,0,0,0,,,
608502010,SPAARKAS,SCHAKELSPAAR,1,IF,2,N,1,1,ASB,,C,0,0,M,2001,9,F,24.58,1977,1,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
608502840,SPAARKAS,SCHAKELSPAAR,1,IF,3,Y,1,1,MVI,,C,0,0,M,2001,9,M,30.58,1971,1,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
608503830,SPAARKAS,SCHAKELSPAAR,1,IF,4,Y,1,1,ASB,,C,0,0,M,2001,10,M,37.08,1964,8,0,,,,,,N,F,SCHAKELSPAAR,F,334,0,0,0,0,,,
608504730,SPAARKAS,SCHAKELSPAAR,1,IF,5,Y,1,1,ASB,,C,0,0,M,2001,10,M,41.08,1960,8,0,,,,,,N,F,SCHAKELSPAAR,F,286,0,0,0,0,,,
608505860,SPAARKAS,SCHAKELSPAAR,1,IF,6,Y,1,1,ASB,,C,0,0,M,2001,10,M,39.33,1962,5,0,,,,,,N,F,SCHAKELSPAAR,F,307,0,0,0,0,,,
608506720,SPAARKAS,SCHAKELSPAAR,1,IF,7,N,1,1,ASB,,C,0,0,M,2001,10,M,22.42,1979,4,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
608335920,SPAARKAS,SCHAKELSPAAR,1,IF,8,N,1,1,ASB,,C,0,0,M,1998,4,M,21.67,1976,7,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
608507310,SPAARKAS,SCHAKELSPAAR,1,IF,9,Y,1,1,ASB,,C,0,0,M,2001,10,F,27.58,1974,2,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
608508290,SPAARKAS,SCHAKELSPAAR,1,IF,10,N,1,1,MVI,,C,0,0,M,2001,11,M,28.33,1973,6,0,,,,,,N,F,SCHAKELSPAAR,F,360,0,0,0,0,,,
