fileid,assumptionid,assumptionname,domain,ValidFrom,ValidTo
4863,496,UR1 Population Mortality Shockfactors,SAD,2022-12-31 00:00:00,2023-04-25 23:59:59
3668,623,Life_RAFM_lapse_shock_domain,Finance Information Management,2010-01-01 00:00:00,2030-01-01 23:59:59
4913,588,UR1_Experience_factors_IL_shock,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
3786,683,UR3c Lapse Contagion Shock IFRS17,SAD,2021-12-30 00:00:00,2023-11-30 23:59:59
5217,101,ProxySAD_curves,SAD,2022-12-30 00:00:00,2022-12-31 23:59:59
5063,406,UR5 BE BLL maintenance expenses,SAD,2022-12-31 00:00:00,2023-06-29 23:59:59
4686,667,lapse_mult_sa,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
3676,914,NL_Life_RAFM_inv_ret_fund_AVN,Finance Information Management,2010-01-01 00:00:00,2030-01-01 23:59:59
4914,44,UR1_Experience_factors_IL_BE,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
4693,663,lapse_mult_polyr,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
4821,822,Mortgages_CPR_settings_fixed,SAD,2022-12-31 00:00:00,2023-12-30 23:59:59
5084,995,Aegon_Life_Weighted_Average_Discount_Rates,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
4688,665,lapse_mult_remyrs,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
4679,671,pup_mult_remyrs,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
3597,912,NL_Life_RAFM_Fund_table_AVN,Finance Information Management,2018-01-01 00:00:00,2022-12-31 23:59:59
3136,797,UR1 Experience Factors Individual Life Shock - Gender neutral,SAD,2021-11-30 00:00:00,2023-11-30 23:59:59
4676,674,pup_mult_fv,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5038,442,Interest_LAT_and_EF,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
5159,447,Interest_DNB_LTG,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
4687,666,lapse_mult_prem,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
4675,675,Lapse_pp,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
4674,677,pup_rates,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5039,441,Interest_Market,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
2068,494,NL_Life_Multi_Expenses,Finance Information Management,2010-01-01 00:00:00,2030-01-01 23:59:59
5056,669,pup_mult_polyr,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5124,445,Interest_SII_EIOPA,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
4425,684,Interest_UFR_CRA_VA_drag,SAD,2022-12-30 00:00:00,2022-12-31 23:59:59
2522,495,NL_Life_Multi_Other_Fund_Costs,Finance Information Management,2021-12-01 00:00:00,2030-12-31 23:59:59
2585,679,lapse_mult_ind,SAD,2021-12-31 00:00:00,2023-11-30 23:59:59
4680,672,pup_mult_prem,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
4851,7,UR1 Population Mortality BE,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
4689,664,lapse_mult_age,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5057,443,Interest_SII_Aegon,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
4908,438,UR1 Experience Factors Individual Life Shock IFRS17,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
5214,1001,NL_Life_RAFM_koersen_file,Finance Information Management,2022-12-31 00:00:00,2023-01-02 23:59:59
3787,10,UR1 Mortality Contagion Shock,SAD,2021-12-31 00:00:00,2023-11-30 23:59:59
5201,658,Life_RAFM_Currency,Finance Information Management,2022-12-31 00:00:00,2022-12-31 23:59:59
1255,750,UR3c Standard Formula,SAD,2020-12-31 00:00:00,2023-11-30 23:59:59
4859,70,UR1 Experience Factors Group Pensions Best Estimate,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
4673,678,pup_rates_Z,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5059,933,Interest_IFRS17,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
1256,751,UR3p Policyholder Behaviour Shock,SAD,2020-12-31 00:00:00,2023-11-30 23:59:59
5117,953,Interest_SIIsensitivities,SAD,2022-12-31 00:00:00,2022-12-31 23:59:59
2795,749,SA management fee and rebate BLL,SAD,2021-12-31 00:00:00,2023-11-30 23:59:59
4684,668,lapse_mult_fv,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
5636,11,UR1 Mortality permanent shock,SAD,2022-12-31 00:00:00,2025-11-30 23:59:59
2862,805,Life_RAFM_inv_ret_fund,Finance Information Management,2021-12-01 00:00:00,2022-12-31 23:59:59
4856,281,UR1 Population Mortality shockfactors IFRS17,SAD,2022-12-31 00:00:00,2023-11-30 23:59:59
2727,985,Life_RAFM_Fund_Table_Axent,Finance Information Management,2019-12-31 00:00:00,2030-01-01 23:59:59
4681,670,pup_mult_age,SAD,2022-12-30 00:00:00,2023-11-30 23:59:59
