fund_number,fund_name,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
1,Eurofonds,1.0,0,0,0,0,0,0.062
2,0,1.0,0,0,0,0,0,0.062
3,0,1.0,0,0,0,0,0,0.062
4,0,1.0,0,0,0,0,0,0.062
5,0,1.0,0,0,0,0,0,0.062
6,0,1.0,0,0,0,0,0,0.062
7,0,1.0,0,0,0,0,0,0.062
8,0,1.0,0,0,0,0,0,0.062
9,0,1.0,0,0,0,0,0,0.062
10,0,1.0,0,0,0,0,0,0.062
11,0,1.0,0,0,0,0,0,0.062
12,0,1.0,0,0,0,0,0,0.062
13,0,1.0,0,0,0,0,0,0.062
14,BNPParibasObamN.V.,1.0,0,0,2,0,0,0.062
15,RobecoGlobalStartsEquityFund,1.0,0,0,2,0,0,0.062
16,0,1.0,0,0,0,0,0,0.062
17,RolincoN.V.,1.0,0,0,2,0,0,0.062
18,RobecoGlobalTotalReturnBond,1.0,0,0,2,0,0,0.062
19,KAPITAALMARKTREKENING,1.0,1,1,0,0,0,0.062
20,MAATSCHAPPIJBELEGGING,1.0,0,0,2,0,1,0.062
21,0,1.0,0,0,0,0,0,0.062
22,AUD,1.0,0,0,0,0,0,0.062
23,0,1.0,0,0,0,0,0,0.062
24,0,1.0,0,0,0,0,0,0.062
25,0,1.0,0,0,0,0,0,0.062
26,ParworldTrackEMU,1.0,0,0,2,0,0,0.062
27,BNPParibasESGNetherlandsIndexFund,1.0,0,0,2,0,0,0.062
28,BNPParibasL1MultiAssetIncomePrivilege,1.0,0,0,2,0,0,0.062
29,0,1.0,0,0,0,0,0,0.062
30,WERELDHAVE,1.0,0,0,2,0,0,0.062
31,0,1.0,0,0,0,0,0,0.062
32,OptimixMixFund,1.0,0,0,1,0,0,0.062
33,0,1.0,0,0,0,0,0,0.062
34,GBP,1.0,0,0,0,0,0,0.062
35,0,1.0,0,0,0,0,0,0.062
36,0,1.0,0,0,0,0,0,0.062
37,USD,1.0,0,0,0,0,0,0.062
38,0,1.0,0,0,0,0,0,0.062
39,0,1.0,0,0,0,0,0,0.062
40,GARANTIEFONDS,1.0,1,1,0,0,0,0.062
41,GARANTIEFONDS,1.0,1,1,0,0,0,0.062
42,ROYALDUTCHSHELL,1.0,0,0,2,0,0,0.062
43,UNILEVER,1.0,0,0,2,0,0,0.062
44,0,1.0,0,0,0,0,0,0.062
45,0,1.0,0,0,0,0,0,0.062
46,GARANTIEFONDS,1.0,1,1,0,0,0,0.062
47,AllianzPacificAandelenFonds,1.0,0,0,2,0,0,0.062
48,GELDMARKTREKENING,1.0,0,0,0,0,0,0.062
49,0,1.0,0,0,0,0,0,0.062
50,GARANTIEFONDS,1.0,1,1,0,0,0,0.062
51,ASNDuurzaamMixfonds,1.0,0,0,1,0,0,0.062
52,AKZONOBEL,1.0,0,0,2,0,0,0.062
53,HEINEKEN,1.0,0,0,2,0,0,0.062
54,Elsevier,1.0,0,0,2,0,0,0.062
55,INGGROEP,1.0,0,0,2,0,0,0.062
56,AHOLD,1.0,0,0,2,0,0,0.062
57,ROYALBANKOFSCOTLAND,1.0,0,0,2,0,0,0.062
58,0,1.0,0,0,0,0,0,0.062
59,AllianzSelectieFonds,1.0,0,0,2,0,0,0.062
60,INGGlobalObligatieFonds,1.0,0,0,0,0,0,0.062
61,RobecoHollandsBezit,1.0,0,0,2,0,0,0.062
62,0,1.0,0,0,0,0,0,0.062
63,0,1.0,0,0,0,0,0,0.062
64,0,1.0,0,0,0,0,0,0.062
65,0,1.0,0,0,0,0,0,0.062
66,AEGON,1.0,0,0,2,0,0,0.062
67,0,1.0,0,0,0,0,0,0.062
68,0,1.0,0,0,0,0,0,0.062
69,RANDSTADHOLDING,1.0,0,0,2,0,0,0.062
70,SBMOFFSHORE,1.0,0,0,2,0,0,0.062
71,0,1.0,0,0,0,0,0,0.062
72,WOLTERSKLUWER,1.0,0,0,2,0,0,0.062
73,KempenOrangeFundNV,1.0,0,0,2,0,0,0.062
74,AEGONDutchEquityIndexFund,1.0,0,0,2,0,1,0.062
75,0,1.0,0,0,0,0,0,0.062
76,AEGONRenteFund,1.0,1,2,0,0,1,0.062
77,NNInformationTechnologyFund,1.0,0,0,2,0,0,0.062
78,AEGONMixFund,1.0,1,2,1,0,1,0.062
79,NNEquityInvestmentFundNV,1.0,0,0,2,0,0,0.062
80,InsingerdeBeaufortEuropeanMidCapNV,1.0,0,0,2,0,0,0.062
81,GARANTIEFONDS,1.0,1,1,0,0,0,0.062
82,BrightNewWorldBeleggingsfonds,1.0,0,0,2,0,0,0.062
83,0,1.0,0,0,0,0,0,0.062
84,ASMLHOLDING,1.0,0,0,2,0,0,0.062
85,0,1.0,0,0,0,0,0,0.062
86,KONINKLIJKEKPN,1.0,0,0,2,0,0,0.062
87,NNEuropaDuurzaamAandelenFonds,1.0,0,0,2,0,0,0.062
88,RobecoAllStrategyEuroBonds,1.0,0,0,0,0,0,0.062
89,RobecoCapgrNewWorldFinancialsD,1.0,0,0,2,0,0,0.062
90,RobecoSAMsustainableHealthLivingFund,1.0,0,0,2,0,0,0.062
91,RobecoGlobalConsumerTrendsD,1.0,0,0,2,0,0,0.062
92,0,1.0,0,0,0,0,0,0.062
93,0,1.0,0,0,0,0,0,0.062
94,0,1.0,0,0,0,0,0,0.062
95,0,1.0,0,0,0,0,0,0.062
96,0,1.0,0,0,0,0,0,0.062
97,ASNDuurzaamAandelenfonds,1.0,0,0,2,0,0,0.062
98,TriodosSustainableMixedFund,1.0,0,0,1,0,0,0.062
99,0,1.0,0,0,0,0,0,0.062
100,0,1.0,0,0,0,0,0,0.062
101,UNIBAIL-RODAMCO,1.0,0,0,2,0,0,0.062
102,0,1.0,0,0,0,0,0,0.062
103,0,1.0,0,0,0,0,0,0.062
104,AEGONRenteFund,1.0,1,2,0,0,1,0.062
105,AEGONMixFund,1.0,1,2,1,0,1,0.062
106,OptimixAmericaFund,1.0,0,0,2,0,0,0.062
107,OptimixEuropeFund,1.0,0,0,2,0,0,0.062
108,0,1.0,0,0,0,0,0,0.062
109,InsingerMultiManagerEquityC,1.0,0,0,2,0,0,0.062
110,InsingerMultiManagerBalancedC,1.0,0,0,1,0,0,0.062
111,0,1.0,0,0,0,0,0,0.062
112,ComfortMixFund(=AEGONMixFund),1.0,0,0,1,0,1,0.062
113,0,1.0,0,0,0,0,0,0.062
114,ComfortAandelenFund(=AEGONEquityFund),1.0,0,0,2,0,1,0.062
115,DeltaLloydL-GlobalFund-A,1.0,0,0,2,0,0,0.062
116,DeltaLloydL-CyrteGlobalFund,1.0,0,0,2,0,0,0.062
117,0,1.0,0,0,0,0,0,0.062
118,0,1.0,0,0,0,0,0,0.062
119,0,1.0,0,0,0,0,0,0.062
120,0,1.0,0,0,0,0,0,0.062
121,0,1.0,0,0,0,0,0,0.062
122,0,1.0,0,0,0,0,0,0.062
123,0,1.0,0,0,0,0,0,0.062
124,HOFHoornemanEuropeanValueFund,1.0,0,0,2,0,0,0.062
125,0,1.0,0,0,0,0,0,0.062
126,0,1.0,0,0,0,0,0,0.062
127,0,1.0,0,0,0,0,0,0.062
128,0,1.0,0,0,0,0,0,0.062
129,0,1.0,0,0,0,0,0,0.062
130,0,1.0,0,0,0,0,0,0.062
131,RobecoUSLargeCapEQ-DH,1.0,0,0,2,0,0,0.062
132,AllianzEuropaAandelenFonds,1.0,0,0,2,0,0,0.062
133,RobecoCAPSAMSustainableEuropeanEquities,1.0,0,0,2,0,0,0.062
134,AEGONVastgoedFundInternationaal,1.0,0,0,2,0,1,0.062
135,KONINKLIJKEPHILIPS,1.0,0,0,2,0,0,0.062
136,Ageas,1.0,0,0,2,0,0,0.062
137,0,1.0,0,0,0,0,0,0.062
138,AEGONEquityFund,1.0,0,0,2,0,1,0.062
139,AEGONRenteFund,1.0,0,0,0,0,1,0.062
140,0,1.0,0,0,0,0,0,0.062
141,0,1.0,0,0,0,0,0,0.062
142,0,1.0,0,0,0,0,0,0.062
143,0,1.0,0,0,0,0,0,0.062
144,0,1.0,0,0,0,0,0,0.062
145,AEGONDepositoFund,1.0,0,0,0,0,1,0.062
146,0,1.0,0,0,0,0,0,0.062
147,0,1.0,0,0,0,0,0,0.062
148,0,1.0,0,0,0,0,0,0.062
149,0,1.0,0,0,0,0,0,0.062
150,0,1.0,0,0,0,0,0,0.062
151,0,1.0,0,0,0,0,0,0.062
152,0,1.0,0,0,0,0,0,0.062
153,0,1.0,0,0,0,0,0,0.062
154,RobecoHighYieldBondsB€,1.0,0,0,0,0,0,0.062
155,RobecoEmergingMarketsEquitiesD€,1.0,0,0,2,0,0,0.062
156,0,1.0,0,0,0,0,0,0.062
157,ComfortRenteFonds(=AEGONRenteFund),1.0,0,0,0,0,1,0.062
158,AEGONRenteFund,1.0,0,0,0,0,1,0.062
159,AEGONMixFund,1.0,0,0,1,0,1,0.062
160,0,1.0,0,0,0,0,0,0.062
161,0,1.0,0,0,0,0,0,0.062
162,0,1.0,0,0,0,0,0,0.062
163,0,1.0,0,0,0,0,0,0.062
164,0,1.0,0,0,0,0,0,0.062
165,0,1.0,0,0,0,0,0,0.062
166,0,1.0,0,0,0,0,0,0.062
167,0,1.0,0,0,0,0,0,0.062
168,0,1.0,0,0,0,0,0,0.062
169,0,1.0,0,0,0,0,0,0.062
170,0,1.0,0,0,0,0,0,0.062
171,0,1.0,0,0,0,0,0,0.062
172,0,1.0,0,0,0,0,0,0.062
173,0,1.0,0,0,0,0,0,0.062
174,BNPParibasGlobalHighIncomeEqFund,1.0,0,0,2,0,0,0.062
175,ParvestEquityUSAGrowthCCUSD,1.0,0,0,2,0,0,0.062
176,0,1.0,0,0,0,0,0,0.062
