column_number,column_name,column_type,column_freq,bh_field_type,term_months
1,Trial,N/A,N/A,N/A,0
2,Timestep,N/A,N/A,N/A,0
3,ESG.Economies.EUR.NominalSpotRate(Govt._0.08333),SPOT,A,YIELD_CURVE,1
4,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),SPOT,A,YIELD_CURVE,3
5,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),SPOT,A,YIELD_CURVE,6
6,ESG.Economies.EUR.NominalSpotRate(Govt._1),SPOT,A,YIELD_CURVE,12
7,ESG.Economies.EUR.NominalSpotRate(Govt._3),SPOT,A,YIELD_CURVE,36
8,ESG.Economies.EUR.NominalSpotRate(Govt._5),SPOT,A,YIELD_CURVE,60
9,ESG.Economies.EUR.NominalSpotRate(Govt._7),SPOT,A,YIELD_CURVE,84
10,ESG.Economies.EUR.NominalSpotRate(Govt._10),SPOT,A,YIELD_CURVE,120
11,ESG.Economies.EUR.NominalSpotRate(Govt._15),SPOT,A,YIELD_CURVE,180
12,ESG.Economies.EUR.NominalSpotRate(Govt._25),SPOT,A,YIELD_CURVE,300
13,ESG.CompositePortfolios.EmergingMarkets.IncomeYield,SPOT,M,FUND_RETURN,0
14,ESG.CompositePortfolios.EmergingMarkets.TotalReturn,SPOT,M,FUND_RETURN,0
15,ESG.CompositePortfolios.ABS.IncomeYield,SPOT,M,FUND_RETURN,0
16,ESG.CompositePortfolios.ABS.TotalReturn,SPOT,M,FUND_RETURN,0
17,ESG.CompositePortfolios.Eur3ABonds.IncomeYield,SPOT,M,FUND_RETURN,0
18,ESG.CompositePortfolios.Eur3ABonds.TotalReturn,SPOT,M,FUND_RETURN,0
19,ESG.CompositePortfolios.Mortgages.IncomeYield,SPOT,M,FUND_RETURN,0
20,ESG.CompositePortfolios.Mortgages.TotalReturn,SPOT,M,FUND_RETURN,0
21,ESG.EquityAssets.Asia.TotalReturn,SPOT,M,FUND_RETURN,0
22,ESG.EquityAssets.Europe.TotalReturn,SPOT,M,FUND_RETURN,0
23,ESG.EquityAssets.NorthAmerica.TotalReturn,SPOT,M,FUND_RETURN,0
24,ESG.EquityAssets.AbsReturn.IncomeYield,SPOT,M,FUND_RETURN,0
25,ESG.EquityAssets.AbsReturn.TotalReturn,SPOT,M,FUND_RETURN,0
26,ESG.EquityAssets.Commodities.TotalReturn,SPOT,M,FUND_RETURN,0
27,ESG.EquityAssets.PrivateEquity.TotalReturn,SPOT,M,FUND_RETURN,0
28,ESG.EquityAssets.RealEstate.TotalReturn,SPOT,M,FUND_RETURN,0
29,ESG.CompositePortfolios.LDO.IncomeYield,SPOT,M,FUND_RETURN,0
30,ESG.CompositePortfolios.LDO.TotalReturn,SPOT,M,FUND_RETURN,0
31,ESG.CompositePortfolios.HY-NorthAmerica.IncomeYield,SPOT,M,FUND_RETURN,0
32,ESG.CompositePortfolios.HY-NorthAmerica.TotalReturn,SPOT,M,FUND_RETURN,0
33,ESG.CompositePortfolios.HY-Europe.IncomeYield,SPOT,M,FUND_RETURN,0
34,ESG.CompositePortfolios.HY-Europe.TotalReturn,SPOT,M,FUND_RETURN,0
35,ESG.CompositePortfolios.OverRente.IncomeYield,SPOT,M,FUND_RETURN,0
36,ESG.CompositePortfolios.OverRente.TotalReturn,SPOT,M,FUND_RETURN,0
37,ESG.CompositePortfolios.EurCredits.IncomeYield,SPOT,M,FUND_RETURN,0
38,ESG.CompositePortfolios.EurCredits.TotalReturn,SPOT,M,FUND_RETURN,0
39,ESG.EquityAssets.MixFund.TotalReturn,SPOT,M,FUND_RETURN,0
40,ESG.Economies.EUR.NominalYieldCurve.CashTotalReturnIndex,SPOT,M,NOT_USED,0
41,ESG.Economies.EUR.NominalParYield(Govt._3),SPOT,A,PAR_YIELD,36
42,ESG.Economies.EUR.NominalParYield(Govt._7),SPOT,A,PAR_YIELD,84
43,ESG.Economies.EUR.NominalParYield(Govt._8),SPOT,A,PAR_YIELD,96
44,ESG.Economies.EUR.NominalParYield(Govt._10),SPOT,A,PAR_YIELD,120
45,ESG.Economies.EUR.NominalParYield(Govt._15),SPOT,A,PAR_YIELD,180
46,ESG.GenericBondPortfolios.Const3.IncomeYield,SPOT,M,BOND_RETURN,0
47,ESG.GenericBondPortfolios.Const3.TotalReturn,SPOT,M,BOND_RETURN,0
48,ESG.GenericBondPortfolios.Const5.IncomeYield,SPOT,M,BOND_RETURN,0
49,ESG.GenericBondPortfolios.Const5.TotalReturn,SPOT,M,BOND_RETURN,0
50,ESG.GenericBondPortfolios.Const10.IncomeYield,SPOT,M,BOND_RETURN,0
51,ESG.GenericBondPortfolios.Const10.TotalReturn,SPOT,M,BOND_RETURN,0
52,ESG.GenericBondPortfolios.Const12.IncomeYield,SPOT,M,BOND_RETURN,0
53,ESG.GenericBondPortfolios.Const12.TotalReturn,SPOT,M,BOND_RETURN,0
54,ESG.GenericBondPortfolios.Const15.IncomeYield,SPOT,M,BOND_RETURN,0
55,ESG.GenericBondPortfolios.Const15.TotalReturn,SPOT,M,BOND_RETURN,0
56,ESG.GenericBondPortfolios.Const1.IncomeYield,SPOT,M,BOND_RETURN,0
57,ESG.GenericBondPortfolios.Const1.TotalReturn,SPOT,M,BOND_RETURN,0
