tarcd,acq_min_duration_sp,acq_perc_sp,zw_sp,zw_dur_sp,provkap,provkap_dur,acq_perc_rp,zw_rp,ren_term_rp,max_perc_comm_i_rp
AFP,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
ALH,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
AORV_Type1,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
AORV_Type2,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
AORV_Type3,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
AORV_Type4,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
ASH,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLH,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLI,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLJ,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLK,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLP,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLV,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
LLW,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
MM_CP,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
MM_EP,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
MM_KP,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
PENCOM,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
SOLI,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
USH,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
V&B,10.0,0.0,0.0,0.0,0.9,0.02,0.0,0.0,0.0,0.0
