model,covg_cd,perc_fund,perc_fund_2l,restitution,perc_rest_prem,boxtel,boxtel_corr,benefit_type,sum_ins_incr,sum_ins_decr_ind,age_incr_start,age_incr_end,surr_zillm_pc_cov,surr_zillm_minterm_cov,surr_zillm_maxterm_cov,bid_spread_perc,nr_lifes,switch_ecm_calc,use_for_savingprem,group
AVN,0,1.1,1.1,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,1,0.0,0.0,NA,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,2,0.0,0.0,NA,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,15,0.0,0.0,NA,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,16,0.0,0.0,NA,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,17,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,18,1.1,1.1,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,22,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,23,1.1,1.1,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,24,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,25,0.0,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,26,0.9,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,27,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,28,1.1,1.1,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,29,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,30,0.9,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,31,0.9,0.9,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,32,0.0,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,33,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,34,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,35,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,36,1.1,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
AVN,37,0.0,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,AS
AVN,38,0.0,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,AS
AVN,40,1.0,0.0,N,0.0,N,0,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,OVL
