category,duration,gender,age,value
KBL,0,Females,"",0.669976654229
KBL,10,Females,"",0.693208906878
KBL,15,Females,"",0.684798271676
KBL,20,Females,"",0.659796707009
KBL,25,Females,"",0.699616297008
KBL,0,Males,"",0.669976654229
KBL,10,Males,"",0.693208906878
KBL,15,Males,"",0.684798271676
KBL,20,Males,"",0.659796707009
KBL,25,Males,"",0.699616297008
KBO,0,Females,"",0.472180029522
KBO,10,Females,"",0.640698668445
KBO,15,Females,"",0.650991393735
KBO,20,Females,"",0.717730125494
KBO,25,Females,"",0.61647577309
KBO,0,Males,"",0.472180029522
KBO,10,Males,"",0.640698668445
KBO,15,Males,"",0.650991393735
KBO,20,Males,"",0.717730125494
KBO,25,Males,"",0.61647577309
LYF,0,Females,"",0.234650361033
LYF,10,Females,"",0.39073771386
LYF,15,Females,"",0.505212824789
LYF,20,Females,"",0.557265547592
LYF,25,Females,"",0.734382011959
LYF,0,Males,"",0.234650361033
LYF,10,Males,"",0.39073771386
LYF,15,Males,"",0.505212824789
LYF,20,Males,"",0.557265547592
LYF,25,Males,"",0.734382011959
SPB,0,Females,"",0.610090514427
SPB,10,Females,"",0.610090514427
SPB,15,Females,"",0.610090514427
SPB,20,Females,"",0.610090514427
SPB,25,Females,"",0.610090514427
SPB,0,Males,"",0.610090514427
SPB,10,Males,"",0.610090514427
SPB,15,Males,"",0.610090514427
SPB,20,Males,"",0.610090514427
SPB,25,Males,"",0.610090514427
