fund_number,fund_description,fund_name,fund_return_type
1,Eurofonds,RntVz,Total
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,BNPParibasObamN.V.,EquityVz,Total
15,RobecoGlobalStartsEquityFund,EquityVz,Total
16,0,0,0
17,RolincoN.V.,EquityVz,Total
18,RobecoGlobalTotalReturnBond,EquityVz,Total
19,KAPITAALMARKTREKENING,RntVz,Total
20,MAATSCHAPPIJBELEGGING,EquityVz,Total
21,0,0,0
22,AUD,RntVz,Total
23,0,0,0
24,0,0,0
25,0,0,0
26,ParworldTrackEMU,EquityVz,Total
27,BNPParibasESGNetherlandsIndexFund,EquityVz,Total
28,BNPParibasL1MultiAssetIncomePrivilege,EquityVz,Total
29,0,0,0
30,WERELDHAVE,EquityVz,Total
31,0,0,0
32,OptimixMixFund,MixVz,Total
33,0,0,0
34,GBP,RntVz,Total
35,0,0,0
36,0,0,0
37,USD,RntVz,Total
38,0,0,0
39,0,0,0
40,GARANTIEFONDS,RntVz,Total
41,GARANTIEFONDS,RntVz,Total
42,ROYALDUTCHSHELL,EquityVz,Total
43,UNILEVER,EquityVz,Total
44,0,0,0
45,0,0,0
46,GARANTIEFONDS,RntVz,Total
47,AllianzPacificAandelenFonds,EquityVz,Total
48,GELDMARKTREKENING,RntVz,Total
49,0,0,0
50,GARANTIEFONDS,RntVz,Total
51,ASNDuurzaamMixfonds,MixVz,Total
52,AKZONOBEL,EquityVz,Total
53,HEINEKEN,EquityVz,Total
54,Elsevier,EquityVz,Total
55,INGGROEP,EquityVz,Total
56,AHOLD,EquityVz,Total
57,ROYALBANKOFSCOTLAND,EquityVz,Total
58,0,0,0
59,AllianzSelectieFonds,EquityVz,Total
60,INGGlobalObligatieFonds,RntVz,Total
61,RobecoHollandsBezit,EquityVz,Total
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,AEGON,EquityVz,Total
67,0,0,0
68,0,0,0
69,RANDSTADHOLDING,EquityVz,Total
70,SBMOFFSHORE,EquityVz,Total
71,0,0,0
72,WOLTERSKLUWER,EquityVz,Total
73,KempenOrangeFundNV,EquityVz,Total
74,AEGONDutchEquityIndexFund,EquityVz,Total
75,0,0,0
76,AEGONRenteFund,RntVz,Total
77,NNInformationTechnologyFund,EquityVz,Total
78,AEGONMixFund,MixVz,Total
79,NNEquityInvestmentFundNV,EquityVz,Total
80,InsingerdeBeaufortEuropeanMidCapNV,EquityVz,Total
81,GARANTIEFONDS,RntVz,Total
82,BrightNewWorldBeleggingsfonds,EquityVz,Total
83,0,0,0
84,ASMLHOLDING,EquityVz,Total
85,0,0,0
86,KONINKLIJKEKPN,EquityVz,Total
87,NNEuropaDuurzaamAandelenFonds,EquityVz,Total
88,RobecoAllStrategyEuroBonds,RntVz,Total
89,RobecoCapgrNewWorldFinancialsD,EquityVz,Total
90,RobecoSAMsustainableHealthLivingFund,EquityVz,Total
91,RobecoGlobalConsumerTrendsD,EquityVz,Total
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,ASNDuurzaamAandelenfonds,EquityVz,Total
98,TriodosSustainableMixedFund,MixVz,Total
99,0,0,0
100,0,0,0
101,UNIBAIL-RODAMCO,EquityVz,Total
102,0,0,0
103,0,0,0
104,AEGONRenteFund,RntVz,Total
105,AEGONMixFund,MixVz,Total
106,OptimixAmericaFund,EquityVz,Total
107,OptimixEuropeFund,EquityVz,Total
108,0,0,0
109,InsingerMultiManagerEquityC,EquityVz,Total
110,InsingerMultiManagerBalancedC,MixVz,Total
111,0,0,0
112,ComfortMixFund(=AEGONMixFund),MixVz,Total
113,0,0,0
114,ComfortAandelenFund(=AEGONEquityFund),EquityVz,Total
115,DeltaLloydL-GlobalFund-A,EquityVz,Total
116,DeltaLloydL-CyrteGlobalFund,EquityVz,Total
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,HOFHoornemanEuropeanValueFund,EquityVz,Total
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,RobecoUSLargeCapEQ-DH,EquityVz,Total
132,AllianzEuropaAandelenFonds,EquityVz,Total
133,RobecoCAPSAMSustainableEuropeanEquities,EquityVz,Total
134,AEGONVastgoedFundInternationaal,EquityVz,Total
135,KONINKLIJKEPHILIPS,EquityVz,Total
136,Ageas,EquityVz,Total
137,0,0,0
