model,count,fund_name,composite,weight
AVN,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
AVN,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
AVN,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
AVN,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
AVN,5,EmAsEqVz_Total,ESG.COFspread,1.0
AVN,6,EmEurEqVz_Total,ESG.COFspread,1.0
AVN,7,GTAAVz_Total,ESG.COFspread,1.0
AVN,8,AAAOVzP_Total,ESG.COFspread,1.0
AVN,9,WorldComVz_Total,ESG.COFspread,1.0
AVN,10,VastgoedFd_Total,ESG.COFspread,1.0
AVN,11,WorldEqVz_Total,ESG.COFspread,1.0
AVN,12,DepVz_Total,ESG.COFspread,1.0
AVN,13,EuEqVz_Total,ESG.COFspread,1.0
AVN,14,EmVz_Total,ESG.COFspread,1.0
AVN,15,HolEqVz_Total,ESG.COFspread,1.0
AVN,16,HypVz_Total,ESG.COFspread,1.0
AVN,17,NamEqABVz_Total,ESG.COFspread,1.0
AVN,18,PacEqVz_Total,ESG.COFspread,1.0
AVN,19,GarCL95RtVv_Total,ESG.COFspread,1.0
AVN,20,DepEurVvB_Total,ESG.COFspread,1.0
AVN,21,OptEuVvB_Total,ESG.COFspread,1.0
AX,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
AX,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
AX,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
AX,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
AX,5,EmAsEqVz_Total,ESG.COFspread,1.0
AX,6,EmEurEqVz_Total,ESG.COFspread,1.0
AX,7,GTAAVz_Total,ESG.COFspread,1.0
AX,8,AAAOVzP_Total,ESG.COFspread,1.0
AX,9,WorldComVz_Total,ESG.COFspread,1.0
AX,10,VastgoedFd_Total,ESG.COFspread,1.0
AX,11,WorldEqVz_Total,ESG.COFspread,1.0
AX,12,DepVz_Total,ESG.COFspread,1.0
AX,13,EuEqVz_Total,ESG.COFspread,1.0
AX,14,EmVz_Total,ESG.COFspread,1.0
AX,15,HolEqVz_Total,ESG.COFspread,1.0
AX,16,HypVz_Total,ESG.COFspread,1.0
AX,17,NamEqABVz_Total,ESG.COFspread,1.0
AX,18,PacEqVz_Total,ESG.COFspread,1.0
AX,19,GarCL95RtVv_Total,ESG.COFspread,1.0
AX,20,DepEurVvB_Total,ESG.COFspread,1.0
AX,21,OptEuVvB_Total,ESG.COFspread,1.0
CAE,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
CAE,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
CAE,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
CAE,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._5),1.0
CAE,5,EmAsEqVz_Total,ESG.COFspread,1.0
CAE,6,EmEurEqVz_Total,ESG.COFspread,1.0
CAE,7,GTAAVz_Total,ESG.COFspread,1.0
CAE,8,AAAOVzP_Total,ESG.COFspread,1.0
CAE,9,WorldComVz_Total,ESG.COFspread,1.0
CAE,10,VastgoedFd_Total,ESG.COFspread,1.0
CAE,11,WorldEqVz_Total,ESG.COFspread,1.0
CAE,12,DepVz_Total,ESG.COFspread,1.0
CAE,13,EuEqVz_Total,ESG.COFspread,1.0
CAE,14,EmVz_Total,ESG.COFspread,1.0
CAE,15,HolEqVz_Total,ESG.COFspread,1.0
