time,overrentevzindextype,amortized_bond
-95,0.04594,0.04594
-94,0.04527,0.04527
-93,0.04646,0.04646
-92,0.04246,0.04246
-91,0.04174,0.04174
-90,0.0429,0.0429
-89,0.04487,0.04487
-88,0.04767,0.04767
-87,0.05046,0.05046
-86,0.04823,0.04823
-85,0.04643,0.04643
-84,0.04659,0.04659
-83,0.04322,0.04322
-82,0.03773,0.03773
-81,0.03566,0.03566
-80,0.035,0.035
-79,0.03246,0.03246
-78,0.03159,0.03159
-77,0.03223,0.03223
-76,0.03452,0.03452
-75,0.03395,0.03395
-74,0.03289,0.03289
-73,0.03246,0.03246
-72,0.03241,0.03241
-71,0.03266,0.03266
-70,0.03205,0.03205
-69,0.03358,0.03358
-68,0.03176,0.03176
-67,0.03069,0.03069
-66,0.03011,0.03011
-65,0.02918,0.02918
-64,0.02693,0.02693
-63,0.02653,0.02653
-62,0.02704,0.02704
-61,0.02135,0.02135
-60,0.02395,0.02395
-59,0.02598,0.02598
-58,0.02831,0.02831
-57,0.0305,0.0305
-56,0.03271,0.03271
-55,0.03239,0.03239
-54,0.03462,0.03462
-53,0.03389,0.03389
-52,0.03171,0.03171
-51,0.03224,0.03224
-50,0.02955,0.02955
-49,0.02664,0.02664
-48,0.02366,0.02366
-47,0.02405,0.02405
-46,0.02523,0.02523
-45,0.022,0.022
-44,0.02032,0.02032
-43,0.0204,0.0204
-42,0.02062,0.02062
-41,0.01947,0.01947
-40,0.0152,0.0152
-39,0.01766,0.01766
-38,0.02032,0.02032
-37,0.0204,0.0204
-36,0.02062,0.02062
-35,0.01947,0.01947
-34,0.0152,0.0152
-33,0.01766,0.01766
-32,0.0154,0.0154
-31,0.01469,0.01469
-30,0.01486,0.01486
-29,0.01504,0.01504
-28,0.014,0.014
-27,0.01288,0.01288
-26,0.01669,0.01669
-25,0.01463,0.01463
-24,0.01406,0.01406
-23,0.01212,0.01212
-22,0.01462,0.01462
-21,0.01754,0.01754
-20,0.01722,0.01722
-19,0.01917,0.01917
-18,0.018,0.018
-17,0.01677,0.01677
-16,0.01662,0.01662
-15,0.01858,0.01858
-14,0.01598,0.01598
-13,0.01567,0.01567
-12,0.01503,0.01503
-11,0.01429,0.01429
-10,0.01273,0.01273
-9,0.01156,0.01156
-8,0.01104,0.01104
-7,0.00857,0.00857
-6,0.00874,0.00874
-5,0.00818,0.00818
-4,0.00695,0.00695
-3,0.00624,0.00624
-2,0.00524,0.00524
-1,0.00529,0.00529
0,0.00449,0.00449
