runkey,scenarioname,type,maturityidentifier,rate,sortcol
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,1M,0.034330035648,1
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,2M,0.034686465099,2
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,3M,0.034959517885,3
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,4M,0.035148175718,4
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,5M,0.03525141741,5
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,6M,0.035268225222,6
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,7M,0.035197591467,7
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,8M,0.03503852538,8
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,9M,0.034790060234,9
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,10M,0.034451260707,10
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,11M,0.034021230479,11
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,12M,0.033499120049,12
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,13M,0.033083596404,13
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,14M,0.032832200972,14
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,15M,0.032574442813,15
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,16M,0.03231028545,16
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,17M,0.032039693574,17
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,18M,0.031762633088,18
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,19M,0.031479071159,19
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,20M,0.031188976267,20
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,21M,0.030892318251,21
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,22M,0.030589068359,22
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,23M,0.030279199299,23
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,24M,0.029962685286,24
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,25M,0.029566284122,25
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,26M,0.029122207811,26
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,27M,0.028720076932,27
