fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
1,Eurofonds,01/04/2023,1.0,0,0,0,0,0,0.062
2,0,01/04/2023,1.0,0,0,0,0,0,0.062
3,0,01/04/2023,1.0,0,0,0,0,0,0.062
4,0,01/04/2023,1.0,0,0,0,0,0,0.062
5,0,01/04/2023,1.0,0,0,0,0,0,0.062
6,0,01/04/2023,1.0,0,0,0,0,0,0.062
7,0,01/04/2023,1.0,0,0,0,0,0,0.062
8,0,01/04/2023,1.0,0,0,0,0,0,0.062
9,0,01/04/2023,1.0,0,0,0,0,0,0.062
10,0,01/04/2023,1.0,0,0,0,0,0,0.062
11,0,01/04/2023,1.0,0,0,0,0,0,0.062
12,0,01/04/2023,1.0,0,0,0,0,0,0.062
13,0,01/04/2023,1.0,0,0,0,0,0,0.062
14,BNPParibasObamN.V.,01/04/2023,1.0,0,0,2,0,0,0.062
15,RobecoGlobalStartsEquityFund,01/04/2023,1.0,0,0,2,0,0,0.062
16,0,01/04/2023,1.0,0,0,0,0,0,0.062
17,RolincoN.V.,01/04/2023,1.0,0,0,2,0,0,0.062
18,RobecoGlobalTotalReturnBond,01/04/2023,1.0,0,0,2,0,0,0.062
19,KAPITAALMARKTREKENING,01/04/2023,1.0,1,1,0,0,0,0.062
20,MAATSCHAPPIJBELEGGING,01/04/2023,1.0,0,0,2,0,1,0.062
21,0,01/04/2023,1.0,0,0,0,0,0,0.062
22,AUD,01/04/2023,1.0,0,0,0,0,0,0.062
23,0,01/04/2023,1.0,0,0,0,0,0,0.062
24,0,01/04/2023,1.0,0,0,0,0,0,0.062
25,0,01/04/2023,1.0,0,0,0,0,0,0.062
26,ParworldTrackEMU,01/04/2023,1.0,0,0,2,0,0,0.062
27,BNPParibasESGNetherlandsIndexFund,01/04/2023,1.0,0,0,2,0,0,0.062
28,BNPParibasL1MultiAssetIncomePrivilege,01/04/2023,1.0,0,0,2,0,0,0.062
29,0,01/04/2023,1.0,0,0,0,0,0,0.062
30,WERELDHAVE,01/04/2023,1.0,0,0,2,0,0,0.062
31,0,01/04/2023,1.0,0,0,0,0,0,0.062
32,OptimixMixFund,01/04/2023,1.0,0,0,1,0,0,0.062
33,0,01/04/2023,1.0,0,0,0,0,0,0.062
34,GBP,01/04/2023,1.0,0,0,0,0,0,0.062
35,0,01/04/2023,1.0,0,0,0,0,0,0.062
36,0,01/04/2023,1.0,0,0,0,0,0,0.062
37,USD,01/04/2023,1.0,0,0,0,0,0,0.062
38,0,01/04/2023,1.0,0,0,0,0,0,0.062
39,0,01/04/2023,1.0,0,0,0,0,0,0.062
40,GARANTIEFONDS,01/04/2023,1.0,1,1,0,0,0,0.062
41,GARANTIEFONDS,01/04/2023,1.0,1,1,0,0,0,0.062
42,ROYALDUTCHSHELL,01/04/2023,1.0,0,0,2,0,0,0.062
43,UNILEVER,01/04/2023,1.0,0,0,2,0,0,0.062
44,0,01/04/2023,1.0,0,0,0,0,0,0.062
45,0,01/04/2023,1.0,0,0,0,0,0,0.062
46,GARANTIEFONDS,01/04/2023,1.0,1,1,0,0,0,0.062
47,AllianzPacificAandelenFonds,01/04/2023,1.0,0,0,2,0,0,0.062
48,GELDMARKTREKENING,01/04/2023,1.0,0,0,0,0,0,0.062
49,0,01/04/2023,1.0,0,0,0,0,0,0.062
50,GARANTIEFONDS,01/04/2023,1.0,1,1,0,0,0,0.062
51,ASNDuurzaamMixfonds,01/04/2023,1.0,0,0,1,0,0,0.062
52,AKZONOBEL,01/04/2023,1.0,0,0,2,0,0,0.062
53,HEINEKEN,01/04/2023,1.0,0,0,2,0,0,0.062
54,Elsevier,01/04/2023,1.0,0,0,2,0,0,0.062
55,INGGROEP,01/04/2023,1.0,0,0,2,0,0,0.062
56,AHOLD,01/04/2023,1.0,0,0,2,0,0,0.062
57,ROYALBANKOFSCOTLAND,01/04/2023,1.0,0,0,2,0,0,0.062
58,0,01/04/2023,1.0,0,0,0,0,0,0.062
59,AllianzSelectieFonds,01/04/2023,1.0,0,0,2,0,0,0.062
60,INGGlobalObligatieFonds,01/04/2023,1.0,0,0,0,0,0,0.062
61,RobecoHollandsBezit,01/04/2023,1.0,0,0,2,0,0,0.062
62,0,01/04/2023,1.0,0,0,0,0,0,0.062
63,0,01/04/2023,1.0,0,0,0,0,0,0.062
64,0,01/04/2023,1.0,0,0,0,0,0,0.062
65,0,01/04/2023,1.0,0,0,0,0,0,0.062
66,AEGON,01/04/2023,1.0,0,0,2,0,0,0.062
67,0,01/04/2023,1.0,0,0,0,0,0,0.062
68,0,01/04/2023,1.0,0,0,0,0,0,0.062
69,RANDSTADHOLDING,01/04/2023,1.0,0,0,2,0,0,0.062
70,SBMOFFSHORE,01/04/2023,1.0,0,0,2,0,0,0.062
71,0,01/04/2023,1.0,0,0,0,0,0,0.062
72,WOLTERSKLUWER,01/04/2023,1.0,0,0,2,0,0,0.062
73,KempenOrangeFundNV,01/04/2023,1.0,0,0,2,0,0,0.062
74,AEGONDutchEquityIndexFund,01/04/2023,1.0,0,0,2,0,1,0.062
75,0,01/04/2023,1.0,0,0,0,0,0,0.062
76,AEGONRenteFund,01/04/2023,1.0,1,2,0,0,1,0.062
77,NNInformationTechnologyFund,01/04/2023,1.0,0,0,2,0,0,0.062
78,AEGONMixFund,01/04/2023,1.0,1,2,1,0,1,0.062
79,NNEquityInvestmentFundNV,01/04/2023,1.0,0,0,2,0,0,0.062
80,InsingerdeBeaufortEuropeanMidCapNV,01/04/2023,1.0,0,0,2,0,0,0.062
81,GARANTIEFONDS,01/04/2023,1.0,1,1,0,0,0,0.062
82,BrightNewWorldBeleggingsfonds,01/04/2023,1.0,0,0,2,0,0,0.062
83,0,01/04/2023,1.0,0,0,0,0,0,0.062
84,ASMLHOLDING,01/04/2023,1.0,0,0,2,0,0,0.062
85,0,01/04/2023,1.0,0,0,0,0,0,0.062
86,KONINKLIJKEKPN,01/04/2023,1.0,0,0,2,0,0,0.062
87,NNEuropaDuurzaamAandelenFonds,01/04/2023,1.0,0,0,2,0,0,0.062
88,RobecoAllStrategyEuroBonds,01/04/2023,1.0,0,0,0,0,0,0.062
89,RobecoCapgrNewWorldFinancialsD,01/04/2023,1.0,0,0,2,0,0,0.062
90,RobecoSAMsustainableHealthLivingFund,01/04/2023,1.0,0,0,2,0,0,0.062
91,RobecoGlobalConsumerTrendsD,01/04/2023,1.0,0,0,2,0,0,0.062
92,0,01/04/2023,1.0,0,0,0,0,0,0.062
93,0,01/04/2023,1.0,0,0,0,0,0,0.062
94,0,01/04/2023,1.0,0,0,0,0,0,0.062
95,0,01/04/2023,1.0,0,0,0,0,0,0.062
96,0,01/04/2023,1.0,0,0,0,0,0,0.062
97,ASNDuurzaamAandelenfonds,01/04/2023,1.0,0,0,2,0,0,0.062
98,TriodosSustainableMixedFund,01/04/2023,1.0,0,0,1,0,0,0.062
99,0,01/04/2023,1.0,0,0,0,0,0,0.062
100,0,01/04/2023,1.0,0,0,0,0,0,0.062
101,UNIBAIL-RODAMCO,01/04/2023,1.0,0,0,2,0,0,0.062
102,0,01/04/2023,1.0,0,0,0,0,0,0.062
103,0,01/04/2023,1.0,0,0,0,0,0,0.062
104,AEGONRenteFund,01/04/2023,1.0,1,2,0,0,1,0.062
105,AEGONMixFund,01/04/2023,1.0,1,2,1,0,1,0.062
106,OptimixAmericaFund,01/04/2023,1.0,0,0,2,0,0,0.062
107,OptimixEuropeFund,01/04/2023,1.0,0,0,2,0,0,0.062
108,0,01/04/2023,1.0,0,0,0,0,0,0.062
109,InsingerMultiManagerEquityC,01/04/2023,1.0,0,0,2,0,0,0.062
