fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
1,Eurofonds,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
2,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
3,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
4,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
5,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
6,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
7,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
8,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
9,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
10,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
11,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
12,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
13,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
14,BNPParibasObamN.V.,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
15,RobecoGlobalStartsEquityFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
16,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
17,RolincoN.V.,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
18,RobecoGlobalTotalReturnBond,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
19,KAPITAALMARKTREKENING,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
20,MAATSCHAPPIJBELEGGING,01/01/2023,1.0,0,0,2,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
21,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
22,AUD,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
23,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
24,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
25,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
26,ParworldTrackEMU,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
27,BNPParibasESGNetherlandsIndexFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
28,BNPParibasL1MultiAssetIncomePrivilege,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
29,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
30,WERELDHAVE,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
31,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
32,OptimixMixFund,01/01/2023,1.0,0,0,1,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
33,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
34,GBP,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
35,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
36,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
37,USD,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
38,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
39,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
40,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
41,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
42,ROYALDUTCHSHELL,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
43,UNILEVER,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
44,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
45,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
46,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
47,AllianzPacificAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
48,GELDMARKTREKENING,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
49,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
50,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
51,ASNDuurzaamMixfonds,01/01/2023,1.0,0,0,1,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
52,AKZONOBEL,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
53,HEINEKEN,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
54,Elsevier,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
55,INGGROEP,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
56,AHOLD,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
57,ROYALBANKOFSCOTLAND,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
58,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
59,AllianzSelectieFonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
60,INGGlobalObligatieFonds,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
61,RobecoHollandsBezit,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
62,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
63,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
64,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
65,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
66,AEGON,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
67,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
68,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
69,RANDSTADHOLDING,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
70,SBMOFFSHORE,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
71,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
72,WOLTERSKLUWER,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
73,KempenOrangeFundNV,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
74,AEGONDutchEquityIndexFund,01/01/2023,1.0,0,0,2,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
75,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
76,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
77,NNInformationTechnologyFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
78,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
79,NNEquityInvestmentFundNV,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
80,InsingerdeBeaufortEuropeanMidCapNV,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
81,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
82,BrightNewWorldBeleggingsfonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
83,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
84,ASMLHOLDING,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
85,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
86,KONINKLIJKEKPN,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
87,NNEuropaDuurzaamAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
88,RobecoAllStrategyEuroBonds,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
89,RobecoCapgrNewWorldFinancialsD,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
90,RobecoSAMsustainableHealthLivingFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
91,RobecoGlobalConsumerTrendsD,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
92,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
93,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
94,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
95,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
96,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
97,ASNDuurzaamAandelenfonds,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
98,TriodosSustainableMixedFund,01/01/2023,1.0,0,0,1,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
99,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
100,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
101,UNIBAIL-RODAMCO,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
102,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
103,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
104,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
105,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
106,OptimixAmericaFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
107,OptimixEuropeFund,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
108,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
109,InsingerMultiManagerEquityC,01/01/2023,1.0,0,0,2,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
110,InsingerMultiManagerBalancedC,01/01/2023,1.0,0,0,1,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
111,0,01/01/2023,1.0,0,0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
112,ComfortMixFund(=AEGONMixFund),01/01/2023,1.0,0,0,1,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
