fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
1,Eurofonds,01/01/2023,1.0,0,0,0,0,0,1.0031355738763885,1.0062421381946918,1.0093646022336258
2,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
3,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
4,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
5,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
6,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
7,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
8,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
9,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
10,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
11,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
12,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
13,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
14,BNPParibasObamN.V.,01/01/2023,1.0,0,0,2,0,0,1.0570615798436813,1.0664871221672338,1.0627867258902268
15,RobecoGlobalStartsEquityFund,01/01/2023,1.0,0,0,2,0,0,1.0225710575328784,1.0397484498362055,1.04122063867755
16,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
17,RolincoN.V.,01/01/2023,1.0,0,0,2,0,0,1.0869743215866756,1.0796519661401378,1.1002626359371936
18,RobecoGlobalTotalReturnBond,01/01/2023,1.0,0,0,2,0,0,1.011485468955014,0.9872917745536005,1.0102254500337855
19,KAPITAALMARKTREKENING,01/01/2023,1.0,1,1,0,0,0,1.0032529211341046,1.0064662847913497,1.0096478201860266
20,MAATSCHAPPIJBELEGGING,01/01/2023,1.0,0,0,2,0,1,1.0224561705183535,1.0113435900744037,1.020522313833416
21,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
22,AUD,01/01/2023,1.0,0,0,0,0,0,1.0212964987846949,1.001151240208437,0.9708095578948586
23,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
24,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
25,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
26,ParworldTrackEMU,01/01/2023,1.0,0,0,2,0,0,1.0107352256542215,0.9982873594916287,1.014160724612381
27,BNPParibasESGNetherlandsIndexFund,01/01/2023,1.0,0,0,2,0,0,1.103464744363695,1.104142574277235,1.1094986131724478
28,BNPParibasL1MultiAssetIncomePrivilege,01/01/2023,1.0,0,0,2,0,0,1.0435509251466275,1.02842146757209,1.0277175705775636
29,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
30,WERELDHAVE,01/01/2023,1.0,0,0,2,0,0,1.1041649046566686,1.2055205574548584,1.1381487120911529
31,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
32,OptimixMixFund,01/01/2023,1.0,0,0,1,0,0,1.0354022971586947,1.02192850849645,1.0238468451336342
33,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
34,GBP,01/01/2023,1.0,0,0,0,0,0,1.0059342386721846,1.0132619968056764,1.0103487332941756
35,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
36,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
37,USD,01/01/2023,1.0,0,0,0,0,0,0.9828977108899538,1.004669332711199,0.9829377786695168
38,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
39,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
40,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0036539606096977,1.007323493089354,1.010980876996351
41,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0052616161607268,1.0105497522314137,1.0158644082120607
42,ROYALDUTCHSHELL,01/01/2023,1.0,0,0,2,0,0,1.0185044121014182,1.098529898698574,1.0122882273519103
43,UNILEVER,01/01/2023,1.0,0,0,2,0,0,0.9939198345692837,1.015932846750134,1.0262129521072432
44,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
45,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
46,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
47,AllianzPacificAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
48,GELDMARKTREKENING,01/01/2023,1.0,0,0,0,0,0,1.0015578508936016,1.0033705623724825,1.0053800954497645
49,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
50,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0416462720210011
51,ASNDuurzaamMixfonds,01/01/2023,1.0,0,0,1,0,0,1.0319063036912868,1.0362055367937977,1.1501400576727292
52,AKZONOBEL,01/01/2023,1.0,0,0,2,0,0,1.0891937711013053,1.1066383976311251,1.1268941892034934
53,HEINEKEN,01/01/2023,1.0,0,0,2,0,0,1.041647806450573,1.0978059151189714,1.1527776159610723
54,Elsevier,01/01/2023,1.0,0,0,2,0,0,1.054954131387585,1.1047435754149464,0.973182758362543
55,INGGROEP,01/01/2023,1.0,0,0,2,0,0,1.1714595111846895,1.1726638870276047,1.1717877607420473
56,AHOLD,01/01/2023,1.0,0,0,2,0,0,1.020305126154446,1.117881628883809,1.0
57,ROYALBANKOFSCOTLAND,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
58,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
59,AllianzSelectieFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0073044910841242
60,INGGlobalObligatieFonds,01/01/2023,1.0,0,0,0,0,0,1.016394525514996,1.0107912670109567,1.0
61,RobecoHollandsBezit,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,0.8367643815927512
62,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
63,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
64,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
65,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
66,AEGON,01/01/2023,1.0,0,0,2,0,0,1.0628971376803018,1.0412070809149827,1.0089335413050016
67,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
68,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
69,RANDSTADHOLDING,01/01/2023,1.0,0,0,2,0,0,1.030196784236786,1.0200783977684684,0.9331865981864793
70,SBMOFFSHORE,01/01/2023,1.0,0,0,2,0,0,0.9839690329270603,0.9459171859062714,1.1899480091257149
71,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
72,WOLTERSKLUWER,01/01/2023,1.0,0,0,2,0,0,1.0244477310420232,1.1194746535762508,1.091345468795208
73,KempenOrangeFundNV,01/01/2023,1.0,0,0,2,0,0,1.0758394931087023,1.084824964553786,1.14365799830257
74,AEGONDutchEquityIndexFund,01/01/2023,1.0,0,0,2,0,1,1.1259495553609251,1.1169205277331227,1.015647935705577
75,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
76,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0173802017047824,0.9924580071504244,1.0
77,NNInformationTechnologyFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0266197914253627
78,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0328034755366586,1.0209851692860392,1.048642213591922
79,NNEquityInvestmentFundNV,01/01/2023,1.0,0,0,2,0,0,1.0319280664444994,1.0453634215432093,1.0713312892494506
80,InsingerdeBeaufortEuropeanMidCapNV,01/01/2023,1.0,0,0,2,0,0,1.0803741889532612,1.0859974463427982,1.0080995818540994
81,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0036737019684896,1.0073700136071793,1.052729907417467
82,BrightNewWorldBeleggingsfonds,01/01/2023,1.0,0,0,2,0,0,1.0823663014849028,1.064398521850711,1.2435781386569122
83,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
