fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
1,Eurofonds,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
2,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
3,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
4,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
5,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
6,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
7,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
8,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
9,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
10,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
11,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
12,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
13,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
14,BNPParibasObamN.V.,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
15,RobecoGlobalStartsEquityFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
16,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
17,RolincoN.V.,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
18,RobecoGlobalTotalReturnBond,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
19,KAPITAALMARKTREKENING,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
20,MAATSCHAPPIJBELEGGING,01/01/2023,1.0,0,0,2,0,1,1.0,1.0,1.0
21,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
22,AUD,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
23,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
24,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
25,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
26,ParworldTrackEMU,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
27,BNPParibasESGNetherlandsIndexFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
28,BNPParibasL1MultiAssetIncomePrivilege,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
29,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
30,WERELDHAVE,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
31,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
32,OptimixMixFund,01/01/2023,1.0,0,0,1,0,0,1.0,1.0,1.0
33,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
34,GBP,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
35,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
36,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
37,USD,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
38,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
39,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
40,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
41,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
42,ROYALDUTCHSHELL,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
43,UNILEVER,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
44,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
45,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
46,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
47,AllianzPacificAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
48,GELDMARKTREKENING,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
49,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
50,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
51,ASNDuurzaamMixfonds,01/01/2023,1.0,0,0,1,0,0,1.0,1.0,1.0
52,AKZONOBEL,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
53,HEINEKEN,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
54,Elsevier,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
55,INGGROEP,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
56,AHOLD,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
57,ROYALBANKOFSCOTLAND,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
58,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
59,AllianzSelectieFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
60,INGGlobalObligatieFonds,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
61,RobecoHollandsBezit,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
62,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
63,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
64,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
65,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
66,AEGON,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
67,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
68,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
69,RANDSTADHOLDING,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
70,SBMOFFSHORE,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
71,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
72,WOLTERSKLUWER,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
73,KempenOrangeFundNV,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
74,AEGONDutchEquityIndexFund,01/01/2023,1.0,0,0,2,0,1,1.0,1.0,1.0
75,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
76,AEGONRenteFund,01/01/2023,1.0,1,2,0,0,1,1.0,1.0,1.0
77,NNInformationTechnologyFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
78,AEGONMixFund,01/01/2023,1.0,1,2,1,0,1,1.0,1.0,1.0
79,NNEquityInvestmentFundNV,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
80,InsingerdeBeaufortEuropeanMidCapNV,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
81,GARANTIEFONDS,01/01/2023,1.0,1,1,0,0,0,1.0,1.0,1.0
82,BrightNewWorldBeleggingsfonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
83,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
84,ASMLHOLDING,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
85,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
86,KONINKLIJKEKPN,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
87,NNEuropaDuurzaamAandelenFonds,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
88,RobecoAllStrategyEuroBonds,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
89,RobecoCapgrNewWorldFinancialsD,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
90,RobecoSAMsustainableHealthLivingFund,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
91,RobecoGlobalConsumerTrendsD,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
92,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
93,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
