fund_number,fund_name,price_date,price,guarantee,fund_ind,hr_indicator
1,Aandelen_Fund,2023-01-02,57.11,0,2,0
2,Rente_Fund,2023-01-02,19.76,1,0,0
3,Mix_Fund,2023-01-02,34.66,1,1,0
4,Vastgoed_Fund,2023-01-02,38.64,0,2,0
5,Deposito_Fund,2023-01-02,9.85,0,0,0
6,IndexPlus_Fund,2023-01-02,23.69,0,0,0
7,Emerging_Markets_Fund,2023-01-02,22.6,0,2,0
8,GarantiePlus,2023-01-02,9.85,0,0,0
9,-,2023-01-02,1.0,0,0,0
10,Levensloop_HR,2023-01-02,1.0,0,0,1
11,Equity_Holland,2023-01-02,1.0,0,2,0
12,IndexPlus_Fund,2023-01-02,23.69,0,0,0
13,Equity_Europe,2023-01-02,31.22,0,2,0
14,Hypotheek_Rekening,2023-01-02,1.0,0,0,1
15,Equity_North_America,2023-01-02,1.0,0,2,0
16,Equity_Pacific,2023-01-02,1.0,0,2,0
17,GAR_Click_95_FND,2023-01-02,1.0,0,0,0
18,AEGON_Garantie_Risico,2023-01-02,1.0,0,0,1
19,AEGON_Spaarhypotheek,2023-01-02,1.0,0,0,1
20,USA-Dollar_Fonds,2023-01-02,1.0,0,0,0
21,Comfort_Europe,2023-01-02,1.0,0,0,0
22,Dynamic_6,2023-01-02,21.54,0,0,0
23,Dynamic_4,2023-01-02,18.28,0,0,0
24,Deposito_Fonds_(Val),2023-01-02,9.85,0,0,0
25,STAATSLENINGEN,2023-01-02,14.29,0,0,0
26,STAATSLENINGEN,2023-01-02,14.29,0,0,0
27,-,2023-01-02,1.0,0,0,0
28,-,2023-01-02,1.0,0,0,0
29,-,2023-01-02,1.0,0,0,0
30,AOW_afbouw_5,2023-01-02,1.0,0,1,0
31,AOW_afbouw_4,2023-01-02,1.0,0,1,0
32,AOW_afbouw_3,2023-01-02,1.0,0,1,0
33,AOW_afbouw_2,2023-01-02,1.0,0,1,0
34,AOW_afbouw_1,2023-01-02,1.0,0,1,0
35,Axent_VRW,2023-01-02,1.0,0,0,0
36,World_equity_fund,2023-01-02,1.0,0,2,0
37,Europees_Rente_fund,2023-01-02,1.0,0,0,0
38,Aandelen_Fund_AX,2023-01-02,1.0,0,2,0
39,-,2023-01-02,1.0,0,0,0
