runname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0037_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_OtherClientData,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0038_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_LiabilityModel,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0039_2023M03_Base-GH_IFRS_QtD_ParameterUpdatePost-GH_CALIB_T_Base-LV30Y_QtD_ParameterUpdate-IFRS_QtD_ParameterUpdate-IFRS_QtD_ParameterUpdate,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0040_2023M03_Base-GH_IFRS_QtD_ModelChange-GH_CALIB_T_Base-LV30Y_QtD_ModelChange-IFRS_QtD_ModelChange-IFRS_QtD_ModelChange,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0041_2023M03_Base-GH_IFRS_T_EndValue-GH_CALIB_T_Base-LV30Y_T_EndValue-IFRS_EndValue-IFRS_T_Base,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0042_2023M03_Base-GH_IFRS_MtD_EndValue-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Rerun,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0043_2023M03_Base-GH_IFRS_MtD_EndValue-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0044_2023M03_Base-GH_IFRS_MtD_ParameterUpdatePre-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0045_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0046_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0047_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0048_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0049_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noCRA_noOCS,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
