RunName,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0001_2023M03_Base-GH_IFRS_QtD_EndValue-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_Rerun,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0002_2023M03_Base-GH_IFRS_QtD_EndValue-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0003_2023M03_Base-GH_IFRS_QtD_ParameterUpdatePre-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0004_2023M03_Base-GH_IFRS_QtD_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0005_2023M03_Base-GH_IFRS_QtD_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noCRA_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0006_2023M03_Base-GH_IFRS_QtD_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noUFR_noCRA_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0007_2023M03_Base-GH_IFRS_QtD_RollfwdDI_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noUFR_noCRA_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0008_2023M03_Base-GH_IFRS_QtD_RollfwdDI_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noCRA_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0009_2023M03_Base-GH_IFRS_QtD_RollfwdDI_noUFR-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_noOCS,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0010_2023M03_Base-GH_IFRS_QtD_RollfwdDI-GH_CALIB_QtD_Base-LV30Y_QtD_EndValue-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0011_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_Curve-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0012_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_SWPT-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0013_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_Base,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0014_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_SwapHedged,57.11,20.00447154,34.81484189,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0015_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_SwapUnhedged,57.11,20.00447154,34.83382871,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0016_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_GovernmentSpread,57.11,20.09630487,34.86627107,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0017_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_CreditSpread,57.11,20.09630487,34.88649908,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0018_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_OtherFI,57.11,20.09630487,34.9664212,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0019_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_Equities,61.04777238,20.09630487,35.64610274,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0020_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_Commodities,61.04777238,20.09630487,35.57889812,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0021_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_RealEstate,61.04777238,20.09630487,35.55843489,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
