rafm_fund,aam_fund,hedge_fund
Aandelen_Fund_AX,"",""
Europees_Rente_fund,"",""
World_equity_fund,"",""
Axent_VRW,"",""
AOW_afbouw_1,"",""
AOW_afbouw_2,"",""
AOW_afbouw_3,"",""
AOW_afbouw_4,"",""
AOW_afbouw_5,"",""
STAATSLENINGEN,"",AegonOverrenteFund
STAATSLENINGEN,"",AegonOverrenteFund
Deposito_Fonds_(Val),AEGON Deposito Fund,""
Dynamic_4,AEGON Dynamic Fund 4,""
Dynamic_6,AEGON Dynamic Fund 6,""
Comfort_Europe,"",""
USA-Dollar_Fonds,"",""
AEGON_Spaarhypotheek,"",""
AEGON_Garantie_Risico,"",""
GAR_Click_95_FND,"",""
Equity_Pacific,"",""
Equity_North_America,"",""
Hypotheek_Rekening,"",""
Equity_Europe,AEGON Equity Europe Fund,""
Equity_Holland,"",""
Levensloop_HR,"",""
GarantiePlus,AEGON Deposito Fund,""
Emerging_Markets_Fund,AEGON Equity Emerging Markets Indx Fund,""
IndexPlus_Fund,AEGON Dutch Equity Index Fund,""
Deposito_Fund,AEGON Deposito Fund,""
Vastgoed_Fund,AEGON Vastgoed Fund Internationaal,""
Mix_Fund,AEGON Mix Fund,AegonMixFund
Rente_Fund,AEGON Rente Fund,AegonRenteFund
Aandelen_Fund,AEGON Equity Fund,AegonEquityFund
