fund_number,fund_name,price_date,price,guarantee,fund_ind,hr_indicator,M1,M2,M3
1,Aandelen_Fund,2023-01-02,57.11,0,2,0,57.2584026264855,57.407320112769945,57.55684105564683
2,Rente_Fund,2023-01-02,19.76,1,0,0,19.811347152851578,19.862872446652673,19.91460653580076
3,Mix_Fund,2023-01-02,34.66,1,1,0,34.75006540070018,34.84044326928044,34.93118737504323
4,Vastgoed_Fund,2023-01-02,38.64,0,2,0,38.74040759039397,38.84116352928438,38.94232776029055
5,Deposito_Fund,2023-01-02,9.85,0,0,0,9.875595620222064,9.901280040461986,9.927068541378414
6,IndexPlus_Fund,2023-01-02,23.69,0,0,0,23.751559415539163,23.813332401882686,23.875355710178138
7,Emerging_Markets_Fund,2023-01-02,22.6,0,2,0,22.65872700680393,22.717657757811256,22.77682731321342
8,GarantiePlus,2023-01-02,9.85,0,0,0,9.875595620222064,9.901280040461986,9.927068541378414
9,-,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
10,Levensloop_HR,2023-01-02,1.0,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
11,Equity_Holland,2023-01-02,1.0,0,2,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
12,IndexPlus_Fund,2023-01-02,23.69,0,0,0,23.751559415539163,23.813332401882686,23.875355710178138
13,Equity_Europe,2023-01-02,31.22,0,2,0,31.301126422673388,31.38253430083484,31.46427206719128
14,Hypotheek_Rekening,2023-01-02,1.0,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
15,Equity_North_America,2023-01-02,1.0,0,2,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
16,Equity_Pacific,2023-01-02,1.0,0,2,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
17,GAR_Click_95_FND,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
18,AEGON_Garantie_Risico,2023-01-02,1.0,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
19,AEGON_Spaarhypotheek,2023-01-02,1.0,0,0,1,1.0025985401240676,1.0052060954783741,1.0078242173988239
20,USA-Dollar_Fonds,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
21,Comfort_Europe,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
22,Dynamic_6,2023-01-02,21.54,0,0,0,21.595972554272414,21.65213929660418,21.708533642770664
23,Dynamic_4,2023-01-02,18.28,0,0,0,18.327501313467955,18.37516742534468,18.423026694050503
24,Deposito_Fonds_(Val),2023-01-02,9.85,0,0,0,9.875595620222064,9.901280040461986,9.927068541378414
25,STAATSLENINGEN,2023-01-02,14.29,0,0,0,14.327133138372925,14.364395104385965,14.401808066629192
26,STAATSLENINGEN,2023-01-02,14.29,0,0,0,14.327133138372925,14.364395104385965,14.401808066629192
27,-,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
28,-,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
29,-,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
30,AOW_afbouw_5,2023-01-02,1.0,0,1,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
31,AOW_afbouw_4,2023-01-02,1.0,0,1,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
32,AOW_afbouw_3,2023-01-02,1.0,0,1,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
33,AOW_afbouw_2,2023-01-02,1.0,0,1,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
34,AOW_afbouw_1,2023-01-02,1.0,0,1,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
35,Axent_VRW,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
36,World_equity_fund,2023-01-02,1.0,0,2,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
37,Europees_Rente_fund,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
38,Aandelen_Fund_AX,2023-01-02,1.0,0,2,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
39,-,2023-01-02,1.0,0,0,0,1.0025985401240676,1.0052060954783741,1.0078242173988239
