fund_number,fund_name,price_date,price,guarantee,fund_ind,hr_indicator,M1,M2,M3
1,Aandelen_Fund,2023-01-02,57.11,0,2,0,60.6,60.84,61.05
2,Rente_Fund,2023-01-02,19.76,1,0,0,20.12,19.61,20.08
3,Mix_Fund,2023-01-02,34.66,1,1,0,35.79,35.38,35.58
4,Vastgoed_Fund,2023-01-02,38.64,0,2,0,41.47,40.51,38.31
5,Deposito_Fund,2023-01-02,9.85,0,0,0,9.86,9.87,9.89
6,IndexPlus_Fund,2023-01-02,23.69,0,0,0,26.68,26.46,27.12
7,Emerging_Markets_Fund,2023-01-02,22.6,0,2,0,24.0,22.91,23.05
8,GarantiePlus,2023-01-02,9.85,0,0,0,9.86,9.87,9.89
9,-,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
10,Levensloop_HR,2023-01-02,1.0,0,0,1,1.0,1.0,1.0
11,Equity_Holland,2023-01-02,1.0,0,2,0,1.0,1.0,1.0
12,IndexPlus_Fund,2023-01-02,23.69,0,0,0,26.68,26.46,27.12
13,Equity_Europe,2023-01-02,31.22,0,2,0,33.37,33.93,33.91
14,Hypotheek_Rekening,2023-01-02,1.0,0,0,1,1.0,1.0,1.0
15,Equity_North_America,2023-01-02,1.0,0,2,0,1.0,1.0,1.0
16,Equity_Pacific,2023-01-02,1.0,0,2,0,1.0,1.0,1.0
17,GAR_Click_95_FND,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
18,AEGON_Garantie_Risico,2023-01-02,1.0,0,0,1,1.0,1.0,1.0
19,AEGON_Spaarhypotheek,2023-01-02,1.0,0,0,1,1.0,1.0,1.0
20,USA-Dollar_Fonds,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
21,Comfort_Europe,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
22,Dynamic_6,2023-01-02,21.54,0,0,0,22.43,22.14,22.31
23,Dynamic_4,2023-01-02,18.28,0,0,0,18.87,18.54,18.79
24,Deposito_Fonds_(Val),2023-01-02,9.85,0,0,0,9.86,9.87,9.89
25,STAATSLENINGEN,2023-01-02,14.29,0,0,0,14.33,14.36,14.4
26,STAATSLENINGEN,2023-01-02,14.29,0,0,0,14.33,14.36,14.4
27,-,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
28,-,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
29,-,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
30,AOW_afbouw_5,2023-01-02,1.0,0,1,0,1.0,1.0,1.0
31,AOW_afbouw_4,2023-01-02,1.0,0,1,0,1.0,1.0,1.0
32,AOW_afbouw_3,2023-01-02,1.0,0,1,0,1.0,1.0,1.0
33,AOW_afbouw_2,2023-01-02,1.0,0,1,0,1.0,1.0,1.0
34,AOW_afbouw_1,2023-01-02,1.0,0,1,0,1.0,1.0,1.0
35,Axent_VRW,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
36,World_equity_fund,2023-01-02,1.0,0,2,0,1.0,1.0,1.0
37,Europees_Rente_fund,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
38,Aandelen_Fund_AX,2023-01-02,1.0,0,2,0,1.0,1.0,1.0
39,-,2023-01-02,1.0,0,0,0,1.0,1.0,1.0
