prodboomcd,projection_year,value
AEGON_SPAARBEURS_lapse_a,1,0
AEGON_SPAARBEURS_lapse_a,2,0
AEGON_SPAARBEURS_lapse_a,3,0
AEGON_SPAARBEURS_lapse_a,4,0
AEGON_SPAARBEURS_lapse_a,5,0
AEGON_SPAARBEURS_lapse_a,6,0
AEGON_SPAARBEURS_lapse_a,7,0
AEGON_SPAARBEURS_lapse_a,8,0
AEGON_SPAARBEURS_lapse_a,9,0
AEGON_SPAARBEURS_lapse_a,10,0
AEGON_SPAARBEURS_lapse_a,11,0
AEGON_SPAARBEURS_lapse_b,1,0
AEGON_SPAARBEURS_lapse_b,2,0
AEGON_SPAARBEURS_lapse_b,3,0
AEGON_SPAARBEURS_lapse_b,4,0
AEGON_SPAARBEURS_lapse_b,5,0
AEGON_SPAARBEURS_lapse_b,6,0
AEGON_SPAARBEURS_lapse_b,7,0
AEGON_SPAARBEURS_lapse_b,8,0
AEGON_SPAARBEURS_lapse_b,9,0
AEGON_SPAARBEURS_lapse_b,10,0
AEGON_SPAARBEURS_lapse_b,11,0
AEGON_SPAARBEURS_pup_a,1,0
AEGON_SPAARBEURS_pup_a,2,0
AEGON_SPAARBEURS_pup_a,3,0
AEGON_SPAARBEURS_pup_a,4,0
AEGON_SPAARBEURS_pup_a,5,0
AEGON_SPAARBEURS_pup_a,6,0
AEGON_SPAARBEURS_pup_a,7,0
AEGON_SPAARBEURS_pup_a,8,0
AEGON_SPAARBEURS_pup_a,9,0
AEGON_SPAARBEURS_pup_a,10,0
AEGON_SPAARBEURS_pup_a,11,0
AEGON_SPAARBEURS_pup_b,1,0
AEGON_SPAARBEURS_pup_b,2,0
AEGON_SPAARBEURS_pup_b,3,0
AEGON_SPAARBEURS_pup_b,4,0
AEGON_SPAARBEURS_pup_b,5,0
AEGON_SPAARBEURS_pup_b,6,0
AEGON_SPAARBEURS_pup_b,7,0
AEGON_SPAARBEURS_pup_b,8,0
AEGON_SPAARBEURS_pup_b,9,0
AEGON_SPAARBEURS_pup_b,10,0
AEGON_SPAARBEURS_pup_b,11,0
AFP_lapse_a,1,0
AFP_lapse_a,2,0
AFP_lapse_a,3,0
AFP_lapse_a,4,0
AFP_lapse_a,5,0
AFP_lapse_a,6,0
AFP_lapse_a,7,0
AFP_lapse_a,8,0
AFP_lapse_a,9,0
AFP_lapse_a,10,0
AFP_lapse_a,11,0
AFP_lapse_b,1,0
AFP_lapse_b,2,0
AFP_lapse_b,3,0
AFP_lapse_b,4,0
AFP_lapse_b,5,0
AFP_lapse_b,6,0
AFP_lapse_b,7,0
AFP_lapse_b,8,0
AFP_lapse_b,9,0
AFP_lapse_b,10,0
AFP_lapse_b,11,0
AFP_pup_a,1,0
AFP_pup_a,2,0
AFP_pup_a,3,0
AFP_pup_a,4,0
AFP_pup_a,5,0
AFP_pup_a,6,0
AFP_pup_a,7,0
AFP_pup_a,8,0
AFP_pup_a,9,0
AFP_pup_a,10,0
AFP_pup_a,11,0
AFP_pup_b,1,0
AFP_pup_b,2,0
AFP_pup_b,3,0
AFP_pup_b,4,0
AFP_pup_b,5,0
AFP_pup_b,6,0
AFP_pup_b,7,0
AFP_pup_b,8,0
AFP_pup_b,9,0
AFP_pup_b,10,0
AFP_pup_b,11,0
ALH_lapse_a,1,0
ALH_lapse_a,2,0
ALH_lapse_a,3,0
ALH_lapse_a,4,0
ALH_lapse_a,5,0
ALH_lapse_a,6,0
ALH_lapse_a,7,0
ALH_lapse_a,8,0
ALH_lapse_a,9,0
ALH_lapse_a,10,0
ALH_lapse_a,11,0
ALH_lapse_b,1,0
ALH_lapse_b,2,0
ALH_lapse_b,3,0
ALH_lapse_b,4,0
ALH_lapse_b,5,0
ALH_lapse_b,6,0
ALH_lapse_b,7,0
ALH_lapse_b,8,0
ALH_lapse_b,9,0
ALH_lapse_b,10,0
ALH_lapse_b,11,0
ALH_pup_a,1,0
ALH_pup_a,2,0
ALH_pup_a,3,0
ALH_pup_a,4,0
ALH_pup_a,5,0
ALH_pup_a,6,0
ALH_pup_a,7,0
ALH_pup_a,8,0
ALH_pup_a,9,0
ALH_pup_a,10,0
ALH_pup_a,11,0
ALH_pup_b,1,0
ALH_pup_b,2,0
ALH_pup_b,3,0
ALH_pup_b,4,0
ALH_pup_b,5,0
ALH_pup_b,6,0
ALH_pup_b,7,0
ALH_pup_b,8,0
ALH_pup_b,9,0
ALH_pup_b,10,0
ALH_pup_b,11,0
ALIMENTATIE_lapse_a,1,0
ALIMENTATIE_lapse_a,2,0
ALIMENTATIE_lapse_a,3,0
ALIMENTATIE_lapse_a,4,0
ALIMENTATIE_lapse_a,5,0
ALIMENTATIE_lapse_a,6,0
ALIMENTATIE_lapse_a,7,0
ALIMENTATIE_lapse_a,8,0
ALIMENTATIE_lapse_a,9,0
ALIMENTATIE_lapse_a,10,0
ALIMENTATIE_lapse_a,11,0
ALIMENTATIE_lapse_b,1,0
ALIMENTATIE_lapse_b,2,0
ALIMENTATIE_lapse_b,3,0
ALIMENTATIE_lapse_b,4,0
ALIMENTATIE_lapse_b,5,0
ALIMENTATIE_lapse_b,6,0
ALIMENTATIE_lapse_b,7,0
ALIMENTATIE_lapse_b,8,0
ALIMENTATIE_lapse_b,9,0
ALIMENTATIE_lapse_b,10,0
ALIMENTATIE_lapse_b,11,0
ALIMENTATIE_pup_a,1,0
ALIMENTATIE_pup_a,2,0
ALIMENTATIE_pup_a,3,0
ALIMENTATIE_pup_a,4,0
ALIMENTATIE_pup_a,5,0
ALIMENTATIE_pup_a,6,0
ALIMENTATIE_pup_a,7,0
ALIMENTATIE_pup_a,8,0
ALIMENTATIE_pup_a,9,0
ALIMENTATIE_pup_a,10,0
ALIMENTATIE_pup_a,11,0
ALIMENTATIE_pup_b,1,0
ALIMENTATIE_pup_b,2,0
ALIMENTATIE_pup_b,3,0
ALIMENTATIE_pup_b,4,0
ALIMENTATIE_pup_b,5,0
ALIMENTATIE_pup_b,6,0
ALIMENTATIE_pup_b,7,0
ALIMENTATIE_pup_b,8,0
ALIMENTATIE_pup_b,9,0
ALIMENTATIE_pup_b,10,0
ALIMENTATIE_pup_b,11,0
AORV_Type1_lapse_a,1,0
AORV_Type1_lapse_a,2,0
AORV_Type1_lapse_a,3,0
AORV_Type1_lapse_a,4,0
AORV_Type1_lapse_a,5,0
AORV_Type1_lapse_a,6,0
AORV_Type1_lapse_a,7,0
AORV_Type1_lapse_a,8,0
AORV_Type1_lapse_a,9,0
AORV_Type1_lapse_a,10,0
AORV_Type1_lapse_a,11,0
AORV_Type1_lapse_b,1,0
AORV_Type1_lapse_b,2,0
AORV_Type1_lapse_b,3,0
AORV_Type1_lapse_b,4,0
AORV_Type1_lapse_b,5,0
AORV_Type1_lapse_b,6,0
AORV_Type1_lapse_b,7,0
AORV_Type1_lapse_b,8,0
AORV_Type1_lapse_b,9,0
AORV_Type1_lapse_b,10,0
AORV_Type1_lapse_b,11,0
AORV_Type1_pup_a,1,0
AORV_Type1_pup_a,2,0
AORV_Type1_pup_a,3,0
AORV_Type1_pup_a,4,0
AORV_Type1_pup_a,5,0
AORV_Type1_pup_a,6,0
AORV_Type1_pup_a,7,0
AORV_Type1_pup_a,8,0
AORV_Type1_pup_a,9,0
AORV_Type1_pup_a,10,0
AORV_Type1_pup_a,11,0
AORV_Type1_pup_b,1,0
AORV_Type1_pup_b,2,0
AORV_Type1_pup_b,3,0
AORV_Type1_pup_b,4,0
AORV_Type1_pup_b,5,0
AORV_Type1_pup_b,6,0
AORV_Type1_pup_b,7,0
AORV_Type1_pup_b,8,0
AORV_Type1_pup_b,9,0
AORV_Type1_pup_b,10,0
AORV_Type1_pup_b,11,0
AORV_Type2_lapse_a,1,0
AORV_Type2_lapse_a,2,0
AORV_Type2_lapse_a,3,0
AORV_Type2_lapse_a,4,0
AORV_Type2_lapse_a,5,0
AORV_Type2_lapse_a,6,0
AORV_Type2_lapse_a,7,0
AORV_Type2_lapse_a,8,0
AORV_Type2_lapse_a,9,0
AORV_Type2_lapse_a,10,0
AORV_Type2_lapse_a,11,0
AORV_Type2_lapse_b,1,0
AORV_Type2_lapse_b,2,0
AORV_Type2_lapse_b,3,0
AORV_Type2_lapse_b,4,0
AORV_Type2_lapse_b,5,0
AORV_Type2_lapse_b,6,0
AORV_Type2_lapse_b,7,0
AORV_Type2_lapse_b,8,0
AORV_Type2_lapse_b,9,0
AORV_Type2_lapse_b,10,0
AORV_Type2_lapse_b,11,0
AORV_Type2_pup_a,1,0
AORV_Type2_pup_a,2,0
AORV_Type2_pup_a,3,0
AORV_Type2_pup_a,4,0
AORV_Type2_pup_a,5,0
AORV_Type2_pup_a,6,0
AORV_Type2_pup_a,7,0
AORV_Type2_pup_a,8,0
AORV_Type2_pup_a,9,0
AORV_Type2_pup_a,10,0
AORV_Type2_pup_a,11,0
AORV_Type2_pup_b,1,0
AORV_Type2_pup_b,2,0
AORV_Type2_pup_b,3,0
AORV_Type2_pup_b,4,0
AORV_Type2_pup_b,5,0
AORV_Type2_pup_b,6,0
AORV_Type2_pup_b,7,0
AORV_Type2_pup_b,8,0
AORV_Type2_pup_b,9,0
AORV_Type2_pup_b,10,0
AORV_Type2_pup_b,11,0
AORV_Type3_lapse_a,1,0
AORV_Type3_lapse_a,2,0
AORV_Type3_lapse_a,3,0
AORV_Type3_lapse_a,4,0
AORV_Type3_lapse_a,5,0
AORV_Type3_lapse_a,6,0
AORV_Type3_lapse_a,7,0
AORV_Type3_lapse_a,8,0
