prodboomcd,age,value
2040PLUSFONDS_PP,15,1.0
2040PLUSFONDS_PP,16,1.0
2040PLUSFONDS_PP,17,1.0
2040PLUSFONDS_PP,18,0.927243123
2040PLUSFONDS_PP,19,0.859779809
2040PLUSFONDS_PP,20,0.797224915
2040PLUSFONDS_PP,21,0.73922132
2040PLUSFONDS_PP,22,0.685437885
2040PLUSFONDS_PP,23,0.635567565
2040PLUSFONDS_PP,24,0.589325654
2040PLUSFONDS_PP,25,0.54644816
2040PLUSFONDS_PP,26,0.506690298
2040PLUSFONDS_PP,27,0.523199803
2040PLUSFONDS_PP,28,0.540247237
2040PLUSFONDS_PP,29,0.557850128
2040PLUSFONDS_PP,30,0.576026575
2040PLUSFONDS_PP,31,0.594795266
2040PLUSFONDS_PP,32,0.614175497
2040PLUSFONDS_PP,33,0.634187195
2040PLUSFONDS_PP,34,0.654850935
2040PLUSFONDS_PP,35,0.676187962
2040PLUSFONDS_PP,36,0.698220214
2040PLUSFONDS_PP,37,0.720970344
2040PLUSFONDS_PP,38,0.744461741
2040PLUSFONDS_PP,39,0.76871856
2040PLUSFONDS_PP,40,0.793765739
2040PLUSFONDS_PP,41,0.802976941
2040PLUSFONDS_PP,42,0.812295034
2040PLUSFONDS_PP,43,0.821721259
2040PLUSFONDS_PP,44,0.831256869
2040PLUSFONDS_PP,45,0.840903135
2040PLUSFONDS_PP,46,0.85066134
2040PLUSFONDS_PP,47,0.860532783
2040PLUSFONDS_PP,48,0.870518779
2040PLUSFONDS_PP,49,0.880620657
2040PLUSFONDS_PP,50,0.890839762
2040PLUSFONDS_PP,51,0.901177453
2040PLUSFONDS_PP,52,0.911635108
2040PLUSFONDS_PP,53,0.922214117
2040PLUSFONDS_PP,54,0.932915891
2040PLUSFONDS_PP,55,0.943741852
2040PLUSFONDS_PP,56,0.954693442
2040PLUSFONDS_PP,57,0.965772119
2040PLUSFONDS_PP,58,0.976979358
2040PLUSFONDS_PP,59,0.988316651
2040PLUSFONDS_PP,60,0.999785507
2040PLUSFONDS_PP,61,1.011387452
2040PLUSFONDS_PP,62,1.023124031
2040PLUSFONDS_PP,63,1.034996807
2040PLUSFONDS_PP,64,1.047007359
2040PLUSFONDS_PP,65,1.059157287
2040PLUSFONDS_PP,66,1.071448208
2040PLUSFONDS_PP,67,1.083881758
2040PLUSFONDS_PP,68,1.096459593
2040PLUSFONDS_PP,69,1.109183386
2040PLUSFONDS_PP,70,1.122054832
2040PLUSFONDS_PP,71,1.135075643
2040PLUSFONDS_PP,72,1.148247554
2040PLUSFONDS_PP,73,1.161572317
2040PLUSFONDS_PP,74,1.175051707
2040PLUSFONDS_PP,75,1.188687517
2040PLUSFONDS_PP,76,1.202481563
2040PLUSFONDS_PP,77,1.216435682
2040PLUSFONDS_PP,78,1.23055173
2040PLUSFONDS_PP,79,1.244831586
2040PLUSFONDS_PP,80,1.334058719
2040PLUSFONDS_PP,81,1.334058719
2040PLUSFONDS_PUP,15,1.0
2040PLUSFONDS_PUP,16,1.0
2040PLUSFONDS_PUP,17,1.0
2040PLUSFONDS_PUP,18,0.927243123
2040PLUSFONDS_PUP,19,0.859779809
2040PLUSFONDS_PUP,20,0.797224915
2040PLUSFONDS_PUP,21,0.73922132
2040PLUSFONDS_PUP,22,0.685437885
2040PLUSFONDS_PUP,23,0.635567565
2040PLUSFONDS_PUP,24,0.589325654
2040PLUSFONDS_PUP,25,0.54644816
2040PLUSFONDS_PUP,26,0.506690298
2040PLUSFONDS_PUP,27,0.523199803
2040PLUSFONDS_PUP,28,0.540247237
2040PLUSFONDS_PUP,29,0.557850128
2040PLUSFONDS_PUP,30,0.576026575
2040PLUSFONDS_PUP,31,0.594795266
2040PLUSFONDS_PUP,32,0.614175497
2040PLUSFONDS_PUP,33,0.634187195
2040PLUSFONDS_PUP,34,0.654850935
2040PLUSFONDS_PUP,35,0.676187962
2040PLUSFONDS_PUP,36,0.698220214
2040PLUSFONDS_PUP,37,0.720970344
2040PLUSFONDS_PUP,38,0.744461741
2040PLUSFONDS_PUP,39,0.76871856
2040PLUSFONDS_PUP,40,0.793765739
2040PLUSFONDS_PUP,41,0.802976941
2040PLUSFONDS_PUP,42,0.812295034
2040PLUSFONDS_PUP,43,0.821721259
2040PLUSFONDS_PUP,44,0.831256869
2040PLUSFONDS_PUP,45,0.840903135
2040PLUSFONDS_PUP,46,0.85066134
2040PLUSFONDS_PUP,47,0.860532783
2040PLUSFONDS_PUP,48,0.870518779
2040PLUSFONDS_PUP,49,0.880620657
2040PLUSFONDS_PUP,50,0.890839762
2040PLUSFONDS_PUP,51,0.901177453
2040PLUSFONDS_PUP,52,0.911635108
2040PLUSFONDS_PUP,53,0.922214117
2040PLUSFONDS_PUP,54,0.932915891
2040PLUSFONDS_PUP,55,0.943741852
2040PLUSFONDS_PUP,56,0.954693442
2040PLUSFONDS_PUP,57,0.965772119
2040PLUSFONDS_PUP,58,0.976979358
2040PLUSFONDS_PUP,59,0.988316651
2040PLUSFONDS_PUP,60,0.999785507
2040PLUSFONDS_PUP,61,1.011387452
2040PLUSFONDS_PUP,62,1.023124031
2040PLUSFONDS_PUP,63,1.034996807
2040PLUSFONDS_PUP,64,1.047007359
2040PLUSFONDS_PUP,65,1.059157287
2040PLUSFONDS_PUP,66,1.071448208
2040PLUSFONDS_PUP,67,1.083881758
2040PLUSFONDS_PUP,68,1.096459593
2040PLUSFONDS_PUP,69,1.109183386
2040PLUSFONDS_PUP,70,1.122054832
2040PLUSFONDS_PUP,71,1.135075643
2040PLUSFONDS_PUP,72,1.148247554
2040PLUSFONDS_PUP,73,1.161572317
2040PLUSFONDS_PUP,74,1.175051707
2040PLUSFONDS_PUP,75,1.188687517
2040PLUSFONDS_PUP,76,1.202481563
2040PLUSFONDS_PUP,77,1.216435682
2040PLUSFONDS_PUP,78,1.23055173
2040PLUSFONDS_PUP,79,1.244831586
2040PLUSFONDS_PUP,80,1.334058719
2040PLUSFONDS_PUP,81,1.334058719
AEGON_KOERSPLAN_spaaradvies,15,1.0
AEGON_KOERSPLAN_spaaradvies,16,1.0
AEGON_KOERSPLAN_spaaradvies,17,1.0
AEGON_KOERSPLAN_spaaradvies,18,0.927243123
AEGON_KOERSPLAN_spaaradvies,19,0.859779809
AEGON_KOERSPLAN_spaaradvies,20,0.797224915
AEGON_KOERSPLAN_spaaradvies,21,0.73922132
AEGON_KOERSPLAN_spaaradvies,22,0.685437885
AEGON_KOERSPLAN_spaaradvies,23,0.635567565
AEGON_KOERSPLAN_spaaradvies,24,0.589325654
AEGON_KOERSPLAN_spaaradvies,25,0.54644816
AEGON_KOERSPLAN_spaaradvies,26,0.506690298
AEGON_KOERSPLAN_spaaradvies,27,0.523199803
AEGON_KOERSPLAN_spaaradvies,28,0.540247237
AEGON_KOERSPLAN_spaaradvies,29,0.557850128
AEGON_KOERSPLAN_spaaradvies,30,0.576026575
AEGON_KOERSPLAN_spaaradvies,31,0.594795266
AEGON_KOERSPLAN_spaaradvies,32,0.614175497
AEGON_KOERSPLAN_spaaradvies,33,0.634187195
AEGON_KOERSPLAN_spaaradvies,34,0.654850935
AEGON_KOERSPLAN_spaaradvies,35,0.676187962
AEGON_KOERSPLAN_spaaradvies,36,0.698220214
AEGON_KOERSPLAN_spaaradvies,37,0.720970344
AEGON_KOERSPLAN_spaaradvies,38,0.744461741
AEGON_KOERSPLAN_spaaradvies,39,0.76871856
AEGON_KOERSPLAN_spaaradvies,40,0.793765739
AEGON_KOERSPLAN_spaaradvies,41,0.802976941
AEGON_KOERSPLAN_spaaradvies,42,0.812295034
AEGON_KOERSPLAN_spaaradvies,43,0.821721259
AEGON_KOERSPLAN_spaaradvies,44,0.831256869
AEGON_KOERSPLAN_spaaradvies,45,0.840903135
AEGON_KOERSPLAN_spaaradvies,46,0.85066134
AEGON_KOERSPLAN_spaaradvies,47,0.860532783
AEGON_KOERSPLAN_spaaradvies,48,0.870518779
AEGON_KOERSPLAN_spaaradvies,49,0.880620657
AEGON_KOERSPLAN_spaaradvies,50,0.890839762
AEGON_KOERSPLAN_spaaradvies,51,0.901177453
AEGON_KOERSPLAN_spaaradvies,52,0.911635108
AEGON_KOERSPLAN_spaaradvies,53,0.922214117
AEGON_KOERSPLAN_spaaradvies,54,0.932915891
AEGON_KOERSPLAN_spaaradvies,55,0.943741852
AEGON_KOERSPLAN_spaaradvies,56,0.954693442
AEGON_KOERSPLAN_spaaradvies,57,0.965772119
AEGON_KOERSPLAN_spaaradvies,58,0.976979358
AEGON_KOERSPLAN_spaaradvies,59,0.988316651
AEGON_KOERSPLAN_spaaradvies,60,0.999785507
AEGON_KOERSPLAN_spaaradvies,61,1.011387452
AEGON_KOERSPLAN_spaaradvies,62,1.023124031
AEGON_KOERSPLAN_spaaradvies,63,1.034996807
AEGON_KOERSPLAN_spaaradvies,64,1.047007359
AEGON_KOERSPLAN_spaaradvies,65,1.059157287
AEGON_KOERSPLAN_spaaradvies,66,1.071448208
AEGON_KOERSPLAN_spaaradvies,67,1.083881758
AEGON_KOERSPLAN_spaaradvies,68,1.096459593
AEGON_KOERSPLAN_spaaradvies,69,1.109183386
AEGON_KOERSPLAN_spaaradvies,70,1.122054832
AEGON_KOERSPLAN_spaaradvies,71,1.135075643
AEGON_KOERSPLAN_spaaradvies,72,1.148247554
AEGON_KOERSPLAN_spaaradvies,73,1.161572317
AEGON_KOERSPLAN_spaaradvies,74,1.175051707
AEGON_KOERSPLAN_spaaradvies,75,1.188687517
AEGON_KOERSPLAN_spaaradvies,76,1.202481563
AEGON_KOERSPLAN_spaaradvies,77,1.216435682
AEGON_KOERSPLAN_spaaradvies,78,1.23055173
AEGON_KOERSPLAN_spaaradvies,79,1.244831586
AEGON_KOERSPLAN_spaaradvies,80,1.334058719
AEGON_KOERSPLAN_spaaradvies,81,1.334058719
AEGON_SPAARBEURS_direct,15,1.0
AEGON_SPAARBEURS_direct,16,1.0
AEGON_SPAARBEURS_direct,17,1.0
AEGON_SPAARBEURS_direct,18,0.927243123
AEGON_SPAARBEURS_direct,19,0.859779809
AEGON_SPAARBEURS_direct,20,0.797224915
AEGON_SPAARBEURS_direct,21,0.73922132
AEGON_SPAARBEURS_direct,22,0.685437885
AEGON_SPAARBEURS_direct,23,0.635567565
AEGON_SPAARBEURS_direct,24,0.589325654
AEGON_SPAARBEURS_direct,25,0.54644816
AEGON_SPAARBEURS_direct,26,0.506690298
AEGON_SPAARBEURS_direct,27,0.523199803
