prodboomcd,fund_value,value
2040PLUSFONDS_PP,500,1.0
2040PLUSFONDS_PP,1000,1.0
2040PLUSFONDS_PP,1500,1.0
2040PLUSFONDS_PP,2000,1.0
2040PLUSFONDS_PP,2500,1.0
2040PLUSFONDS_PP,3000,1.0
2040PLUSFONDS_PP,3500,1.0
2040PLUSFONDS_PP,4000,1.0
2040PLUSFONDS_PP,4500,1.0
2040PLUSFONDS_PP,5000,1.0
2040PLUSFONDS_PP,5500,1.0
2040PLUSFONDS_PP,6000,1.0
2040PLUSFONDS_PP,6500,1.0
2040PLUSFONDS_PP,7000,1.0
2040PLUSFONDS_PP,7500,1.0
2040PLUSFONDS_PP,8000,1.0
2040PLUSFONDS_PP,8500,1.0
2040PLUSFONDS_PP,9000,1.0
2040PLUSFONDS_PP,9500,1.0
2040PLUSFONDS_PP,10000,1.0
2040PLUSFONDS_PP,10500,1.0
2040PLUSFONDS_PP,11000,1.0
2040PLUSFONDS_PP,11500,1.0
2040PLUSFONDS_PP,12000,1.0
2040PLUSFONDS_PP,12500,1.0
2040PLUSFONDS_PP,13000,1.0
2040PLUSFONDS_PP,13500,1.0
2040PLUSFONDS_PP,14000,1.0
2040PLUSFONDS_PP,14500,1.0
2040PLUSFONDS_PP,15000,1.0
2040PLUSFONDS_PP,15500,1.0
2040PLUSFONDS_PP,16000,1.0
2040PLUSFONDS_PP,16500,1.0
2040PLUSFONDS_PP,17000,1.0
2040PLUSFONDS_PP,17500,1.0
2040PLUSFONDS_PP,18000,1.0
2040PLUSFONDS_PP,18500,1.0
2040PLUSFONDS_PP,19000,1.0
2040PLUSFONDS_PP,19500,1.0
2040PLUSFONDS_PP,20000,1.0
2040PLUSFONDS_PP,20500,1.0
2040PLUSFONDS_PP,21000,1.0
2040PLUSFONDS_PP,21500,1.0
2040PLUSFONDS_PP,22000,1.0
2040PLUSFONDS_PP,22500,1.0
2040PLUSFONDS_PP,23000,1.0
2040PLUSFONDS_PP,23500,1.0
2040PLUSFONDS_PP,24000,1.0
2040PLUSFONDS_PP,24500,1.0
2040PLUSFONDS_PP,25000,1.0
2040PLUSFONDS_PP,25500,1.0
2040PLUSFONDS_PP,26000,1.0
2040PLUSFONDS_PP,26500,1.0
2040PLUSFONDS_PP,27000,1.0
2040PLUSFONDS_PP,27500,1.0
2040PLUSFONDS_PP,28000,1.0
2040PLUSFONDS_PP,28500,1.0
2040PLUSFONDS_PP,29000,1.0
2040PLUSFONDS_PP,29500,1.0
2040PLUSFONDS_PP,30000,1.0
2040PLUSFONDS_PP,30500,1.0
2040PLUSFONDS_PP,31000,1.0
2040PLUSFONDS_PP,31500,1.0
2040PLUSFONDS_PP,32000,1.0
2040PLUSFONDS_PP,32500,1.0
2040PLUSFONDS_PP,33000,1.0
2040PLUSFONDS_PP,33500,1.0
2040PLUSFONDS_PP,34000,1.0
2040PLUSFONDS_PP,34500,1.0
2040PLUSFONDS_PP,35000,1.0
2040PLUSFONDS_PP,35500,1.0
2040PLUSFONDS_PP,36000,1.0
2040PLUSFONDS_PP,36500,1.0
2040PLUSFONDS_PP,37000,1.0
2040PLUSFONDS_PP,37500,1.0
2040PLUSFONDS_PP,38000,1.0
2040PLUSFONDS_PP,38500,1.0
2040PLUSFONDS_PP,39000,1.0
2040PLUSFONDS_PP,39500,1.0
2040PLUSFONDS_PP,40000,1.0
2040PLUSFONDS_PP,40500,1.0
