prodboomcd,policy_year,value
2040PLUSFONDS_PP,0,1.0
2040PLUSFONDS_PP,1,1.0
2040PLUSFONDS_PP,2,1.0
2040PLUSFONDS_PP,3,1.0
2040PLUSFONDS_PP,4,1.0
2040PLUSFONDS_PP,5,1.0
2040PLUSFONDS_PP,6,1.0
2040PLUSFONDS_PP,7,1.0
2040PLUSFONDS_PP,8,1.0
2040PLUSFONDS_PP,9,1.0
2040PLUSFONDS_PP,10,1.0
2040PLUSFONDS_PP,11,1.0
2040PLUSFONDS_PP,12,1.0
2040PLUSFONDS_PP,13,1.0
2040PLUSFONDS_PP,14,1.0
2040PLUSFONDS_PP,15,1.0
2040PLUSFONDS_PP,16,1.0
2040PLUSFONDS_PP,17,1.0
2040PLUSFONDS_PP,18,1.0
2040PLUSFONDS_PP,19,1.0
2040PLUSFONDS_PP,20,1.0
2040PLUSFONDS_PP,21,1.0
2040PLUSFONDS_PP,22,1.0
2040PLUSFONDS_PP,23,1.0
2040PLUSFONDS_PP,24,1.0
2040PLUSFONDS_PP,25,1.0
2040PLUSFONDS_PP,26,1.0
2040PLUSFONDS_PP,27,1.0
2040PLUSFONDS_PP,28,1.0
2040PLUSFONDS_PP,29,1.0
2040PLUSFONDS_PP,30,1.0
2040PLUSFONDS_PP,31,1.0
2040PLUSFONDS_PP,32,1.0
2040PLUSFONDS_PP,33,1.0
2040PLUSFONDS_PP,34,1.0
2040PLUSFONDS_PP,35,1.0
2040PLUSFONDS_PP,36,1.0
2040PLUSFONDS_PP,37,1.0
2040PLUSFONDS_PP,38,1.0
2040PLUSFONDS_PP,39,1.0
2040PLUSFONDS_PP,40,1.0
2040PLUSFONDS_PP,41,1.0
2040PLUSFONDS_PUP,0,1.0
2040PLUSFONDS_PUP,1,1.0
2040PLUSFONDS_PUP,2,1.0
2040PLUSFONDS_PUP,3,1.0
2040PLUSFONDS_PUP,4,1.0
2040PLUSFONDS_PUP,5,1.0
2040PLUSFONDS_PUP,6,1.0
2040PLUSFONDS_PUP,7,1.0
2040PLUSFONDS_PUP,8,1.0
2040PLUSFONDS_PUP,9,1.0
2040PLUSFONDS_PUP,10,1.0
2040PLUSFONDS_PUP,11,1.0
2040PLUSFONDS_PUP,12,1.0
2040PLUSFONDS_PUP,13,1.0
2040PLUSFONDS_PUP,14,1.0
2040PLUSFONDS_PUP,15,1.0
2040PLUSFONDS_PUP,16,1.0
2040PLUSFONDS_PUP,17,1.0
2040PLUSFONDS_PUP,18,1.0
2040PLUSFONDS_PUP,19,1.0
2040PLUSFONDS_PUP,20,1.0
2040PLUSFONDS_PUP,21,1.0
2040PLUSFONDS_PUP,22,1.0
2040PLUSFONDS_PUP,23,1.0
2040PLUSFONDS_PUP,24,1.0
2040PLUSFONDS_PUP,25,1.0
2040PLUSFONDS_PUP,26,1.0
2040PLUSFONDS_PUP,27,1.0
2040PLUSFONDS_PUP,28,1.0
2040PLUSFONDS_PUP,29,1.0
2040PLUSFONDS_PUP,30,1.0
2040PLUSFONDS_PUP,31,1.0
2040PLUSFONDS_PUP,32,1.0
2040PLUSFONDS_PUP,33,1.0
2040PLUSFONDS_PUP,34,1.0
2040PLUSFONDS_PUP,35,1.0
2040PLUSFONDS_PUP,36,1.0
2040PLUSFONDS_PUP,37,1.0
2040PLUSFONDS_PUP,38,1.0
2040PLUSFONDS_PUP,39,1.0
2040PLUSFONDS_PUP,40,1.0
2040PLUSFONDS_PUP,41,1.0
AEGON_KOERSPLAN_spaaradvies,0,1.0
AEGON_KOERSPLAN_spaaradvies,1,1.0
AEGON_KOERSPLAN_spaaradvies,2,1.0
AEGON_KOERSPLAN_spaaradvies,3,1.0
AEGON_KOERSPLAN_spaaradvies,4,1.0
AEGON_KOERSPLAN_spaaradvies,5,1.0
AEGON_KOERSPLAN_spaaradvies,6,1.0
AEGON_KOERSPLAN_spaaradvies,7,1.0
AEGON_KOERSPLAN_spaaradvies,8,1.0
AEGON_KOERSPLAN_spaaradvies,9,1.0
AEGON_KOERSPLAN_spaaradvies,10,1.0
AEGON_KOERSPLAN_spaaradvies,11,1.0
AEGON_KOERSPLAN_spaaradvies,12,1.0
AEGON_KOERSPLAN_spaaradvies,13,1.0
AEGON_KOERSPLAN_spaaradvies,14,1.0
AEGON_KOERSPLAN_spaaradvies,15,1.0
AEGON_KOERSPLAN_spaaradvies,16,1.0
AEGON_KOERSPLAN_spaaradvies,17,1.0
AEGON_KOERSPLAN_spaaradvies,18,1.0
AEGON_KOERSPLAN_spaaradvies,19,1.0
AEGON_KOERSPLAN_spaaradvies,20,1.0
AEGON_KOERSPLAN_spaaradvies,21,1.0
AEGON_KOERSPLAN_spaaradvies,22,1.0
