prodboomcd,premium,value
2040PLUSFONDS_PP,50,1.0
2040PLUSFONDS_PP,100,1.0
2040PLUSFONDS_PP,150,1.0
2040PLUSFONDS_PP,200,1.0
2040PLUSFONDS_PP,250,1.0
2040PLUSFONDS_PP,300,1.0
2040PLUSFONDS_PP,350,1.0
2040PLUSFONDS_PP,400,1.0
2040PLUSFONDS_PP,450,1.0
2040PLUSFONDS_PP,500,1.0
2040PLUSFONDS_PP,550,1.0
2040PLUSFONDS_PP,600,1.0
2040PLUSFONDS_PP,650,1.0
2040PLUSFONDS_PP,700,1.0
2040PLUSFONDS_PP,750,1.0
2040PLUSFONDS_PP,800,1.0
2040PLUSFONDS_PP,850,1.0
2040PLUSFONDS_PP,900,1.0
2040PLUSFONDS_PP,950,1.0
2040PLUSFONDS_PP,1000,1.0
2040PLUSFONDS_PP,1050,1.0
2040PLUSFONDS_PP,1100,1.0
2040PLUSFONDS_PP,1150,1.0
2040PLUSFONDS_PP,1200,1.0
2040PLUSFONDS_PP,1250,1.0
2040PLUSFONDS_PP,1300,1.0
2040PLUSFONDS_PP,1350,1.0
2040PLUSFONDS_PP,1400,1.0
2040PLUSFONDS_PP,1450,1.0
2040PLUSFONDS_PP,1500,1.0
2040PLUSFONDS_PP,1550,1.0
2040PLUSFONDS_PP,1600,1.0
2040PLUSFONDS_PP,1650,1.0
2040PLUSFONDS_PP,1700,1.0
2040PLUSFONDS_PP,1750,1.0
2040PLUSFONDS_PP,1800,1.0
2040PLUSFONDS_PP,1850,1.0
2040PLUSFONDS_PP,1900,1.0
2040PLUSFONDS_PP,1950,1.0
2040PLUSFONDS_PP,2000,1.0
2040PLUSFONDS_PP,2050,1.0
2040PLUSFONDS_PP,2100,1.0
2040PLUSFONDS_PP,2150,1.0
2040PLUSFONDS_PP,2200,1.0
2040PLUSFONDS_PP,2250,1.0
2040PLUSFONDS_PP,2300,1.0
2040PLUSFONDS_PP,2350,1.0
2040PLUSFONDS_PP,2400,1.0
