prodboomcd,remaining_years,value
2040PLUSFONDS_PP,0,3.327929113
2040PLUSFONDS_PP,1,1.337984813
2040PLUSFONDS_PP,2,1.290915923
2040PLUSFONDS_PP,3,1.245502866
2040PLUSFONDS_PP,4,1.201687393
2040PLUSFONDS_PP,5,1.159413301
2040PLUSFONDS_PP,6,1.283761975
2040PLUSFONDS_PP,7,1.247499578
2040PLUSFONDS_PP,8,1.212261483
2040PLUSFONDS_PP,9,1.178018759
2040PLUSFONDS_PP,10,1.144743288
2040PLUSFONDS_PP,11,1.169153452
2040PLUSFONDS_PP,12,1.122075749
2040PLUSFONDS_PP,13,1.076893701
2040PLUSFONDS_PP,14,1.033530974
2040PLUSFONDS_PP,15,0.991914313
2040PLUSFONDS_PP,16,1.041925475
2040PLUSFONDS_PP,17,1.039792275
2040PLUSFONDS_PP,18,1.037663443
2040PLUSFONDS_PP,19,1.035538968
2040PLUSFONDS_PP,20,1.033418844
2040PLUSFONDS_PP,21,1.03130306
2040PLUSFONDS_PP,22,1.029191608
2040PLUSFONDS_PP,23,1.027084479
2040PLUSFONDS_PP,24,1.024981663
2040PLUSFONDS_PP,25,1.022883153
2040PLUSFONDS_PP,26,1.074623569
2040PLUSFONDS_PP,27,1.074623569
2040PLUSFONDS_PP,28,1.074623569
2040PLUSFONDS_PP,29,1.074623569
2040PLUSFONDS_PP,30,1.0
2040PLUSFONDS_PP,31,1.0
2040PLUSFONDS_PUP,0,3.327929113
2040PLUSFONDS_PUP,1,1.337984813
2040PLUSFONDS_PUP,2,1.290915923
2040PLUSFONDS_PUP,3,1.245502866
2040PLUSFONDS_PUP,4,1.201687393
2040PLUSFONDS_PUP,5,1.159413301
2040PLUSFONDS_PUP,6,1.283761975
2040PLUSFONDS_PUP,7,1.247499578
2040PLUSFONDS_PUP,8,1.212261483
2040PLUSFONDS_PUP,9,1.178018759
2040PLUSFONDS_PUP,10,1.144743288
2040PLUSFONDS_PUP,11,1.169153452
2040PLUSFONDS_PUP,12,1.122075749
2040PLUSFONDS_PUP,13,1.076893701
2040PLUSFONDS_PUP,14,1.033530974
2040PLUSFONDS_PUP,15,0.991914313
2040PLUSFONDS_PUP,16,1.041925475
2040PLUSFONDS_PUP,17,1.039792275
2040PLUSFONDS_PUP,18,1.037663443
2040PLUSFONDS_PUP,19,1.035538968
2040PLUSFONDS_PUP,20,1.033418844
2040PLUSFONDS_PUP,21,1.03130306
2040PLUSFONDS_PUP,22,1.029191608
2040PLUSFONDS_PUP,23,1.027084479
2040PLUSFONDS_PUP,24,1.024981663
2040PLUSFONDS_PUP,25,1.022883153
