prodboomcd,lapse_method,rate_type,base_rate
SALDO,MONTHLY,logit,142.3450946
RISICO,MONTHLY,average,1.0
PENSIOEN,MONTHLY,logit,142.3450946
NETTO_LIJFRENTE,MONTHLY,logit,142.3450946
KAPITAAL,MONTHLY,logit,142.3450946
HYPOTHEEK,MONTHLY,average,1.0
GOUDENHANDDRUK,MONTHLY,logit,142.3450946
DEPOT,MONTHLY,logit,142.3450946
BEDRIJVEN,MONTHLY,logit,142.3450946
ALIMENTATIE,MONTHLY,average,1.0
LIJFRENTE,MONTHLY,logit,142.3450946
MM_CP,MONTHLY,logit,48.75778714
MM_EP,MONTHLY,logit,48.75778714
MM_KP,MONTHLY,logit,48.75778714
SH_8_PUP,MONTHLY,logit,26.74479757
SH_8_PP,MONTHLY,logit,26.74479757
SH_7_PUP,MONTHLY,logit,424.736227
SH_7_PP,MONTHLY,logit,424.736227
SH_6_PUP,MONTHLY,logit,52.55602631
SH_6_PP,MONTHLY,logit,52.55602631
SH_5_PUP,MONTHLY,logit,26.20542027
SH_5_PP,MONTHLY,logit,26.20542027
SH_4_PUP,MONTHLY,average,1.0
SH_4_PP,MONTHLY,average,1.0
SH_3_PUP,MONTHLY,logit,142.3450946
SH_3_PP,MONTHLY,logit,142.3450946
SH_2_PUP,MONTHLY,logit,75.66255216
SH_2_PP,MONTHLY,logit,75.66255216
SH_1_PUP,MONTHLY,logit,11.72154786
SH_1_PP,MONTHLY,logit,11.72154786
Z_W_8_PUP,MONTHLY,logit,26.74479757
Z_W_8_PP,MONTHLY,logit,26.74479757
Z_W_7_PUP,MONTHLY,logit,424.736227
Z_W_7_PP,MONTHLY,logit,424.736227
Z_W_6_PUP,MONTHLY,logit,52.55602631
Z_W_6_PP,MONTHLY,logit,52.55602631
Z_W_5_PUP,MONTHLY,logit,26.20542027
Z_W_5_PP,MONTHLY,logit,26.20542027
Z_W_4_PUP,MONTHLY,average,1.0
Z_W_4_PP,MONTHLY,average,1.0
Z_W_3_PUP,MONTHLY,logit,142.3450946
Z_W_3_PP,MONTHLY,logit,142.3450946
Z_W_2_PUP,MONTHLY,logit,75.66255216
Z_W_2_PP,MONTHLY,logit,75.66255216
Z_W_1_PUP,MONTHLY,logit,11.72154786
Z_W_1_PP,MONTHLY,logit,11.72154786
OR_8_PUP,MONTHLY,logit,26.74479757
OR_8_PP,MONTHLY,logit,26.74479757
OR_7_PUP,MONTHLY,logit,424.736227
OR_7_PP,MONTHLY,logit,424.736227
OR_6_PUP,MONTHLY,logit,52.55602631
OR_6_PP,MONTHLY,logit,52.55602631
OR_5_PUP,MONTHLY,logit,26.20542027
OR_5_PP,MONTHLY,logit,26.20542027
OR_4_PUP,MONTHLY,average,1.0
OR_4_PP,MONTHLY,average,1.0
OR_3_PUP,MONTHLY,logit,142.3450946
OR_3_PP,MONTHLY,logit,142.3450946
OR_2_PUP,MONTHLY,logit,75.66255216
OR_2_PP,MONTHLY,logit,75.66255216
OR_1_PUP,MONTHLY,logit,11.72154786
OR_1_PP,MONTHLY,logit,11.72154786
FP_8_PUP,MONTHLY,logit,26.74479757
FP_8_PP,MONTHLY,logit,26.74479757
FP_7_PUP,MONTHLY,logit,424.736227
FP_7_PP,MONTHLY,logit,424.736227
FP_6_PUP,MONTHLY,logit,52.55602631
FP_6_PP,MONTHLY,logit,52.55602631
FP_5_PUP,MONTHLY,logit,26.20542027
FP_5_PP,MONTHLY,logit,26.20542027
FP_4_PUP,MONTHLY,average,1.0
FP_4_PP,MONTHLY,average,1.0
FP_3_PUP,MONTHLY,logit,142.3450946
FP_3_PP,MONTHLY,logit,142.3450946
FP_2_PUP,MONTHLY,logit,75.66255216
