mediatype_funds,description,as_of_date,as_of_price,previous_date,previous_price
AEGON,AEAM Core Eurozone Government Bond Fund,2023-03-31,12.9487000000000000000000000,2023-03-30,12.9088000000000000000000000
AEGON,AEAM Core Eurozone Government Bond Index Fund,2023-03-31,11.0360000000000000000000000,2023-03-30,11.0005000000000000000000000
AEGON,AEAM Dutch Mortgage Fund,2023-03-31,10.1146000000000000000000000,2023-03-30,10.1427000000000000000000000
AEGON,AEAM Dutch Mortgage Fund 2,2023-03-31,8.5029000000000000000000000,2023-03-30,8.5280000000000000000000000
AEGON,AEAM Global Commodity Fund (EUR),2023-03-31,7.3185000000000000000000000,2023-03-30,7.2336000000000000000000000
AEGON,AEAM Global High Yield Fund (EUR),2023-03-31,12.3451000000000000000000000,2023-03-30,12.2757000000000000000000000
AEGON,AEAM Global Sustainable Real Estate,2023-03-31,10.2996000000000000000000000,2023-03-30,10.1262000000000000000000000
AEGON,AEAM Government Related Investment Fund,2023-03-31,8.9271000000000000000000000,2023-03-30,8.9380000000000000000000000
AEGON,AEAM Liability Matching 40Y Receiver Fd,2023-03-31,87.0613000000000000000000000,2023-03-30,86.3124000000000000000000000
AEGON,AEAM Liability Matching 50Y Receiver Fd,2023-03-31,84.7125000000000000000000000,2023-03-30,83.9962000000000000000000000
AEGON,AEAM Money Market Euro Fund,2023-03-31,10.1497000000000000000000000,2023-03-30,10.1477000000000000000000000
AEGON,AEAM Strategic Liability Matching Fund,2023-03-31,16676.2627000000000000000000000,2023-03-30,16442.6161000000000000000000000
AEGON,AEAM US Corporate Credit Fund,2023-03-31,9.9140000000000000000000000,2023-03-30,9.8075000000000000000000000
AEGON,AEAM World Equity Fund (EUR),2023-03-31,18.0625000000000000000000000,2023-03-30,17.8493000000000000000000000
AEGON,AEAM World Equity Index Fund (EUR),2023-03-31,18.4544000000000000000000000,2023-03-30,18.2296000000000000000000000
AEGON,AEGON AAA Overlay Pool,2023-03-31,292.4386000000000000000000000,2023-03-30,284.0081000000000000000000000
AEGON,AEGON ABS Fund,2023-03-31,10.2813000000000000000000000,2023-03-30,10.2759000000000000000000000
