prodboomcd,category,up_c_im,up_p_sf,dn_p_sf,up_c_sf
AEGON_SPAARBEURS_a,SPB,yes,"","",yes
AEGON_SPAARBEURS_b,SPB,"",yes,yes,""
AFP_KBL_a,KBL,"","","",yes
AFP_KBL_b,KBL,"",yes,yes,""
AFP_KBO_a,KBO,yes,"","",yes
AFP_KBO_b,KBO,"",yes,yes,""
AFP_LIJF_a,LYF,"","","",yes
AFP_LIJF_b,LYF,"",yes,yes,""
ALH_KBL_a,KBL,"","","",yes
ALH_KBL_b,KBL,"",yes,yes,""
ALH_KBO_a,KBO,yes,"","",yes
ALH_KBO_b,KBO,"",yes,yes,""
AORV_Type1_KBL_a,KBL,"","","",yes
AORV_Type1_KBL_b,KBL,"",yes,yes,""
AORV_Type1_KBO_a,KBO,yes,"","",yes
AORV_Type1_KBO_b,KBO,"",yes,yes,""
AORV_Type1_LIJF_a,LYF,"","","",yes
AORV_Type1_LIJF_b,LYF,"",yes,yes,""
AORV_Type2_KBL_a,KBL,"","","",yes
AORV_Type2_KBL_b,KBL,"",yes,yes,""
AORV_Type2_KBO_a,KBO,yes,"","",yes
AORV_Type2_KBO_b,KBO,"",yes,yes,""
AORV_Type2_LIJF_a,LYF,"","","",yes
AORV_Type2_LIJF_b,LYF,"",yes,yes,""
AORV_Type3_KBL_a,KBL,"","","",yes
AORV_Type3_KBL_b,KBL,"",yes,yes,""
AORV_Type3_KBO_a,KBO,yes,"","",yes
AORV_Type3_KBO_b,KBO,"",yes,yes,""
AORV_Type3_LIJF_a,LYF,"","","",yes
AORV_Type3_LIJF_b,LYF,"",yes,yes,""
AORV_Type4_KBL_a,KBL,"","","",yes
AORV_Type4_KBL_b,KBL,"",yes,yes,""
AORV_Type4_KBO_a,KBO,yes,"","",yes
AORV_Type4_KBO_b,KBO,"",yes,yes,""
AORV_Type4_LIJF_a,LYF,"","","",yes
AORV_Type4_LIJF_b,LYF,"",yes,yes,""
ASH_KBL_a,KBL,"","","",yes
ASH_KBL_b,KBL,"",yes,yes,""
ASH_KBO_a,KBO,yes,"","",yes
ASH_KBO_b,KBO,"",yes,yes,""
ASH_LIJF_a,LYF,"","","",yes
ASH_LIJF_b,LYF,"",yes,yes,""
AVN_KBL_a,KBL,"","","",yes
AVN_KBL_b,KBL,"",yes,yes,""
AVN_KBO_a,KBO,yes,"","",yes
AVN_KBO_b,KBO,"",yes,yes,""
BUDGETFOND_a,LYF,yes,"","",yes
BUDGETFOND_b,LYF,"",yes,yes,""
DIL_a,KBL,yes,"","",yes
DIL_b,KBL,"",yes,yes,""
FP_1_PP_a,KBO,yes,"","",yes
FP_1_PP_b,KBO,"",yes,yes,""
FP_1_PUP_a,KBO,yes,"","",yes
FP_1_PUP_b,KBO,"",yes,yes,""
FP_2_PP_a,KBL,yes,"","",yes
FP_2_PP_b,KBL,"",yes,yes,""
FP_2_PUP_a,KBL,yes,"","",yes
FP_2_PUP_b,KBL,"",yes,yes,""
FP_3_PP_a,KBL,yes,"","",yes
FP_3_PP_b,KBL,"",yes,yes,""
FP_3_PUP_a,KBL,yes,"","",yes
