table_name,prodboomcd,projection_year,value
mort_shock_up_p_sens,AVN_KBO_b,11,0.033134
mort_shock_up_p_sens,AVN_KBO_b,10,0.033134
mort_shock_up_p_sens,AVN_KBO_b,9,0.033134
mort_shock_up_p_sens,AVN_KBO_b,8,0.033134
mort_shock_up_p_sens,AVN_KBO_b,7,0.033134
mort_shock_up_p_sens,AVN_KBO_b,6,0.033134
mort_shock_up_p_sens,AVN_KBO_b,5,0.033134
mort_shock_up_p_sens,AVN_KBO_b,4,0.033134
mort_shock_up_p_sens,AVN_KBO_b,3,0.033134
mort_shock_up_p_sens,AVN_KBO_b,2,0.033134
mort_shock_up_p_sens,AVN_KBO_b,1,0.418445
mort_shock_up_p_sens,AVN_KBO_b,0,0.0
mort_shock_up_p_sens,AVN_KBO_a,11,0.0
mort_shock_up_p_sens,AVN_KBO_a,10,0.0
mort_shock_up_p_sens,AVN_KBO_a,9,0.0
mort_shock_up_p_sens,AVN_KBO_a,8,0.0
mort_shock_up_p_sens,AVN_KBO_a,7,0.0
mort_shock_up_p_sens,AVN_KBO_a,6,0.0
mort_shock_up_p_sens,AVN_KBO_a,5,0.0
mort_shock_up_p_sens,AVN_KBO_a,4,0.0
mort_shock_up_p_sens,AVN_KBO_a,3,0.0
mort_shock_up_p_sens,AVN_KBO_a,2,0.0
mort_shock_up_p_sens,AVN_KBO_a,1,0.0
mort_shock_up_p_sens,AVN_KBO_a,0,0.0
mort_shock_up_p_sens,AVN_KBL_b,11,0.022965
mort_shock_up_p_sens,AVN_KBL_b,10,0.022965
mort_shock_up_p_sens,AVN_KBL_b,9,0.022965
mort_shock_up_p_sens,AVN_KBL_b,8,0.022965
mort_shock_up_p_sens,AVN_KBL_b,7,0.022965
mort_shock_up_p_sens,AVN_KBL_b,6,0.022965
mort_shock_up_p_sens,AVN_KBL_b,5,0.022965
mort_shock_up_p_sens,AVN_KBL_b,4,0.022965
mort_shock_up_p_sens,AVN_KBL_b,3,0.022965
mort_shock_up_p_sens,AVN_KBL_b,2,0.022965
mort_shock_up_p_sens,AVN_KBL_b,1,0.298271
mort_shock_up_p_sens,AVN_KBL_b,0,0.0
mort_shock_up_p_sens,AVN_KBL_a,11,0.0
mort_shock_up_p_sens,AVN_KBL_a,10,0.0
mort_shock_up_p_sens,AVN_KBL_a,9,0.0
mort_shock_up_p_sens,AVN_KBL_a,8,0.0
mort_shock_up_p_sens,AVN_KBL_a,7,0.0
mort_shock_up_p_sens,AVN_KBL_a,6,0.0
mort_shock_up_p_sens,AVN_KBL_a,5,0.0
mort_shock_up_p_sens,AVN_KBL_a,4,0.0
mort_shock_up_p_sens,AVN_KBL_a,3,0.0
mort_shock_up_p_sens,AVN_KBL_a,2,0.0
mort_shock_up_p_sens,AVN_KBL_a,1,0.0
mort_shock_up_p_sens,AVN_KBL_a,0,0.0
mort_shock_dn_p_sens,AVN_KBO_b,11,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,10,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,9,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,8,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,7,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,6,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,5,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,4,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,3,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,2,-0.031937
mort_shock_dn_p_sens,AVN_KBO_b,1,-0.418445
mort_shock_dn_p_sens,AVN_KBO_b,0,0.0
mort_shock_dn_p_sens,AVN_KBO_a,11,0.0
mort_shock_dn_p_sens,AVN_KBO_a,10,0.0
mort_shock_dn_p_sens,AVN_KBO_a,9,0.0
