age,gbv6165,gbv8085,gbm0005nr,gbm0005r,gbv0005nr,gbv0005r,gbv9095,gbv9500,gbm2130,gbm4749,gbm5660,gbm6165,gbm7680,gbm8085,gbv8590,gbm8590,gbm9095,gbm9500,gbm0005,gbm6670,gbm93,gbm2003,gbu2003,gbv93,gbv2003,gbm7680avn,gbm8085avn,gbm8085avnnierop,gbm9095_102,gbm9095avn,gbv8085avn,gbv8085avnnierop,gbv9095_112,f475,m475
0,3.022E-4,1.261E-4,4.39782E-4,4.95644E-4,4.02368E-4,4.44205E-4,1.221E-4,0.0046876,0.002461135,7.944E-4,4.475E-4,3.507E-4,2.099E-4,2.522E-4,1.717E-4,2.053E-4,1.813E-4,0.0058395,0.0054354,6.243E-4,6.84E-5,4.66E-5,4.76E-5,1.113E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.545E-4,9.398E-4
1,3.03392E-4,1.26116E-4,4.39975E-4,4.9589E-4,4.0253E-4,4.44403E-4,1.22115E-4,4.185E-4,0.002453781,7.97634E-4,4.50902E-4,3.55425E-4,2.09844E-4,2.52164E-4,1.71729E-4,2.05342E-4,1.81233E-4,4.996E-4,4.303E-4,6.32795E-4,6.85E-5,4.66E-5,4.76E-5,1.11312E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.558E-4,9.447E-4
2,3.04684E-4,1.26132E-4,4.40169E-4,4.96136E-4,4.02692E-4,4.446E-4,1.2213E-4,2.656E-4,0.002459087,8.01175E-4,4.54708E-4,3.60555E-4,2.09888E-4,2.52227E-4,1.71659E-4,2.05284E-4,1.81266E-4,3.804E-4,2.983E-4,6.41406E-4,6.84E-5,4.66E-5,4.76E-5,1.11325E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.573E-4,9.5E-4
3,3.06079E-4,1.26048E-4,3.05715E-4,3.4777E-4,2.00255E-4,2.22682E-4,1.22045E-4,1.919E-4,0.002467539,8.05025E-4,4.58921E-4,3.66291E-4,2.09932E-4,2.52191E-4,1.71688E-4,2.05326E-4,1.81199E-4,2.48E-4,2.16772E-4,6.50334E-4,6.84E-5,4.66E-5,4.76E-5,1.11337E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.59E-4,9.56E-4
4,3.07774E-4,1.26064E-4,2.22602E-4,2.55668E-4,1.61697E-4,1.81154E-4,1.2216E-4,1.507E-4,0.002455176,8.09386E-4,4.63539E-4,3.72634E-4,2.09876E-4,2.52254E-4,1.71718E-4,2.05369E-4,1.81331E-4,2.111E-4,1.83016E-4,6.5958E-4,6.84E-5,4.66E-5,4.76E-5,1.1125E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.609E-4,9.625E-4
5,3.09572E-4,1.2618E-4,1.88331E-4,2.18481E-4,1.27008E-4,1.43405E-4,1.22075E-4,1.248E-4,0.002472919,8.14258E-4,4.68666E-4,3.79485E-4,2.0982E-4,2.52118E-4,1.71747E-4,2.05311E-4,1.81264E-4,1.898E-4,1.5776E-4,6.68943E-4,6.84E-5,4.66E-5,4.76E-5,1.11362E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.631E-4,9.697E-4
6,3.11571E-4,1.26095E-4,1.627E-4,1.90717E-4,1.01777E-4,1.15853E-4,1.22089E-4,1.111E-4,0.002145944,8.19544E-4,4.744E-4,3.87145E-4,2.09864E-4,2.52282E-4,1.71677E-4,2.05353E-4,1.81197E-4,1.691E-4,1.41578E-4,6.78627E-4,6.85E-5,4.66E-5,4.76E-5,1.11274E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.655E-4,9.776E-4
7,3.13873E-4,1.26111E-4,1.46348E-4,1.73406E-4,9.64E-5,1.10657E-4,1.22104E-4,9.9E-5,0.001836898,8.25445E-4,4.80745E-4,3.95516E-4,2.09908E-4,2.52145E-4,1.71706E-4,2.05295E-4,1.8133E-4,1.482E-4,1.3258E-4,6.88631E-4,6.83E-5,4.66E-5,4.76E-5,1.11387E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.681E-4,9.864E-4
8,3.16477E-4,1.26027E-4,1.37378E-4,1.64595E-4,9.57E-5,1.10836E-4,1.22119E-4,9.31E-5,0.001580461,8.31965E-4,4.87701E-4,4.04699E-4,2.09852E-4,2.52208E-4,1.71636E-4,2.05337E-4,1.81263E-4,1.416E-4,1.27494E-4,6.98857E-4,6.84E-5,4.66E-5,4.76E-5,1.11199E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.711E-4,9.961E-4
9,3.19285E-4,1.26143E-4,1.32441E-4,1.60503E-4,9.47E-5,1.10714E-4,1.22034E-4,9.56E-5,0.001401439,8.39205E-4,4.9537E-4,4.14897E-4,2.09896E-4,2.52172E-4,1.71765E-4,2.05279E-4,1.81195E-4,1.366E-4,1.30875E-4,7.09506E-4,6.84E-5,4.66E-5,4.75E-5,1.11412E-4,5.16E-5,7.0E-4,7.0E-4,7.0E-4,1.8E-4,7.0E-4,7.0E-4,7.0E-4,1.2E-4,7.744E-4,0.0010068
