prod_kd,base_rate,rate_type
231,12337.02,logit
230,12337.02,logit
197,12337.02,logit
196,12337.02,logit
195,12337.02,logit
194,12337.02,logit
166,12337.02,logit
165,12337.02,logit
164,12337.02,logit
163,12337.02,logit
162,12337.02,logit
155,12337.02,logit
154,12337.02,logit
153,12337.02,logit
152,12337.02,logit
151,12337.02,logit
150,12337.02,logit
149,12337.02,logit
148,12337.02,logit
147,12337.02,logit
146,12337.02,logit
145,12337.02,logit
144,12337.02,logit
121,12337.02,logit
120,12337.02,logit
94,12337.02,logit
80,12337.02,logit
79,12337.02,logit
76,12337.02,logit
72,12337.02,logit
0,12337.02,logit
