Model,fund_number,fund_name,CostType1,CostType2,CostType3,CostType4,CostType5,CostType6,CostType7,CostType8,CostType9,CostType10,CostType11
AVN,1,Eurofonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,14,BNPParibasObamN.V.,0.0,0.0,0.0,0.0058,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,15,RobecoGlobalStartsEquityFund,0.0,0.0,0.0,0.0113,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,17,RolincoN.V.,0.0,0.0,0.0,0.0115,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,18,RobecoGlobalTotalReturnBond,0.0,0.0,0.0,0.0087,0.0,0.0,0.001412,0.0125,0.005,0.0,0.0
AVN,19,KAPITAALMARKTREKENING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,20,MAATSCHAPPIJBELEGGING,0.0,0.0,0.0,0.0051,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,22,AUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,26,ParworldTrackEMU,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0125,0.005,0.0,0.0
AVN,27,BNPParibasESGNetherlandsIndexFund,0.0,0.0,0.0,0.0037,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,28,BNPParibasL1MultiAssetIncomePrivilege,0.0,0.0,0.0,0.0072,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,30,WERELDHAVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,32,OptimixMixFund,0.0,0.0,0.0,0.0109,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,34,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,37,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,40,GARANTIEFONDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,41,GARANTIEFONDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,42,ROYALDUTCHSHELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,43,UNILEVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,46,GARANTIEFONDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,47,AllianzPacificAandelenFonds,0.0,0.0,0.0,0.0121,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,48,GELDMARKTREKENING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,50,GARANTIEFONDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,51,ASNDuurzaamMixfonds,0.0,0.0,0.0,0.0068,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,52,AKZONOBEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,53,HEINEKEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,54,Elsevier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,55,INGGROEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,56,AHOLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,57,ROYALBANKOFSCOTLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,59,AllianzSelectieFonds,0.0,0.0,0.0,0.0111,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,60,INGGlobalObligatieFonds,0.0,0.0,0.0,0.005,0.0,0.0,0.001412,0.0125,0.005,0.0,0.0
AVN,61,RobecoHollandsBezit,0.0,0.0,0.0,0.0115,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,66,AEGON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,69,RANDSTADHOLDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,70,SBMOFFSHORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,72,WOLTERSKLUWER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,73,KempenOrangeFundNV,0.0,0.0,0.0,0.0101,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,74,AEGONDutchEquityIndexFund,0.0,0.0,0.0,0.0027,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,76,AEGONRenteFund,0.0,0.0,0.0,0.0039,0.0,0.0,0.001412,0.017,0.0095,0.0,0.0
AVN,77,NNInformationTechnologyFund,0.0,0.0,0.0,0.0083,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,78,AEGONMixFund,0.0,0.0,0.0,0.0052,0.0,0.0,0.00203,0.019,0.0115,0.0,0.0
AVN,79,NNEquityInvestmentFundNV,0.0,0.0,0.0,0.0097,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,80,InsingerdeBeaufortEuropeanMidCapNV,0.0,0.0,0.0,0.0075,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,81,GARANTIEFONDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,82,BrightNewWorldBeleggingsfonds,0.0,0.0,0.0,2.71E-4,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,84,ASMLHOLDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,86,KONINKLIJKEKPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,87,NNEuropaDuurzaamAandelenFonds,0.0,0.0,0.0,0.0068,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,88,RobecoAllStrategyEuroBonds,0.0,0.0,0.0,0.0089,0.0,0.0,0.001412,0.0125,0.005,0.0,0.0
AVN,89,RobecoCapgrNewWorldFinancialsD,0.0,0.0,0.0,0.0171,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,90,RobecoSAMsustainableHealthLivingFund,0.0,0.0,0.0,0.0195,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,91,RobecoGlobalConsumerTrendsD,0.0,0.0,0.0,0.017,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,97,ASNDuurzaamAandelenfonds,0.0,0.0,0.0,0.0085,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,98,TriodosSustainableMixedFund,0.0,0.0,0.0,0.013,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,101,UNIBAIL0RODAMCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.005,0.0,0.0
AVN,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,104,AEGONRenteFund,0.0,0.0,0.0,0.0039,0.0,0.0,0.001412,0.017,0.0095,0.0,0.0
AVN,105,AEGONMixFund,0.0,0.0,0.0,0.0052,0.0,0.0,0.0017542,0.019,0.0115,0.0,0.0
AVN,106,OptimixAmericaFund,0.0,0.0,0.0,0.0124,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,107,OptimixEuropeFund,0.0,0.0,0.0,0.0131,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,109,InsingerMultiManagerEquityC,0.0,0.0,0.0,0.0173,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,110,InsingerMultiManagerBalancedC,0.0,0.0,0.0,0.0171,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,112,ComfortMixFund(=AEGONMixFund),0.0,0.0,0.0,0.0103,0.0,0.0,0.0017542,0.0125,0.005,0.0,0.0
AVN,113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVN,114,ComfortAandelenFund(=AEGONEquityFund),0.0,0.0,0.0,0.0103,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
AVN,115,DeltaLloydL0GlobalFund0A,0.0,0.0,0.0,0.0075,0.0,0.0,0.00203,0.0125,0.005,0.0,0.0
