tarcd,fund_to_switch_to_1,fund_to_switch_to_2,fund_to_switch_to_3,fund_to_switch_to_4,fund_to_switch_to_5
2040PLUSFONDS_C,0,0,0,0,0
2040PLUSFONDS_K,0,0,0,0,0
2040PLUSFONDS_P,0,0,0,0,0
2040PLUSFONDS_T,0,0,0,0,0
AEGON_KINDERSPAARBEURS_C,0,0,0,0,0
AEGON_KINDERSPAARBEURS_K,0,0,0,0,0
AEGON_KINDERSPAARBEURS_P,0,0,0,0,0
AEGON_KINDERSPAARBEURS_PERSONEEL_C,0,0,0,0,0
AEGON_KINDERSPAARBEURS_PERSONEEL_K,0,0,0,0,0
AEGON_KINDERSPAARBEURS_PERSONEEL_P,0,0,0,0,0
AEGON_KINDERSPAARBEURS_PERSONEEL_T,0,0,0,0,0
AEGON_KINDERSPAARBEURS_T,0,0,0,0,0
AEGON_KOERSPLAN_C,0,0,0,0,0
AEGON_KOERSPLAN_K,0,0,0,0,0
AEGON_KOERSPLAN_P,8,9,10,11,12
AEGON_KOERSPLAN_T,0,0,0,0,0
AEGON_PENSIOENBEURS_C,0,0,0,0,0
AEGON_PENSIOENBEURS_K,0,0,0,0,0
AEGON_PENSIOENBEURS_P,0,0,0,0,0
AEGON_PENSIOENBEURS_PERSONEEL_C,0,0,0,0,0
AEGON_PENSIOENBEURS_PERSONEEL_K,0,0,0,0,0
AEGON_PENSIOENBEURS_PERSONEEL_P,0,0,0,0,0
AEGON_PENSIOENBEURS_PERSONEEL_T,0,0,0,0,0
AEGON_PENSIOENBEURS_T,0,0,0,0,0
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_C,0,0,0,0,0
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_K,0,0,0,0,0
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_P,0,0,0,0,0
AEGON_SPAARBEURSHYPOTHEEK_PERSONEEL_T,0,0,0,0,0
AEGON_SPAARBEURS_C,0,0,0,0,0
AEGON_SPAARBEURS_HYPOTHEEK_C,0,0,0,0,0
AEGON_SPAARBEURS_HYPOTHEEK_K,0,0,0,0,0
AEGON_SPAARBEURS_HYPOTHEEK_P,0,0,0,0,0
AEGON_SPAARBEURS_HYPOTHEEK_T,0,0,0,0,0
AEGON_SPAARBEURS_K,0,0,0,0,0
AEGON_SPAARBEURS_O,8,9,10,11,12
AEGON_SPAARBEURS_P,8,9,10,11,12
AEGON_SPAARBEURS_PERSONEEL_C,0,0,0,0,0
AEGON_SPAARBEURS_PERSONEEL_K,0,0,0,0,0
AEGON_SPAARBEURS_PERSONEEL_P,0,0,0,0,0
AEGON_SPAARBEURS_PERSONEEL_T,0,0,0,0,0
AEGON_SPAARBEURS_T,0,0,0,0,0
AOWPRIVEPLAN_C,30,31,32,33,34
AOWPRIVEPLAN_K,30,31,32,33,34
AOWPRIVEPLAN_P,30,31,32,33,34
AOWPRIVEPLAN_T,30,31,32,33,34
BUDGETFONDS_C,0,0,0,0,0
BUDGETFONDS_K,0,0,0,0,0
BUDGETFONDS_P,0,0,0,0,0
BUDGETFONDS_T,0,0,0,0,0
KOERSPLAN_C,0,0,0,0,0
KOERSPLAN_K,0,0,0,0,0
KOERSPLAN_P,0,0,0,0,0
KOERSPLAN_T,0,0,0,0,0
OVERIG_GELIJKBLIJVEND_C,0,0,0,0,0
