tarcd,indicator,acq_exp_freq,acq_exp_alloc,ren_exp_pp_freq,ren_exp_pup_freq,ren_exp_alloc,comm_pp_freq,comm_pup_freq,comm_alloc,riskprem_freq,riskprem_alloc,mngmt_freq,mngmt_alloc,aankoop_kst,verkoop_kst,mngmt_cmpny_pc,mngmt_cmpny_pc_2,defer_period,init_comp_mort,ren_comp_mort,ind_survprof_surr,ind_savprem_surr,ind_autoswitch,switch_term_start,guarantee_pc,exp_init_ex_moira,perc_fund,man_fee_am_iss_dat,mat_charge_fixed,pup_si_mult,dth_ded_mth_fnd,dth_ded_elapsed_mth,dth_ded_perc_term,dth_ded_perc_fixed,dth_ded_perc_max,costs_perc_sav_prem,mcev_spaar_trad_ind
2040PLUSFONDS_C,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_K,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_P,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
2040PLUSFONDS_T,6,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,NVT,"","","","","","","","","",0.0,0.0,"",7.0,1.1,0.0,0.0,1.0,2.0,36.0,0.06,0.3,0.95,0.0,1.0
AEGON_KINDERSPAARBEURS_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_PERSONEEL_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KINDERSPAARBEURS_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
AEGON_KOERSPLAN_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
