tarcd,year,value
2040PLUSFONDS,1950,0
2040PLUSFONDS,1951,0
2040PLUSFONDS,1952,0
2040PLUSFONDS,1953,0
2040PLUSFONDS,1954,0
2040PLUSFONDS,1955,0
2040PLUSFONDS,1956,0
2040PLUSFONDS,1957,0
2040PLUSFONDS,1958,0
2040PLUSFONDS,1959,0
2040PLUSFONDS,1960,0
2040PLUSFONDS,1961,0
2040PLUSFONDS,1962,0
2040PLUSFONDS,1963,0
2040PLUSFONDS,1964,0
2040PLUSFONDS,1965,0
2040PLUSFONDS,1966,0
2040PLUSFONDS,1967,0
2040PLUSFONDS,1968,0
2040PLUSFONDS,1969,0
2040PLUSFONDS,1970,0
2040PLUSFONDS,1971,0
2040PLUSFONDS,1972,0
2040PLUSFONDS,1973,0
2040PLUSFONDS,1974,0
2040PLUSFONDS,1975,0
2040PLUSFONDS,1976,0
2040PLUSFONDS,1977,0
2040PLUSFONDS,1978,0
2040PLUSFONDS,1979,0
2040PLUSFONDS,1980,0
2040PLUSFONDS,1981,0
2040PLUSFONDS,1982,0
2040PLUSFONDS,1983,0
2040PLUSFONDS,1984,0
2040PLUSFONDS,1985,0
2040PLUSFONDS,1986,0
2040PLUSFONDS,1987,0
2040PLUSFONDS,1988,0
2040PLUSFONDS,1989,0
2040PLUSFONDS,1990,0
2040PLUSFONDS,1991,0
2040PLUSFONDS,1992,0
2040PLUSFONDS,1993,0
2040PLUSFONDS,1994,0
2040PLUSFONDS,1995,0
2040PLUSFONDS,1996,0
2040PLUSFONDS,1997,0
2040PLUSFONDS,1998,0
2040PLUSFONDS,1999,0
2040PLUSFONDS,2000,0
2040PLUSFONDS,2001,0
2040PLUSFONDS,2002,0
2040PLUSFONDS,2003,0
2040PLUSFONDS,2004,0
2040PLUSFONDS,2005,0
2040PLUSFONDS,2006,0
2040PLUSFONDS,2007,0
2040PLUSFONDS,2008,0
2040PLUSFONDS,2009,0
2040PLUSFONDS,2010,0
2040PLUSFONDS,2011,0
2040PLUSFONDS,2012,0
2040PLUSFONDS,2013,0
2040PLUSFONDS,2014,0
2040PLUSFONDS,2015,0
2040PLUSFONDS,2016,0
2040PLUSFONDS,2017,0
2040PLUSFONDS,2018,0
2040PLUSFONDS,2019,0
2040PLUSFONDS,2020,0
2040PLUSFONDS,2021,0
2040PLUSFONDS,2022,0
2040PLUSFONDS,2023,0
2040PLUSFONDS,2024,0
2040PLUSFONDS,2025,0
2040PLUSFONDS,2026,0
2040PLUSFONDS,2027,0
2040PLUSFONDS,2028,0
2040PLUSFONDS,2029,0
2040PLUSFONDS,2030,0
2040PLUSFONDS,2031,0
2040PLUSFONDS,2032,0
2040PLUSFONDS,2033,0
2040PLUSFONDS,2034,0
2040PLUSFONDS,2035,0
2040PLUSFONDS,2036,0
2040PLUSFONDS,2037,0
2040PLUSFONDS,2038,0
2040PLUSFONDS,2039,0
2040PLUSFONDS,2040,0
2040PLUSFONDS,2041,0
2040PLUSFONDS,2042,0
2040PLUSFONDS,2043,0
2040PLUSFONDS,2044,0
2040PLUSFONDS,2045,0
2040PLUSFONDS,2046,0
2040PLUSFONDS,2047,0
2040PLUSFONDS,2048,0
2040PLUSFONDS,2049,0
2040PLUSFONDS,2050,0
2040PLUSFONDS,2051,0
2040PLUSFONDS,2052,0
2040PLUSFONDS,2053,0
2040PLUSFONDS,2054,0
2040PLUSFONDS,2055,0
2040PLUSFONDS,2056,0
2040PLUSFONDS,2057,0
2040PLUSFONDS,2058,0
2040PLUSFONDS,2059,0
2040PLUSFONDS,2060,0
2040PLUSFONDS,2061,0
2040PLUSFONDS,2062,0
2040PLUSFONDS,2063,0
2040PLUSFONDS,2064,0
2040PLUSFONDS,2065,0
2040PLUSFONDS,2066,0
2040PLUSFONDS,2067,0
2040PLUSFONDS,2068,0
2040PLUSFONDS,2069,0
2040PLUSFONDS,2070,0
2040PLUSFONDS,2071,0
2040PLUSFONDS,2072,0
2040PLUSFONDS,2073,0
2040PLUSFONDS,2074,0
2040PLUSFONDS,2075,0
2040PLUSFONDS,2076,0
2040PLUSFONDS,2077,0
2040PLUSFONDS,2078,0
2040PLUSFONDS,2079,0
2040PLUSFONDS,2080,0
2040PLUSFONDS,2081,0
2040PLUSFONDS,2082,0
2040PLUSFONDS,2083,0
2040PLUSFONDS,2084,0
2040PLUSFONDS,2085,0
2040PLUSFONDS,2086,0
2040PLUSFONDS,2087,0
2040PLUSFONDS,2088,0
2040PLUSFONDS,2089,0
2040PLUSFONDS,2090,0
2040PLUSFONDS,2091,0
2040PLUSFONDS,2092,0
2040PLUSFONDS,2093,0
2040PLUSFONDS,2094,0
2040PLUSFONDS,2095,0
2040PLUSFONDS,2096,0
2040PLUSFONDS,2097,0
2040PLUSFONDS,2098,0
2040PLUSFONDS,2099,0
2040PLUSFONDS,2100,0
AEGON_KINDERSPAARBEURS,1950,0
AEGON_KINDERSPAARBEURS,1951,0
AEGON_KINDERSPAARBEURS,1952,0
AEGON_KINDERSPAARBEURS,1953,0
AEGON_KINDERSPAARBEURS,1954,0
AEGON_KINDERSPAARBEURS,1955,0
AEGON_KINDERSPAARBEURS,1956,0
AEGON_KINDERSPAARBEURS,1957,0
AEGON_KINDERSPAARBEURS,1958,0
AEGON_KINDERSPAARBEURS,1959,0
AEGON_KINDERSPAARBEURS,1960,0
AEGON_KINDERSPAARBEURS,1961,0
AEGON_KINDERSPAARBEURS,1962,0
AEGON_KINDERSPAARBEURS,1963,0
AEGON_KINDERSPAARBEURS,1964,0
AEGON_KINDERSPAARBEURS,1965,0
AEGON_KINDERSPAARBEURS,1966,0
AEGON_KINDERSPAARBEURS,1967,0
AEGON_KINDERSPAARBEURS,1968,0
AEGON_KINDERSPAARBEURS,1969,0
AEGON_KINDERSPAARBEURS,1970,0
AEGON_KINDERSPAARBEURS,1971,0
AEGON_KINDERSPAARBEURS,1972,0
AEGON_KINDERSPAARBEURS,1973,0
AEGON_KINDERSPAARBEURS,1974,0
AEGON_KINDERSPAARBEURS,1975,0
AEGON_KINDERSPAARBEURS,1976,0
AEGON_KINDERSPAARBEURS,1977,0
AEGON_KINDERSPAARBEURS,1978,0
AEGON_KINDERSPAARBEURS,1979,0
AEGON_KINDERSPAARBEURS,1980,0
AEGON_KINDERSPAARBEURS,1981,0
AEGON_KINDERSPAARBEURS,1982,0
AEGON_KINDERSPAARBEURS,1983,0
AEGON_KINDERSPAARBEURS,1984,0
AEGON_KINDERSPAARBEURS,1985,0
AEGON_KINDERSPAARBEURS,1986,0
AEGON_KINDERSPAARBEURS,1987,0
AEGON_KINDERSPAARBEURS,1988,0
AEGON_KINDERSPAARBEURS,1989,0
AEGON_KINDERSPAARBEURS,1990,0
AEGON_KINDERSPAARBEURS,1991,0
AEGON_KINDERSPAARBEURS,1992,0
AEGON_KINDERSPAARBEURS,1993,0
AEGON_KINDERSPAARBEURS,1994,0
AEGON_KINDERSPAARBEURS,1995,0
AEGON_KINDERSPAARBEURS,1996,0
AEGON_KINDERSPAARBEURS,1997,0
AEGON_KINDERSPAARBEURS,1998,0
AEGON_KINDERSPAARBEURS,1999,0
AEGON_KINDERSPAARBEURS,2000,0
AEGON_KINDERSPAARBEURS,2001,0
AEGON_KINDERSPAARBEURS,2002,0
AEGON_KINDERSPAARBEURS,2003,0
AEGON_KINDERSPAARBEURS,2004,0
AEGON_KINDERSPAARBEURS,2005,0
AEGON_KINDERSPAARBEURS,2006,0
AEGON_KINDERSPAARBEURS,2007,0
AEGON_KINDERSPAARBEURS,2008,0
AEGON_KINDERSPAARBEURS,2009,0
AEGON_KINDERSPAARBEURS,2010,0
AEGON_KINDERSPAARBEURS,2011,0
AEGON_KINDERSPAARBEURS,2012,0
AEGON_KINDERSPAARBEURS,2013,0
AEGON_KINDERSPAARBEURS,2014,0
AEGON_KINDERSPAARBEURS,2015,0
AEGON_KINDERSPAARBEURS,2016,0
AEGON_KINDERSPAARBEURS,2017,0
AEGON_KINDERSPAARBEURS,2018,0
AEGON_KINDERSPAARBEURS,2019,0
AEGON_KINDERSPAARBEURS,2020,0
AEGON_KINDERSPAARBEURS,2021,0
AEGON_KINDERSPAARBEURS,2022,0
AEGON_KINDERSPAARBEURS,2023,0
AEGON_KINDERSPAARBEURS,2024,0
AEGON_KINDERSPAARBEURS,2025,0
AEGON_KINDERSPAARBEURS,2026,0
AEGON_KINDERSPAARBEURS,2027,0
AEGON_KINDERSPAARBEURS,2028,0
AEGON_KINDERSPAARBEURS,2029,0
AEGON_KINDERSPAARBEURS,2030,0
AEGON_KINDERSPAARBEURS,2031,0
AEGON_KINDERSPAARBEURS,2032,0
AEGON_KINDERSPAARBEURS,2033,0
AEGON_KINDERSPAARBEURS,2034,0
AEGON_KINDERSPAARBEURS,2035,0
AEGON_KINDERSPAARBEURS,2036,0
AEGON_KINDERSPAARBEURS,2037,0
AEGON_KINDERSPAARBEURS,2038,0
AEGON_KINDERSPAARBEURS,2039,0
AEGON_KINDERSPAARBEURS,2040,0
AEGON_KINDERSPAARBEURS,2041,0
AEGON_KINDERSPAARBEURS,2042,0
AEGON_KINDERSPAARBEURS,2043,0
AEGON_KINDERSPAARBEURS,2044,0
AEGON_KINDERSPAARBEURS,2045,0
AEGON_KINDERSPAARBEURS,2046,0
AEGON_KINDERSPAARBEURS,2047,0
AEGON_KINDERSPAARBEURS,2048,0
AEGON_KINDERSPAARBEURS,2049,0
AEGON_KINDERSPAARBEURS,2050,0
AEGON_KINDERSPAARBEURS,2051,0
AEGON_KINDERSPAARBEURS,2052,0
AEGON_KINDERSPAARBEURS,2053,0
AEGON_KINDERSPAARBEURS,2054,0
AEGON_KINDERSPAARBEURS,2055,0
AEGON_KINDERSPAARBEURS,2056,0
AEGON_KINDERSPAARBEURS,2057,0
AEGON_KINDERSPAARBEURS,2058,0
AEGON_KINDERSPAARBEURS,2059,0
AEGON_KINDERSPAARBEURS,2060,0
AEGON_KINDERSPAARBEURS,2061,0
AEGON_KINDERSPAARBEURS,2062,0
AEGON_KINDERSPAARBEURS,2063,0
AEGON_KINDERSPAARBEURS,2064,0
AEGON_KINDERSPAARBEURS,2065,0
AEGON_KINDERSPAARBEURS,2066,0
AEGON_KINDERSPAARBEURS,2067,0
AEGON_KINDERSPAARBEURS,2068,0
AEGON_KINDERSPAARBEURS,2069,0
AEGON_KINDERSPAARBEURS,2070,0
AEGON_KINDERSPAARBEURS,2071,0
AEGON_KINDERSPAARBEURS,2072,0
AEGON_KINDERSPAARBEURS,2073,0
AEGON_KINDERSPAARBEURS,2074,0
AEGON_KINDERSPAARBEURS,2075,0
AEGON_KINDERSPAARBEURS,2076,0
AEGON_KINDERSPAARBEURS,2077,0
AEGON_KINDERSPAARBEURS,2078,0
AEGON_KINDERSPAARBEURS,2079,0
AEGON_KINDERSPAARBEURS,2080,0
AEGON_KINDERSPAARBEURS,2081,0
AEGON_KINDERSPAARBEURS,2082,0
AEGON_KINDERSPAARBEURS,2083,0
AEGON_KINDERSPAARBEURS,2084,0
AEGON_KINDERSPAARBEURS,2085,0
AEGON_KINDERSPAARBEURS,2086,0
AEGON_KINDERSPAARBEURS,2087,0
AEGON_KINDERSPAARBEURS,2088,0
AEGON_KINDERSPAARBEURS,2089,0
AEGON_KINDERSPAARBEURS,2090,0
AEGON_KINDERSPAARBEURS,2091,0
AEGON_KINDERSPAARBEURS,2092,0
AEGON_KINDERSPAARBEURS,2093,0
AEGON_KINDERSPAARBEURS,2094,0
AEGON_KINDERSPAARBEURS,2095,0
AEGON_KINDERSPAARBEURS,2096,0
AEGON_KINDERSPAARBEURS,2097,0
AEGON_KINDERSPAARBEURS,2098,0
AEGON_KINDERSPAARBEURS,2099,0
AEGON_KINDERSPAARBEURS,2100,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1950,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1951,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1952,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1953,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1954,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1955,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1956,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1957,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1958,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1959,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1960,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1961,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1962,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1963,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1964,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1965,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1966,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1967,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1968,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1969,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1970,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1971,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1972,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1973,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1974,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1975,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1976,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1977,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1978,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1979,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1980,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1981,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1982,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1983,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1984,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1985,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1986,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1987,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1988,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1989,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1990,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1991,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1992,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1993,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1994,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1995,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1996,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1997,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1998,0
AEGON_KINDERSPAARBEURS_PERSONEEL,1999,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2000,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2001,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2002,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2003,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2004,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2005,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2006,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2007,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2008,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2009,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2010,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2011,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2012,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2013,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2014,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2015,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2016,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2017,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2018,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2019,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2020,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2021,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2022,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2023,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2024,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2025,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2026,0
AEGON_KINDERSPAARBEURS_PERSONEEL,2027,0
