prodboomcd,age,value
2040PLUSFONDS,15,1.0
2040PLUSFONDS,16,1.0
2040PLUSFONDS,17,1.0
2040PLUSFONDS,18,1.0
2040PLUSFONDS,19,1.0
2040PLUSFONDS,20,1.0
2040PLUSFONDS,21,1.0
2040PLUSFONDS,22,1.0
2040PLUSFONDS,23,1.0
2040PLUSFONDS,24,1.0
2040PLUSFONDS,25,1.0
2040PLUSFONDS,26,1.0
2040PLUSFONDS,27,1.0
2040PLUSFONDS,28,1.0
2040PLUSFONDS,29,1.0
2040PLUSFONDS,30,1.0
2040PLUSFONDS,31,1.0
2040PLUSFONDS,32,1.0
2040PLUSFONDS,33,1.0
2040PLUSFONDS,34,1.0
2040PLUSFONDS,35,1.0
2040PLUSFONDS,36,1.0
2040PLUSFONDS,37,1.0
2040PLUSFONDS,38,1.0
2040PLUSFONDS,39,1.0
2040PLUSFONDS,40,1.0
2040PLUSFONDS,41,1.0
2040PLUSFONDS,42,1.0
2040PLUSFONDS,43,1.0
2040PLUSFONDS,44,1.0
2040PLUSFONDS,45,1.0
2040PLUSFONDS,46,1.0
2040PLUSFONDS,47,1.0
2040PLUSFONDS,48,1.0
2040PLUSFONDS,49,1.0
2040PLUSFONDS,50,1.0
2040PLUSFONDS,51,1.0
2040PLUSFONDS,52,1.0
2040PLUSFONDS,53,1.0
2040PLUSFONDS,54,1.0
2040PLUSFONDS,55,1.0
2040PLUSFONDS,56,1.0
2040PLUSFONDS,57,1.0
2040PLUSFONDS,58,1.0
2040PLUSFONDS,59,1.0
2040PLUSFONDS,60,1.0
2040PLUSFONDS,61,1.0
2040PLUSFONDS,62,1.0
2040PLUSFONDS,63,1.0
2040PLUSFONDS,64,1.0
2040PLUSFONDS,65,1.0
2040PLUSFONDS,66,1.0
2040PLUSFONDS,67,1.0
2040PLUSFONDS,68,1.0
2040PLUSFONDS,69,1.0
2040PLUSFONDS,70,1.0
2040PLUSFONDS,71,1.0
2040PLUSFONDS,72,1.0
2040PLUSFONDS,73,1.0
2040PLUSFONDS,74,1.0
2040PLUSFONDS,75,1.0
2040PLUSFONDS,76,1.0
2040PLUSFONDS,77,1.0
2040PLUSFONDS,78,1.0
2040PLUSFONDS,79,1.0
2040PLUSFONDS,80,1.0
2040PLUSFONDS,81,1.0
AEGON_KOERSPLAN_spaaradvies,15,1.0
AEGON_KOERSPLAN_spaaradvies,16,1.0
AEGON_KOERSPLAN_spaaradvies,17,1.0
AEGON_KOERSPLAN_spaaradvies,18,1.0
AEGON_KOERSPLAN_spaaradvies,19,1.0
AEGON_KOERSPLAN_spaaradvies,20,1.0
AEGON_KOERSPLAN_spaaradvies,21,1.0
AEGON_KOERSPLAN_spaaradvies,22,1.0
AEGON_KOERSPLAN_spaaradvies,23,1.0
AEGON_KOERSPLAN_spaaradvies,24,1.0
AEGON_KOERSPLAN_spaaradvies,25,1.0
AEGON_KOERSPLAN_spaaradvies,26,1.0
AEGON_KOERSPLAN_spaaradvies,27,1.0
AEGON_KOERSPLAN_spaaradvies,28,1.0
AEGON_KOERSPLAN_spaaradvies,29,1.0
AEGON_KOERSPLAN_spaaradvies,30,1.0
AEGON_KOERSPLAN_spaaradvies,31,1.0
AEGON_KOERSPLAN_spaaradvies,32,1.0
AEGON_KOERSPLAN_spaaradvies,33,1.0
AEGON_KOERSPLAN_spaaradvies,34,1.0
AEGON_KOERSPLAN_spaaradvies,35,1.0
AEGON_KOERSPLAN_spaaradvies,36,1.0
AEGON_KOERSPLAN_spaaradvies,37,1.0
AEGON_KOERSPLAN_spaaradvies,38,1.0
AEGON_KOERSPLAN_spaaradvies,39,1.0
AEGON_KOERSPLAN_spaaradvies,40,1.0
AEGON_KOERSPLAN_spaaradvies,41,1.0
AEGON_KOERSPLAN_spaaradvies,42,1.0
AEGON_KOERSPLAN_spaaradvies,43,1.0
AEGON_KOERSPLAN_spaaradvies,44,1.0
AEGON_KOERSPLAN_spaaradvies,45,1.0
AEGON_KOERSPLAN_spaaradvies,46,1.0
AEGON_KOERSPLAN_spaaradvies,47,1.0
AEGON_KOERSPLAN_spaaradvies,48,1.0
AEGON_KOERSPLAN_spaaradvies,49,1.0
AEGON_KOERSPLAN_spaaradvies,50,1.0
AEGON_KOERSPLAN_spaaradvies,51,1.0
AEGON_KOERSPLAN_spaaradvies,52,1.0
AEGON_KOERSPLAN_spaaradvies,53,1.0
AEGON_KOERSPLAN_spaaradvies,54,1.0
AEGON_KOERSPLAN_spaaradvies,55,1.0
AEGON_KOERSPLAN_spaaradvies,56,1.0
AEGON_KOERSPLAN_spaaradvies,57,1.0
AEGON_KOERSPLAN_spaaradvies,58,1.0
AEGON_KOERSPLAN_spaaradvies,59,1.0
AEGON_KOERSPLAN_spaaradvies,60,1.0
AEGON_KOERSPLAN_spaaradvies,61,1.0
AEGON_KOERSPLAN_spaaradvies,62,1.0
AEGON_KOERSPLAN_spaaradvies,63,1.0
AEGON_KOERSPLAN_spaaradvies,64,1.0
AEGON_KOERSPLAN_spaaradvies,65,1.0
AEGON_KOERSPLAN_spaaradvies,66,1.0
AEGON_KOERSPLAN_spaaradvies,67,1.0
AEGON_KOERSPLAN_spaaradvies,68,1.0
AEGON_KOERSPLAN_spaaradvies,69,1.0
AEGON_KOERSPLAN_spaaradvies,70,1.0
AEGON_KOERSPLAN_spaaradvies,71,1.0
AEGON_KOERSPLAN_spaaradvies,72,1.0
AEGON_KOERSPLAN_spaaradvies,73,1.0
AEGON_KOERSPLAN_spaaradvies,74,1.0
AEGON_KOERSPLAN_spaaradvies,75,1.0
AEGON_KOERSPLAN_spaaradvies,76,1.0
AEGON_KOERSPLAN_spaaradvies,77,1.0
AEGON_KOERSPLAN_spaaradvies,78,1.0
AEGON_KOERSPLAN_spaaradvies,79,1.0
AEGON_KOERSPLAN_spaaradvies,80,1.0
AEGON_KOERSPLAN_spaaradvies,81,1.0
AEGON_SPAARBEURS_direct,15,1.0
AEGON_SPAARBEURS_direct,16,1.0
AEGON_SPAARBEURS_direct,17,1.0
AEGON_SPAARBEURS_direct,18,1.0
AEGON_SPAARBEURS_direct,19,1.0
AEGON_SPAARBEURS_direct,20,1.0
AEGON_SPAARBEURS_direct,21,1.0
AEGON_SPAARBEURS_direct,22,1.0
AEGON_SPAARBEURS_direct,23,1.0
AEGON_SPAARBEURS_direct,24,1.0
AEGON_SPAARBEURS_direct,25,1.0
AEGON_SPAARBEURS_direct,26,1.0
AEGON_SPAARBEURS_direct,27,1.0
AEGON_SPAARBEURS_direct,28,1.0
AEGON_SPAARBEURS_direct,29,1.0
AEGON_SPAARBEURS_direct,30,1.0
AEGON_SPAARBEURS_direct,31,1.0
AEGON_SPAARBEURS_direct,32,1.0
AEGON_SPAARBEURS_direct,33,1.0
AEGON_SPAARBEURS_direct,34,1.0
AEGON_SPAARBEURS_direct,35,1.0
AEGON_SPAARBEURS_direct,36,1.0
AEGON_SPAARBEURS_direct,37,1.0
AEGON_SPAARBEURS_direct,38,1.0
AEGON_SPAARBEURS_direct,39,1.0
AEGON_SPAARBEURS_direct,40,1.0
AEGON_SPAARBEURS_direct,41,1.0
AEGON_SPAARBEURS_direct,42,1.0
AEGON_SPAARBEURS_direct,43,1.0
AEGON_SPAARBEURS_direct,44,1.0
AEGON_SPAARBEURS_direct,45,1.0
AEGON_SPAARBEURS_direct,46,1.0
AEGON_SPAARBEURS_direct,47,1.0
AEGON_SPAARBEURS_direct,48,1.0
AEGON_SPAARBEURS_direct,49,1.0
AEGON_SPAARBEURS_direct,50,1.0
AEGON_SPAARBEURS_direct,51,1.0
AEGON_SPAARBEURS_direct,52,1.0
AEGON_SPAARBEURS_direct,53,1.0
AEGON_SPAARBEURS_direct,54,1.0
AEGON_SPAARBEURS_direct,55,1.0
AEGON_SPAARBEURS_direct,56,1.0
AEGON_SPAARBEURS_direct,57,1.0
AEGON_SPAARBEURS_direct,58,1.0
AEGON_SPAARBEURS_direct,59,1.0
AEGON_SPAARBEURS_direct,60,1.0
AEGON_SPAARBEURS_direct,61,1.0
AEGON_SPAARBEURS_direct,62,1.0
AEGON_SPAARBEURS_direct,63,1.0
AEGON_SPAARBEURS_direct,64,1.0
AEGON_SPAARBEURS_direct,65,1.0
AEGON_SPAARBEURS_direct,66,1.0
AEGON_SPAARBEURS_direct,67,1.0
AEGON_SPAARBEURS_direct,68,1.0
AEGON_SPAARBEURS_direct,69,1.0
AEGON_SPAARBEURS_direct,70,1.0
AEGON_SPAARBEURS_direct,71,1.0
AEGON_SPAARBEURS_direct,72,1.0
AEGON_SPAARBEURS_direct,73,1.0
AEGON_SPAARBEURS_direct,74,1.0
AEGON_SPAARBEURS_direct,75,1.0
AEGON_SPAARBEURS_direct,76,1.0
AEGON_SPAARBEURS_direct,77,1.0
AEGON_SPAARBEURS_direct,78,1.0
AEGON_SPAARBEURS_direct,79,1.0
AEGON_SPAARBEURS_direct,80,1.0
AEGON_SPAARBEURS_direct,81,1.0
AEGON_SPAARBEURS_spaaradvies,15,1.0
AEGON_SPAARBEURS_spaaradvies,16,1.0
AEGON_SPAARBEURS_spaaradvies,17,1.0
AEGON_SPAARBEURS_spaaradvies,18,1.0
AEGON_SPAARBEURS_spaaradvies,19,1.0
AEGON_SPAARBEURS_spaaradvies,20,1.0
AEGON_SPAARBEURS_spaaradvies,21,1.0
AEGON_SPAARBEURS_spaaradvies,22,1.0
AEGON_SPAARBEURS_spaaradvies,23,1.0
AEGON_SPAARBEURS_spaaradvies,24,1.0
AEGON_SPAARBEURS_spaaradvies,25,1.0
AEGON_SPAARBEURS_spaaradvies,26,1.0
AEGON_SPAARBEURS_spaaradvies,27,1.0
AEGON_SPAARBEURS_spaaradvies,28,1.0
AEGON_SPAARBEURS_spaaradvies,29,1.0
AEGON_SPAARBEURS_spaaradvies,30,1.0
AEGON_SPAARBEURS_spaaradvies,31,1.0
AEGON_SPAARBEURS_spaaradvies,32,1.0
AEGON_SPAARBEURS_spaaradvies,33,1.0
AEGON_SPAARBEURS_spaaradvies,34,1.0
AEGON_SPAARBEURS_spaaradvies,35,1.0
AEGON_SPAARBEURS_spaaradvies,36,1.0
AEGON_SPAARBEURS_spaaradvies,37,1.0
AEGON_SPAARBEURS_spaaradvies,38,1.0
AEGON_SPAARBEURS_spaaradvies,39,1.0
AEGON_SPAARBEURS_spaaradvies,40,1.0
AEGON_SPAARBEURS_spaaradvies,41,1.0
AEGON_SPAARBEURS_spaaradvies,42,1.0
AEGON_SPAARBEURS_spaaradvies,43,1.0
AEGON_SPAARBEURS_spaaradvies,44,1.0
AEGON_SPAARBEURS_spaaradvies,45,1.0
AEGON_SPAARBEURS_spaaradvies,46,1.0
AEGON_SPAARBEURS_spaaradvies,47,1.0
AEGON_SPAARBEURS_spaaradvies,48,1.0
AEGON_SPAARBEURS_spaaradvies,49,1.0
AEGON_SPAARBEURS_spaaradvies,50,1.0
AEGON_SPAARBEURS_spaaradvies,51,1.0
AEGON_SPAARBEURS_spaaradvies,52,1.0
AEGON_SPAARBEURS_spaaradvies,53,1.0
AEGON_SPAARBEURS_spaaradvies,54,1.0
AEGON_SPAARBEURS_spaaradvies,55,1.0
AEGON_SPAARBEURS_spaaradvies,56,1.0
AEGON_SPAARBEURS_spaaradvies,57,1.0
AEGON_SPAARBEURS_spaaradvies,58,1.0
AEGON_SPAARBEURS_spaaradvies,59,1.0
AEGON_SPAARBEURS_spaaradvies,60,1.0
AEGON_SPAARBEURS_spaaradvies,61,1.0
AEGON_SPAARBEURS_spaaradvies,62,1.0
AEGON_SPAARBEURS_spaaradvies,63,1.0
AEGON_SPAARBEURS_spaaradvies,64,1.0
AEGON_SPAARBEURS_spaaradvies,65,1.0
AEGON_SPAARBEURS_spaaradvies,66,1.0
AEGON_SPAARBEURS_spaaradvies,67,1.0
AEGON_SPAARBEURS_spaaradvies,68,1.0
AEGON_SPAARBEURS_spaaradvies,69,1.0
AEGON_SPAARBEURS_spaaradvies,70,1.0
AEGON_SPAARBEURS_spaaradvies,71,1.0
AEGON_SPAARBEURS_spaaradvies,72,1.0
AEGON_SPAARBEURS_spaaradvies,73,1.0
AEGON_SPAARBEURS_spaaradvies,74,1.0
AEGON_SPAARBEURS_spaaradvies,75,1.0
AEGON_SPAARBEURS_spaaradvies,76,1.0
AEGON_SPAARBEURS_spaaradvies,77,1.0
AEGON_SPAARBEURS_spaaradvies,78,1.0
AEGON_SPAARBEURS_spaaradvies,79,1.0
AEGON_SPAARBEURS_spaaradvies,80,1.0
AEGON_SPAARBEURS_spaaradvies,81,1.0
