prodboomcd,fund_value,value
2040PLUSFONDS,500,1.0
2040PLUSFONDS,1000,1.0
2040PLUSFONDS,1500,1.0
2040PLUSFONDS,2000,1.0
2040PLUSFONDS,2500,1.0
2040PLUSFONDS,3000,1.0
2040PLUSFONDS,3500,1.0
2040PLUSFONDS,4000,1.0
2040PLUSFONDS,4500,1.0
2040PLUSFONDS,5000,1.0
2040PLUSFONDS,5500,1.0
2040PLUSFONDS,6000,1.0
2040PLUSFONDS,6500,1.0
2040PLUSFONDS,7000,1.0
2040PLUSFONDS,7500,1.0
2040PLUSFONDS,8000,1.0
2040PLUSFONDS,8500,1.0
2040PLUSFONDS,9000,1.0
2040PLUSFONDS,9500,1.0
2040PLUSFONDS,10000,1.0
2040PLUSFONDS,10500,1.0
2040PLUSFONDS,11000,1.0
2040PLUSFONDS,11500,1.0
2040PLUSFONDS,12000,1.0
2040PLUSFONDS,12500,1.0
2040PLUSFONDS,13000,1.0
2040PLUSFONDS,13500,1.0
2040PLUSFONDS,14000,1.0
2040PLUSFONDS,14500,1.0
2040PLUSFONDS,15000,1.0
2040PLUSFONDS,15500,1.0
2040PLUSFONDS,16000,1.0
2040PLUSFONDS,16500,1.0
2040PLUSFONDS,17000,1.0
2040PLUSFONDS,17500,1.0
2040PLUSFONDS,18000,1.0
2040PLUSFONDS,18500,1.0
2040PLUSFONDS,19000,1.0
2040PLUSFONDS,19500,1.0
2040PLUSFONDS,20000,1.0
2040PLUSFONDS,20500,1.0
2040PLUSFONDS,21000,1.0
2040PLUSFONDS,21500,1.0
2040PLUSFONDS,22000,1.0
2040PLUSFONDS,22500,1.0
2040PLUSFONDS,23000,1.0
2040PLUSFONDS,23500,1.0
2040PLUSFONDS,24000,1.0
2040PLUSFONDS,24500,1.0
2040PLUSFONDS,25000,1.0
2040PLUSFONDS,25500,1.0
2040PLUSFONDS,26000,1.0
2040PLUSFONDS,26500,1.0
2040PLUSFONDS,27000,1.0
2040PLUSFONDS,27500,1.0
2040PLUSFONDS,28000,1.0
2040PLUSFONDS,28500,1.0
2040PLUSFONDS,29000,1.0
2040PLUSFONDS,29500,1.0
2040PLUSFONDS,30000,1.0
