prodboomcd,policy_year,value
2040PLUSFONDS,0,0.040719222
2040PLUSFONDS,1,0.38263101
2040PLUSFONDS,2,0.346803037
2040PLUSFONDS,3,0.38554458
2040PLUSFONDS,4,0.428613961
2040PLUSFONDS,5,0.476494645
2040PLUSFONDS,6,0.529724104
2040PLUSFONDS,7,0.588899853
2040PLUSFONDS,8,0.654686155
2040PLUSFONDS,9,0.727821478
2040PLUSFONDS,10,0.809126785
2040PLUSFONDS,11,0.89951475
2040PLUSFONDS,12,1.0
2040PLUSFONDS,13,1.111710508
2040PLUSFONDS,14,1.235900255
2040PLUSFONDS,15,1.3739633
2040PLUSFONDS,16,1.527449439
2040PLUSFONDS,17,1.698081593
2040PLUSFONDS,18,1.887775151
2040PLUSFONDS,19,2.098659472
2040PLUSFONDS,20,2.333101789
2040PLUSFONDS,21,2.88639551
2040PLUSFONDS,22,2.88639551
2040PLUSFONDS,23,2.88639551
2040PLUSFONDS,24,2.88639551
2040PLUSFONDS,25,2.88639551
2040PLUSFONDS,26,2.88639551
2040PLUSFONDS,27,2.88639551
2040PLUSFONDS,28,2.88639551
2040PLUSFONDS,29,2.88639551
2040PLUSFONDS,30,2.88639551
2040PLUSFONDS,31,2.88639551
2040PLUSFONDS,32,2.88639551
2040PLUSFONDS,33,2.88639551
2040PLUSFONDS,34,2.88639551
2040PLUSFONDS,35,2.88639551
2040PLUSFONDS,36,2.88639551
2040PLUSFONDS,37,2.88639551
2040PLUSFONDS,38,2.88639551
2040PLUSFONDS,39,2.88639551
2040PLUSFONDS,40,2.88639551
2040PLUSFONDS,41,2.88639551
AEGON_KOERSPLAN_spaaradvies,0,0.040719222
AEGON_KOERSPLAN_spaaradvies,1,0.38263101
AEGON_KOERSPLAN_spaaradvies,2,0.346803037
AEGON_KOERSPLAN_spaaradvies,3,0.38554458
AEGON_KOERSPLAN_spaaradvies,4,0.428613961
AEGON_KOERSPLAN_spaaradvies,5,0.476494645
AEGON_KOERSPLAN_spaaradvies,6,0.529724104
AEGON_KOERSPLAN_spaaradvies,7,0.588899853
AEGON_KOERSPLAN_spaaradvies,8,0.654686155
AEGON_KOERSPLAN_spaaradvies,9,0.727821478
AEGON_KOERSPLAN_spaaradvies,10,0.809126785
AEGON_KOERSPLAN_spaaradvies,11,0.89951475
AEGON_KOERSPLAN_spaaradvies,12,1.0
AEGON_KOERSPLAN_spaaradvies,13,1.111710508
AEGON_KOERSPLAN_spaaradvies,14,1.235900255
AEGON_KOERSPLAN_spaaradvies,15,1.3739633
AEGON_KOERSPLAN_spaaradvies,16,1.527449439
AEGON_KOERSPLAN_spaaradvies,17,1.698081593
AEGON_KOERSPLAN_spaaradvies,18,1.887775151
AEGON_KOERSPLAN_spaaradvies,19,2.098659472
AEGON_KOERSPLAN_spaaradvies,20,2.333101789
AEGON_KOERSPLAN_spaaradvies,21,2.88639551
AEGON_KOERSPLAN_spaaradvies,22,2.88639551
AEGON_KOERSPLAN_spaaradvies,23,2.88639551
AEGON_KOERSPLAN_spaaradvies,24,2.88639551
AEGON_KOERSPLAN_spaaradvies,25,2.88639551
AEGON_KOERSPLAN_spaaradvies,26,2.88639551
AEGON_KOERSPLAN_spaaradvies,27,2.88639551
AEGON_KOERSPLAN_spaaradvies,28,2.88639551
AEGON_KOERSPLAN_spaaradvies,29,2.88639551
AEGON_KOERSPLAN_spaaradvies,30,2.88639551
AEGON_KOERSPLAN_spaaradvies,31,2.88639551
AEGON_KOERSPLAN_spaaradvies,32,2.88639551
AEGON_KOERSPLAN_spaaradvies,33,2.88639551
AEGON_KOERSPLAN_spaaradvies,34,2.88639551
AEGON_KOERSPLAN_spaaradvies,35,2.88639551
AEGON_KOERSPLAN_spaaradvies,36,2.88639551
AEGON_KOERSPLAN_spaaradvies,37,2.88639551
AEGON_KOERSPLAN_spaaradvies,38,2.88639551
AEGON_KOERSPLAN_spaaradvies,39,2.88639551
AEGON_KOERSPLAN_spaaradvies,40,2.88639551
AEGON_KOERSPLAN_spaaradvies,41,2.88639551
AEGON_SPAARBEURS_direct,0,0.040719222
AEGON_SPAARBEURS_direct,1,0.38263101
AEGON_SPAARBEURS_direct,2,0.346803037
AEGON_SPAARBEURS_direct,3,0.38554458
AEGON_SPAARBEURS_direct,4,0.428613961
AEGON_SPAARBEURS_direct,5,0.476494645
AEGON_SPAARBEURS_direct,6,0.529724104
AEGON_SPAARBEURS_direct,7,0.588899853
AEGON_SPAARBEURS_direct,8,0.654686155
AEGON_SPAARBEURS_direct,9,0.727821478
AEGON_SPAARBEURS_direct,10,0.809126785
AEGON_SPAARBEURS_direct,11,0.89951475
AEGON_SPAARBEURS_direct,12,1.0
AEGON_SPAARBEURS_direct,13,1.111710508
AEGON_SPAARBEURS_direct,14,1.235900255
AEGON_SPAARBEURS_direct,15,1.3739633
AEGON_SPAARBEURS_direct,16,1.527449439
AEGON_SPAARBEURS_direct,17,1.698081593
AEGON_SPAARBEURS_direct,18,1.887775151
AEGON_SPAARBEURS_direct,19,2.098659472
AEGON_SPAARBEURS_direct,20,2.333101789
AEGON_SPAARBEURS_direct,21,2.88639551
AEGON_SPAARBEURS_direct,22,2.88639551
AEGON_SPAARBEURS_direct,23,2.88639551
AEGON_SPAARBEURS_direct,24,2.88639551
AEGON_SPAARBEURS_direct,25,2.88639551
AEGON_SPAARBEURS_direct,26,2.88639551
AEGON_SPAARBEURS_direct,27,2.88639551
AEGON_SPAARBEURS_direct,28,2.88639551
AEGON_SPAARBEURS_direct,29,2.88639551
AEGON_SPAARBEURS_direct,30,2.88639551
AEGON_SPAARBEURS_direct,31,2.88639551
AEGON_SPAARBEURS_direct,32,2.88639551
AEGON_SPAARBEURS_direct,33,2.88639551
AEGON_SPAARBEURS_direct,34,2.88639551
AEGON_SPAARBEURS_direct,35,2.88639551
AEGON_SPAARBEURS_direct,36,2.88639551
AEGON_SPAARBEURS_direct,37,2.88639551
