prodboomcd,premium,value
2040PLUSFONDS,50,1.0
2040PLUSFONDS,100,0.173075339
2040PLUSFONDS,150,0.173075339
2040PLUSFONDS,200,0.173075339
2040PLUSFONDS,250,0.173075339
2040PLUSFONDS,300,0.173075339
2040PLUSFONDS,350,0.173075339
2040PLUSFONDS,400,0.173075339
2040PLUSFONDS,450,0.173075339
2040PLUSFONDS,500,0.173075339
2040PLUSFONDS,550,0.173075339
2040PLUSFONDS,600,0.100779971
2040PLUSFONDS,650,0.100642168
2040PLUSFONDS,700,0.100504553
2040PLUSFONDS,750,0.100367127
2040PLUSFONDS,800,0.100229889
2040PLUSFONDS,850,0.100092838
2040PLUSFONDS,900,0.099955974
2040PLUSFONDS,950,0.099819298
2040PLUSFONDS,1000,0.099682809
2040PLUSFONDS,1050,0.099546506
2040PLUSFONDS,1100,0.09941039
2040PLUSFONDS,1150,0.099274459
2040PLUSFONDS,1200,0.099138715
2040PLUSFONDS,1250,0.099003156
2040PLUSFONDS,1300,0.098867783
2040PLUSFONDS,1350,0.098732595
2040PLUSFONDS,1400,0.098597591
2040PLUSFONDS,1450,0.098462772
2040PLUSFONDS,1500,0.098328138
2040PLUSFONDS,1550,0.098193687
2040PLUSFONDS,1600,0.098059421
2040PLUSFONDS,1650,0.097925338
2040PLUSFONDS,1700,0.097791438
2040PLUSFONDS,1750,0.097657722
2040PLUSFONDS,1800,0.097524188
2040PLUSFONDS,1850,0.097390837
2040PLUSFONDS,1900,0.097257668
2040PLUSFONDS,1950,0.097124681
2040PLUSFONDS,2000,0.096991876
2040PLUSFONDS,2050,0.096859253
2040PLUSFONDS,2100,0.096726811
2040PLUSFONDS,2150,0.09659455
2040PLUSFONDS,2200,0.09646247
2040PLUSFONDS,2250,0.096330571
2040PLUSFONDS,2300,0.096198852
2040PLUSFONDS,2350,0.096067313
2040PLUSFONDS,2400,0.095935954
2040PLUSFONDS,2450,0.095804775
2040PLUSFONDS,2500,0.095673775
2040PLUSFONDS,2550,0.095542954
2040PLUSFONDS,2600,0.095412312
2040PLUSFONDS,2650,0.095281848
2040PLUSFONDS,2700,0.095151563
2040PLUSFONDS,2750,0.095021456
2040PLUSFONDS,2800,0.094891527
2040PLUSFONDS,2850,0.094761776
2040PLUSFONDS,2900,0.094632202
2040PLUSFONDS,2950,0.094502805
2040PLUSFONDS,3000,0.094373586
2040PLUSFONDS,3050,0.094244542
2040PLUSFONDS,3100,0.094115676
2040PLUSFONDS,3150,0.093986985
2040PLUSFONDS,3200,0.093858471
2040PLUSFONDS,3250,0.093730132
2040PLUSFONDS,3300,0.093601969
2040PLUSFONDS,3350,0.093473981
2040PLUSFONDS,3400,0.093346168
2040PLUSFONDS,3450,0.09321853
2040PLUSFONDS,3500,0.093091066
2040PLUSFONDS,3550,0.092963776
2040PLUSFONDS,3600,0.092836661
2040PLUSFONDS,3650,0.092709719
2040PLUSFONDS,3700,0.092582951
2040PLUSFONDS,3750,0.092456357
2040PLUSFONDS,3800,0.092329935
2040PLUSFONDS,3850,0.092203687
2040PLUSFONDS,3900,0.09207761
2040PLUSFONDS,3950,0.091951707
2040PLUSFONDS,4000,0.091825975
2040PLUSFONDS,4050,0.091700416
2040PLUSFONDS,4100,0.091575028
2040PLUSFONDS,4150,0.091449811
2040PLUSFONDS,4200,0.091324766
2040PLUSFONDS,4250,0.091199892
2040PLUSFONDS,4300,0.091075188
2040PLUSFONDS,4350,0.090950655
2040PLUSFONDS,4400,0.090826293
2040PLUSFONDS,4450,0.0907021
2040PLUSFONDS,4500,0.090578077
2040PLUSFONDS,4550,0.090454224
2040PLUSFONDS,4600,0.09033054
2040PLUSFONDS,4650,0.090207025
2040PLUSFONDS,4700,0.090083679
2040PLUSFONDS,4750,0.089960502
2040PLUSFONDS,4800,0.089837493
2040PLUSFONDS,4850,0.089714653
2040PLUSFONDS,4900,0.08959198
2040PLUSFONDS,4950,0.089469475
2040PLUSFONDS,5000,0.089347138
2040PLUSFONDS,5050,0.089224968
2040PLUSFONDS,5100,0.089102965
2040PLUSFONDS,5150,0.088981128
2040PLUSFONDS,5200,0.088859459
2040PLUSFONDS,5250,0.088737955
2040PLUSFONDS,5300,0.088616618
2040PLUSFONDS,5350,0.088495447
