prodboomcd,remaining_years,value
2040PLUSFONDS,0,1.0
2040PLUSFONDS,1,1.0
2040PLUSFONDS,2,1.0
2040PLUSFONDS,3,1.0
2040PLUSFONDS,4,1.0
2040PLUSFONDS,5,1.0
2040PLUSFONDS,6,1.0
2040PLUSFONDS,7,1.0
2040PLUSFONDS,8,1.0
2040PLUSFONDS,9,1.0
2040PLUSFONDS,10,1.0
2040PLUSFONDS,11,1.0
2040PLUSFONDS,12,1.0
2040PLUSFONDS,13,1.0
2040PLUSFONDS,14,1.0
2040PLUSFONDS,15,1.0
2040PLUSFONDS,16,1.0
2040PLUSFONDS,17,1.0
2040PLUSFONDS,18,1.0
2040PLUSFONDS,19,1.0
2040PLUSFONDS,20,1.0
2040PLUSFONDS,21,1.0
2040PLUSFONDS,22,1.0
2040PLUSFONDS,23,1.0
2040PLUSFONDS,24,1.0
2040PLUSFONDS,25,1.0
2040PLUSFONDS,26,1.0
2040PLUSFONDS,27,1.0
2040PLUSFONDS,28,1.0
2040PLUSFONDS,29,1.0
2040PLUSFONDS,30,1.0
2040PLUSFONDS,31,1.0
AEGON_KOERSPLAN_spaaradvies,0,1.0
AEGON_KOERSPLAN_spaaradvies,1,1.0
AEGON_KOERSPLAN_spaaradvies,2,1.0
AEGON_KOERSPLAN_spaaradvies,3,1.0
AEGON_KOERSPLAN_spaaradvies,4,1.0
AEGON_KOERSPLAN_spaaradvies,5,1.0
AEGON_KOERSPLAN_spaaradvies,6,1.0
AEGON_KOERSPLAN_spaaradvies,7,1.0
AEGON_KOERSPLAN_spaaradvies,8,1.0
AEGON_KOERSPLAN_spaaradvies,9,1.0
AEGON_KOERSPLAN_spaaradvies,10,1.0
AEGON_KOERSPLAN_spaaradvies,11,1.0
AEGON_KOERSPLAN_spaaradvies,12,1.0
AEGON_KOERSPLAN_spaaradvies,13,1.0
AEGON_KOERSPLAN_spaaradvies,14,1.0
AEGON_KOERSPLAN_spaaradvies,15,1.0
AEGON_KOERSPLAN_spaaradvies,16,1.0
AEGON_KOERSPLAN_spaaradvies,17,1.0
AEGON_KOERSPLAN_spaaradvies,18,1.0
AEGON_KOERSPLAN_spaaradvies,19,1.0
AEGON_KOERSPLAN_spaaradvies,20,1.0
AEGON_KOERSPLAN_spaaradvies,21,1.0
AEGON_KOERSPLAN_spaaradvies,22,1.0
AEGON_KOERSPLAN_spaaradvies,23,1.0
AEGON_KOERSPLAN_spaaradvies,24,1.0
AEGON_KOERSPLAN_spaaradvies,25,1.0
AEGON_KOERSPLAN_spaaradvies,26,1.0
AEGON_KOERSPLAN_spaaradvies,27,1.0
AEGON_KOERSPLAN_spaaradvies,28,1.0
AEGON_KOERSPLAN_spaaradvies,29,1.0
AEGON_KOERSPLAN_spaaradvies,30,1.0
AEGON_KOERSPLAN_spaaradvies,31,1.0
AEGON_SPAARBEURS_direct,0,1.0
AEGON_SPAARBEURS_direct,1,1.0
AEGON_SPAARBEURS_direct,2,1.0
AEGON_SPAARBEURS_direct,3,1.0
AEGON_SPAARBEURS_direct,4,1.0
AEGON_SPAARBEURS_direct,5,1.0
AEGON_SPAARBEURS_direct,6,1.0
AEGON_SPAARBEURS_direct,7,1.0
AEGON_SPAARBEURS_direct,8,1.0
AEGON_SPAARBEURS_direct,9,1.0
AEGON_SPAARBEURS_direct,10,1.0
AEGON_SPAARBEURS_direct,11,1.0
AEGON_SPAARBEURS_direct,12,1.0
AEGON_SPAARBEURS_direct,13,1.0
AEGON_SPAARBEURS_direct,14,1.0
AEGON_SPAARBEURS_direct,15,1.0
AEGON_SPAARBEURS_direct,16,1.0
AEGON_SPAARBEURS_direct,17,1.0
AEGON_SPAARBEURS_direct,18,1.0
AEGON_SPAARBEURS_direct,19,1.0
AEGON_SPAARBEURS_direct,20,1.0
AEGON_SPAARBEURS_direct,21,1.0
AEGON_SPAARBEURS_direct,22,1.0
AEGON_SPAARBEURS_direct,23,1.0
AEGON_SPAARBEURS_direct,24,1.0
AEGON_SPAARBEURS_direct,25,1.0
AEGON_SPAARBEURS_direct,26,1.0
AEGON_SPAARBEURS_direct,27,1.0
AEGON_SPAARBEURS_direct,28,1.0
AEGON_SPAARBEURS_direct,29,1.0
AEGON_SPAARBEURS_direct,30,1.0
AEGON_SPAARBEURS_direct,31,1.0
AEGON_SPAARBEURS_spaaradvies,0,1.0
AEGON_SPAARBEURS_spaaradvies,1,1.0
AEGON_SPAARBEURS_spaaradvies,2,1.0
AEGON_SPAARBEURS_spaaradvies,3,1.0
AEGON_SPAARBEURS_spaaradvies,4,1.0
AEGON_SPAARBEURS_spaaradvies,5,1.0
AEGON_SPAARBEURS_spaaradvies,6,1.0
AEGON_SPAARBEURS_spaaradvies,7,1.0
AEGON_SPAARBEURS_spaaradvies,8,1.0
AEGON_SPAARBEURS_spaaradvies,9,1.0
