model,index,prodboomcd
AVN,1,LIJFRENTE
AVN,2,ALIMENTATIE
AVN,3,BEDRIJVEN
AVN,4,DEPOT
AVN,5,GOUDENHANDDRUK
AVN,6,HYPOTHEEK
AVN,7,KAPITAAL
AVN,8,NETTO_LIJFRENTE
AVN,9,PENSIOEN
AVN,10,RISICO
AVN,11,SALDO
AX,1,KOERSPLAN
AX,2,OVERIG_GELIJKBLIJVEND
AX,3,VERMOGENSPLAN
AX,4,FISCAALVOORDEELPLAN
AX,5,OVERIG_STIJGEND
AX,6,KAPITAALPLAN
AX,7,TOEKOMSTPLAN
AX,8,KOOPSOM
AX,9,AOWPRIVEPLAN
AX,10,BUDGETFONDS
AX,11,2040PLUSFONDS
AX,12,STUDIEPLUS
AX,13,SPAARPLUS
AX,14,PENSIOENPLUS
AX,15,SCHAKELSPAAR
AX,16,GARANTIEPLAN
CAE,1,FP_1
CAE,2,FP_2
CAE,3,FP_3
CAE,4,FP_4
CAE,5,FP_5
CAE,6,FP_6
CAE,7,FP_7
CAE,8,FP_8
FP,1,FP_1
FP,2,FP_2
FP,3,FP_3
FP,4,FP_4
FP,5,FP_5
FP,6,FP_6
FP,7,FP_7
FP,8,FP_8
KP,1,KOERSPLAN
KP,2,OVERIG_GELIJKBLIJVEND
KP,3,VERMOGENSPLAN
KP,4,FISCAALVOORDEELPLAN
KP,5,OVERIG_STIJGEND
KP,6,KAPITAALPLAN
KP,7,TOEKOMSTPLAN
KP,8,KOOPSOM
KP,9,AOWPRIVEPLAN
KP,10,BUDGETFONDS
KP,11,2040PLUSFONDS
KP,12,STUDIEPLUS
KP,13,SPAARPLUS
KP,14,PENSIOENPLUS
KP,15,SCHAKELSPAAR
KP,16,GARANTIEPLAN
MM,1,LLV
MM,2,LLP
MM,3,LLI
MM,4,LLK
MM,5,ALH
MM,6,LLH
MM,7,AORV_Type1
MM,8,AORV_Type2
MM,9,AORV_Type3
MM,10,AORV_Type4
MM,11,ASH
MM,12,USH
MM,13,PENCOM
MM,14,SOLI
MM,15,V&B
MM,16,LLW
MM,17,LLJ
MM,18,AFP
MM,19,MM_KP
MM,20,MM_EP
MM,21,MM_CP
OR,1,OR_1
OR,2,OR_2
OR,3,OR_3
OR,4,OR_4
OR,5,OR_5
OR,6,OR_6
OR,7,OR_7
OR,8,OR_8
SB,1,AEGON_SPAARBEURS_spaaradvies
SB,2,AEGON_SPAARBEURS_direct
SB,3,AEGON_SPAARBEURS_spaarbelegger
SB,4,AEGON_SPAARBEURS_tussenpersoon
SB,5,AEGON_KOERSPLAN_spaaradvies
UVL,1,LLV
UVL,2,LLP
UVL,3,LLI
UVL,4,LLK
UVL,5,ALH
UVL,6,LLH
UVL,7,AORV_Type1
UVL,8,AORV_Type2
UVL,9,AORV_Type3
UVL,10,AORV_Type4
UVL,11,ASH
UVL,12,USH
UVL,13,PENCOM
UVL,14,SOLI
UVL,15,V&B
UVL,16,LLW
UVL,17,LLJ
UVL,18,AFP
