prodboomcd,rate_type,base_rate,partly_rate
2040PLUSFONDS,logit,836.2215832,0.808921362
AEGON_KOERSPLAN_spaaradvies,logit,836.2215832,0.808921362
AEGON_SPAARBEURS_direct,logit,836.2215832,0.808921362
AEGON_SPAARBEURS_spaaradvies,logit,836.2215832,0.808921362
AEGON_SPAARBEURS_spaarbelegger,logit,836.2215832,0.808921362
AEGON_SPAARBEURS_tussenpersoon,logit,836.2215832,0.808921362
AFP,logit,836.2215832,0.808921362
ALH,logit,89.61847892,0.289106706
ALIMENTATIE,average,1.0,1.0
AORV_Type1,logit,13181.90057,0.8054824
AORV_Type2,logit,13181.90057,0.8054824
AORV_Type3,logit,13181.90057,0.8054824
AORV_Type4,logit,13181.90057,0.8054824
AOWPRIVEPLAN,logit,836.2215832,0.808921362
ASH,logit,89.61847892,0.289106706
BEDRIJVEN,logit,836.2215832,0.808921362
BUDGETFONDS,logit,836.2215832,0.808921362
DEPOT,logit,836.2215832,0.808921362
FISCAALVOORDEELPLAN,logit,836.2215832,0.808921362
FP_1,logit,89.61847892,0.289106706
FP_2,logit,836.2215832,0.808921362
FP_3,logit,1.0,1.0
FP_4,average,1.0,1.0
FP_5,logit,836.2215832,0.808921362
FP_6,logit,13181.90057,0.8054824
FP_7,logit,3580.45938,0.819432684
FP_8,logit,836.2215832,0.808921362
GARANTIEPLAN,logit,836.2215832,0.808921362
GOUDENHANDDRUK,logit,836.2215832,0.808921362
HYPOTHEEK,average,1.0,1.0
KAPITAAL,logit,836.2215832,0.808921362
KAPITAALPLAN,logit,836.2215832,0.808921362
KOERSPLAN,logit,836.2215832,0.808921362
KOOPSOM,logit,836.2215832,0.808921362
LIJFRENTE,logit,836.2215832,0.808921362
LLH,logit,89.61847892,0.289106706
LLI,average,1.0,1.0
LLJ,logit,836.2215832,0.808921362
LLK,logit,1.0,1.0
LLP,logit,836.2215832,0.808921362
LLV,logit,836.2215832,0.808921362
LLW,logit,836.2215832,0.808921362
MM_CP,logit,836.2215832,0.808921362
MM_EP,logit,836.2215832,0.808921362
MM_KP,logit,836.2215832,0.808921362
NETTO_LIJFRENTE,logit,836.2215832,0.808921362
OR_1,logit,89.61847892,0.289106706
OR_2,logit,836.2215832,0.808921362
OR_3,logit,1.0,1.0
OR_4,average,1.0,1.0
OR_5,logit,836.2215832,0.808921362
OR_6,logit,13181.90057,0.8054824
OR_7,logit,3580.45938,0.819432684
OR_8,logit,836.2215832,0.808921362
OVERIG_GELIJKBLIJVEND,logit,836.2215832,0.808921362
OVERIG_STIJGEND,logit,836.2215832,0.808921362
PENCOM,logit,836.2215832,0.808921362
PENSIOEN,logit,836.2215832,0.808921362
PENSIOENPLUS,logit,836.2215832,0.808921362
RISICO,average,1.0,1.0
SALDO,logit,836.2215832,0.808921362
SCHAKELSPAAR,logit,836.2215832,0.808921362
SH_1,logit,89.61847892,0.289106706
SH_2,logit,836.2215832,0.808921362
SH_3,logit,1.0,1.0
SH_4,average,1.0,1.0
SH_5,logit,836.2215832,0.808921362
SH_6,logit,13181.90057,0.8054824
SH_7,logit,3580.45938,0.819432684
SH_8,logit,836.2215832,0.808921362
SOLI,logit,836.2215832,0.808921362
SPAARPLUS,logit,836.2215832,0.808921362
STUDIEPLUS,logit,836.2215832,0.808921362
TOEKOMSTPLAN,logit,836.2215832,0.808921362
USH,logit,89.61847892,0.289106706
V&B,logit,836.2215832,0.808921362
VERMOGENSPLAN,logit,836.2215832,0.808921362
Z_W_1_OTHER,logit,89.61847892,0.289106706
Z_W_1_Z,logit,89.61847892,0.289106706
Z_W_2_OTHER,logit,836.2215832,0.808921362
Z_W_2_Z,logit,836.2215832,0.808921362
Z_W_3_OTHER,logit,1.0,1.0
Z_W_3_Z,logit,1.0,1.0
Z_W_4_OTHER,average,1.0,1.0
Z_W_4_Z,average,1.0,1.0
Z_W_5_OTHER,logit,836.2215832,0.808921362
Z_W_5_Z,logit,836.2215832,0.808921362
Z_W_6_OTHER,logit,13181.90057,0.8054824
Z_W_6_Z,logit,13181.90057,0.8054824
Z_W_7_OTHER,logit,3580.45938,0.819432684
Z_W_7_Z,logit,3580.45938,0.819432684
Z_W_8_OTHER,logit,836.2215832,0.808921362
Z_W_8_Z,logit,836.2215832,0.808921362
