framework,scenario,asset_class,shockfactor
SII_PIM with VA,OoS_2,Equity,1
SII_PIM with VA,OoS_1,Equity,1
SII_PIM with VA,R2-UR3P-8,Equity,1
SII_PIM with VA,R2-UR3P-7,Equity,1
SII_PIM with VA,R2-UR3P-6,Equity,1
SII_PIM with VA,R2-UR3P-5,Equity,1
SII_PIM with VA,R2-UR3P-4,Equity,1
SII_PIM with VA,R2-UR3P-3,Equity,1
SII_PIM with VA,R2-UR3P-2,Equity,1
SII_PIM with VA,R2-UR3P-1,Equity,1
SII_PIM with VA,R1-UR3P-8,Equity,1
SII_PIM with VA,R1-UR3P-7,Equity,1
SII_PIM with VA,R1-UR3P-6,Equity,1
SII_PIM with VA,R1-UR3P-5,Equity,1
SII_PIM with VA,R1-UR3P-4,Equity,1
SII_PIM with VA,R1-UR3P-3,Equity,1
SII_PIM with VA,R1-UR3P-2,Equity,1
SII_PIM with VA,R1-UR3P-1,Equity,1
SII_PIM with VA,R2-UR3C-8,Equity,1
SII_PIM with VA,R2-UR3C-7,Equity,1
SII_PIM with VA,R2-UR3C-6,Equity,1
SII_PIM with VA,R2-UR3C-5,Equity,1
SII_PIM with VA,R2-UR3C-4,Equity,1
SII_PIM with VA,R2-UR3C-3,Equity,1
SII_PIM with VA,R2-UR3C-2,Equity,1
SII_PIM with VA,R2-UR3C-1,Equity,1
SII_PIM with VA,R1-UR3C-8,Equity,1
SII_PIM with VA,R1-UR3C-7,Equity,1
SII_PIM with VA,R1-UR3C-6,Equity,1
SII_PIM with VA,R1-UR3C-5,Equity,1
SII_PIM with VA,R1-UR3C-4,Equity,1
SII_PIM with VA,R1-UR3C-3,Equity,1
SII_PIM with VA,R1-UR3C-2,Equity,1
SII_PIM with VA,R1-UR3C-1,Equity,1
SII_PIM with VA,R2-UR1LL-8,Equity,1
SII_PIM with VA,R2-UR1LL-7,Equity,1
SII_PIM with VA,R2-UR1LL-6,Equity,1
SII_PIM with VA,R2-UR1LL-5,Equity,1
SII_PIM with VA,R2-UR1LL-4,Equity,1
SII_PIM with VA,R2-UR1LL-3,Equity,1
SII_PIM with VA,R2-UR1LL-2,Equity,1
SII_PIM with VA,R2-UR1LL-1,Equity,1
SII_PIM with VA,R1-UR1LL-8,Equity,1
SII_PIM with VA,R1-UR1LL-7,Equity,1
SII_PIM with VA,R1-UR1LL-6,Equity,1
SII_PIM with VA,R1-UR1LL-5,Equity,1
SII_PIM with VA,R1-UR1LL-4,Equity,1
SII_PIM with VA,R1-UR1LL-3,Equity,1
SII_PIM with VA,R1-UR1LL-2,Equity,1
SII_PIM with VA,R1-UR1LL-1,Equity,1
SII_PIM with VA,R2-UR1LT-8,Equity,1
SII_PIM with VA,R2-UR1LT-7,Equity,1
SII_PIM with VA,R2-UR1LT-6,Equity,1
SII_PIM with VA,R2-UR1LT-5,Equity,1
SII_PIM with VA,R2-UR1LT-4,Equity,1
SII_PIM with VA,R2-UR1LT-3,Equity,1
SII_PIM with VA,R2-UR1LT-2,Equity,1
SII_PIM with VA,R2-UR1LT-1,Equity,1
SII_PIM with VA,R1-UR1LT-8,Equity,1
SII_PIM with VA,R1-UR1LT-7,Equity,1
SII_PIM with VA,R1-UR1LT-6,Equity,1
SII_PIM with VA,R1-UR1LT-5,Equity,1
SII_PIM with VA,R1-UR1LT-4,Equity,1
SII_PIM with VA,R1-UR1LT-3,Equity,1
SII_PIM with VA,R1-UR1LT-2,Equity,1
SII_PIM with VA,R1-UR1LT-1,Equity,1
SII_PIM with VA,R-R-8,Equity,1
SII_PIM with VA,R-R-7,Equity,1
SII_PIM with VA,R-R-6,Equity,1
SII_PIM with VA,R-R-5,Equity,1
SII_PIM with VA,R-R-4,Equity,1
SII_PIM with VA,R-R-3,Equity,1
SII_PIM with VA,R-R-2,Equity,1
SII_PIM with VA,R-R-1,Equity,1
SII_PIM with VA,R3_6,Equity,1
SII_PIM with VA,R3_5,Equity,1
SII_PIM with VA,R3_4,Equity,1
SII_PIM with VA,R3_3,Equity,1
SII_PIM with VA,R3_2,Equity,1
SII_PIM with VA,R3_1,Equity,1
SII_PIM with VA,R2_8,Equity,1
SII_PIM with VA,R2_7,Equity,1
SII_PIM with VA,R2_6,Equity,1
SII_PIM with VA,R2_5,Equity,1
SII_PIM with VA,R2_4,Equity,1
SII_PIM with VA,R2_3,Equity,1
SII_PIM with VA,R2_2,Equity,1
SII_PIM with VA,R2_1,Equity,1
SII_PIM with VA,R1_8,Equity,1
SII_PIM with VA,R1_7,Equity,1
SII_PIM with VA,R1_6,Equity,1
SII_PIM with VA,R1_5,Equity,1
SII_PIM with VA,R1_4,Equity,1
SII_PIM with VA,R1_3,Equity,1
SII_PIM with VA,R1_2,Equity,1
SII_PIM with VA,R1_1,Equity,1
SII_PIM with VA,IR2_6,Equity,1.76899885
SII_PIM with VA,IR2_4,Equity,1.23850416
SII_PIM with VA,IR2_3,Equity,0.7780398
SII_PIM with VA,IR2_1,Equity,0.2276019
SII_PIM with VA,equity (+25%),Equity,1.25
SII_PIM with VA,equity  (-25%),Equity,0.75
SII_PIM with VA,IR2_EQ_EM_PE 40dn,Equity,0.6
SII_PIM with VA,IR2_EQ_EM_PE 20up,Equity,1.2
SII_PIM with VA,IR2_EQ_EM_PE 20dn,Equity,0.8
SII_PIM with VA,MR1_200dn,Equity,1
SII_PIM with VA,MR1_200up,Equity,1
SII_PIM with VA,MR1_100dn,Equity,1
SII_PIM with VA,MR1_100up,Equity,1
SII_PIM with VA,IR2_EQ_EM_PE 10up,Equity,1.1
SII_PIM with VA,IR2_EQ_EM_PE 10dn,Equity,0.9
SII_PIM with VA,IR3 SF scope (nonAPR),Equity,1
SII_PIM with VA,IR2_Type2_up,Equity,1
SII_PIM with VA,IR2_up,Equity,1.47178773
SII_PIM with VA,IR2_Type2_dn,Equity,1
SII_PIM with VA,IR2_dn,Equity,0.55988393
SII_PIM with VA,IR1,Equity,1
SII_PIM with VA,PC3-,Equity,1
SII_PIM with VA,PC2-,Equity,1
SII_PIM with VA,PC1-,Equity,1
SII_PIM with VA,PC3+,Equity,1
SII_PIM with VA,PC2+,Equity,1
SII_PIM with VA,PC1+,Equity,1
SII_SF with VA,MR3,Equity,1
SII_SF with VA,IR3,Equity,1
SII_SF with VA,IR2_Type2_up,Equity,1
SII_SF with VA,IR2_up,Equity,1.40760778
SII_SF with VA,IR2_Type2_dn,Equity,1
