scenario,setting,value,label,cutoffdate,runkey,application,jobid
SIIreview.RM2.VE20.IR1 Corp -50bps,Model-Parameters,"",2023Q1,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,MortalityShockType,"",n/a,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR1 scaling,"",Same as scenario: SIIreview.RM2.VE20,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,RiskMargin Lamda Floor (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,RiskMargin Lambda,0.975,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,RiskMargin CoC (%),-1.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,Curve Convergence (%),20.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,SII_Curve_EIOPA_SIIReview,"",SII Review,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,HICP_curve,"",HICP_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,SII_onlyVA_forward_curve,"",SII_Review_T_onlyVA_forward_alpha020_VA_8dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,SII_onlyVA_spot_curve,"",SII_Review_T_onlyVA_spot_alpha020_VA_8dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,SII_noVA_curve,"",SII_Review_T_noVA_alpha020,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,SII_curve,"",SII_Review_T_alpha020_VA_8dn,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,Mortgage_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,Asset_curve,"",Asset_T_Base,2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,LACDT (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR5 Expense (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR4 Claims (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR3 lapse individual life (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR3C Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR3P Mortgage Prepayment NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR2C Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR2C Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR2P Recovery (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR2P Disability (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR1P Mortality (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR1LT NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
SIIreview.RM2.VE20.IR1 Corp -50bps,UR1LL NL (%),0.0,"",2023-03-31,Sens-2023Q1,2023Q1_Sensitivities,202304061926
