calendar_year,add_return
2016,0.0039
2017,0.0259
2018,0.0234
2019,0.0209
2020,0.0184
2021,0.0159
2022,0.0134
2023,0.0109
2024,0.0084
2025,0.0039
2026,0.0039
2027,0.0039
2028,0.0039
2029,0.0039
2030,0.0039
2031,0.0039
2032,0.0039
2033,0.0039
2034,0.0039
2035,0.0039
2036,0.0039
2037,0.0039
2038,0.0039
2039,0.0039
2040,0.0039
2041,0.0039
2042,0.0039
2043,0.0039
2044,0.0039
2045,0.0039
2046,0.0039
2047,0.0039
2048,0.0039
2049,0.0039
2050,0.0039
2051,0.0039
2052,0.0039
2053,0.0039
2054,0.0039
2055,0.0039
2056,0.0039
2057,0.0039
2058,0.0039
2059,0.0039
2060,0.0039
2061,0.0039
2062,0.0039
2063,0.0039
2064,0.0039
2065,0.0039
2066,0.0039
2067,0.0039
2068,0.0039
2069,0.0039
2070,0.0039
2071,0.0039
2072,0.0039
2073,0.0039
2074,0.0039
2075,0.0039
2076,0.0039
2077,0.0039
2078,0.0039
2079,0.0039
2080,0.0039
2081,0.0039
2082,0.0039
2083,0.0039
2084,0.0039
2085,0.0039
2086,0.0039
2087,0.0039
2088,0.0039
2089,0.0039
2090,0.0039
2091,0.0039
2092,0.0039
2093,0.0039
2094,0.0039
2095,0.0039
2096,0.0039
2097,0.0039
2098,0.0039
2099,0.0039
2100,0.0039
2101,0.0039
2102,0.0039
2103,0.0039
2104,0.0039
2105,0.0039
2106,0.0039
2107,0.0039
2108,0.0039
2109,0.0039
2110,0.0039
2111,0.0039
2112,0.0039
2113,0.0039
2114,0.0039
2115,0.0039
