herkomstcode,comm_payment,exp_adj_pc_paidup
CA,0,0.002
GB,0,0.002
GT,0,0.002
LV,0,0.002
SD,0,0.002
SF,0,0.002
SG,0,0.002
SV,0,0.002
VG,0,0.002
VP,0,0.002
VT,0,0.002
ZG,0,0.002
0,0,0.002
1,1,0.002
2,0,0.002
3,0,0.002
4,0,0.002
5,0,0.002
6,0,0.002
7,0,0.002
8,0,0.002
9,0,0.002
10,0,0.002
11,0,0.002
12,0,0.002
13,0,0.002
14,0,0.002
15,0,0.002
16,0,0.002
17,0,0.002
18,0,0.002
19,0,0.002
20,0,0.002
21,0,0.002
22,0,0.002
23,0,0.002
24,0,0.002
25,0,0.002
26,0,0.002
27,0,0.002
28,0,0.002
29,0,0.002
30,0,0.005
31,0,0.005
32,0,0.005
33,0,0.005
34,0,0.005
35,0,0.005
36,0,0.005
37,0,0.005
38,0,0.005
39,0,0.005
40,0,0.005
41,0,0.005
42,0,0.005
43,0,0.005
44,0,0.005
45,0,0.005
46,0,0.005
47,0,0.005
48,0,0.005
49,0,0.005
50,0,0.005
51,0,0.005
52,0,0.005
53,0,0.005
54,0,0.0025
55,0,0.005
56,0,0.005
57,0,0.005
58,0,0.002
59,0,0.002
60,0,0.002
61,0,0.002
62,0,0.002
63,0,0.002
64,0,0.002
65,0,0.002
66,0,0.002
67,0,0.002
68,0,0.0025
69,0,0.0025
70,0,0.002
71,0,0.002
72,0,0.002
73,0,0.002
74,0,0.002
75,0,0.002
76,0,0.002
77,0,0.002
78,0,0.002
79,0,0.002
80,0,0.002
81,0,0.002
82,0,0.002
83,0,0.002
84,0,0.002
85,0,0.002
86,0,0.002
87,0,0.003
88,0,0.003
