prodbm_cd,policy_year,value
BUDGETFOND,1,0.0
BUDGETFOND,2,0.0
BUDGETFOND,3,0.0
BUDGETFOND,4,0.0
BUDGETFOND,5,0.06
BUDGETFOND,6,0.12
BUDGETFOND,7,0.18
BUDGETFOND,8,0.24
BUDGETFOND,9,0.3
BUDGETFOND,10,0.36
BUDGETFOND,11,0.42
BUDGETFOND,12,0.48
BUDGETFOND,13,0.54
BUDGETFOND,14,0.6
BUDGETFOND,15,0.66
BUDGETFOND,16,0.72
BUDGETFOND,17,0.78
BUDGETFOND,18,0.84
BUDGETFOND,19,0.9
BUDGETFOND,20,0.96
BUDGETFOND,21,1.02
BUDGETFOND,22,1.08
BUDGETFOND,23,1.14
BUDGETFOND,24,1.2
BUDGETFOND,25,1.26
BUDGETFOND,26,1.32
BUDGETFOND,27,1.38
BUDGETFOND,28,1.44
BUDGETFOND,29,1.5
BUDGETFOND,30,1.56
BUDGETFOND,31,1.62
BUDGETFOND,32,1.68
BUDGETFOND,33,1.74
BUDGETFOND,34,1.8
BUDGETFOND,35,1.86
BUDGETFOND,36,1.92
BUDGETFOND,37,1.98
BUDGETFOND,38,2.04
BUDGETFOND,39,2.1
BUDGETFOND,40,2.16
BUDGETFOND,41,2.22
BUDGETFOND,42,2.28
BUDGETFOND,43,2.34
BUDGETFOND,44,2.4
BUDGETFOND,45,2.46
BUDGETFOND,46,2.52
BUDGETFOND,47,2.58
BUDGETFOND,48,2.64
BUDGETFOND,49,2.7
BUDGETFOND,50,2.76
BUDGETFOND,51,2.82
BUDGETFOND,52,2.88
BUDGETFOND,53,2.94
BUDGETFOND,54,3.0
BUDGETFOND,55,3.06
BUDGETFOND,56,3.12
BUDGETFOND,57,3.18
BUDGETFOND,58,3.24
BUDGETFOND,59,3.3
BUDGETFOND,60,3.36
BUDGETFOND,61,3.42
BUDGETFOND,62,3.48
BUDGETFOND,63,3.54
BUDGETFOND,64,3.6
BUDGETFOND,65,3.66
BUDGETFOND,66,3.72
BUDGETFOND,67,3.78
BUDGETFOND,68,3.84
BUDGETFOND,69,3.9
BUDGETFOND,70,3.96
BUDGETFOND,71,4.02
BUDGETFOND,72,4.08
BUDGETFOND,73,4.14
BUDGETFOND,74,4.2
BUDGETFOND,75,4.26
BUDGETFOND,76,4.32
BUDGETFOND,77,4.38
BUDGETFOND,78,4.44
BUDGETFOND,79,4.5
BUDGETFOND,80,4.56
BUDGETFOND,81,4.62
BUDGETFOND,82,4.68
BUDGETFOND,83,4.74
BUDGETFOND,84,4.8
BUDGETFOND,85,4.86
BUDGETFOND,86,4.92
BUDGETFOND,87,4.98
BUDGETFOND,88,5.04
BUDGETFOND,89,5.1
BUDGETFOND,90,5.16
BUDGETFOND,91,5.22
BUDGETFOND,92,5.28
BUDGETFOND,93,5.34
BUDGETFOND,94,5.4
BUDGETFOND,95,5.46
BUDGETFOND,96,5.52
BUDGETFOND,97,5.58
BUDGETFOND,98,5.64
BUDGETFOND,99,5.7
BUDGETFOND,100,5.76
PLUSFOND,1,0.0
PLUSFOND,2,0.0
PLUSFOND,3,0.0
PLUSFOND,4,0.3
PLUSFOND,5,0.36
PLUSFOND,6,0.42
PLUSFOND,7,0.48
PLUSFOND,8,0.54
PLUSFOND,9,0.6
PLUSFOND,10,0.66
PLUSFOND,11,0.72
PLUSFOND,12,0.78
PLUSFOND,13,0.84
PLUSFOND,14,0.9
PLUSFOND,15,0.95
PLUSFOND,16,0.95
PLUSFOND,17,0.95
PLUSFOND,18,0.95
PLUSFOND,19,0.95
PLUSFOND,20,0.95
PLUSFOND,21,0.95
PLUSFOND,22,0.95
PLUSFOND,23,0.95
PLUSFOND,24,0.95
PLUSFOND,25,0.95
PLUSFOND,26,0.95
PLUSFOND,27,0.95
PLUSFOND,28,0.95
PLUSFOND,29,0.95
PLUSFOND,30,0.95
PLUSFOND,31,0.95
PLUSFOND,32,0.95
PLUSFOND,33,0.95
PLUSFOND,34,0.95
PLUSFOND,35,0.95
PLUSFOND,36,0.95
PLUSFOND,37,0.95
PLUSFOND,38,0.95
PLUSFOND,39,0.95
PLUSFOND,40,0.95
PLUSFOND,41,0.95
PLUSFOND,42,0.95
PLUSFOND,43,0.95
PLUSFOND,44,0.95
PLUSFOND,45,0.95
PLUSFOND,46,0.95
PLUSFOND,47,0.95
PLUSFOND,48,0.95
PLUSFOND,49,0.95
PLUSFOND,50,0.95
PLUSFOND,51,0.95
PLUSFOND,52,0.95
PLUSFOND,53,0.95
PLUSFOND,54,0.95
PLUSFOND,55,0.95
PLUSFOND,56,0.95
PLUSFOND,57,0.95
PLUSFOND,58,0.95
PLUSFOND,59,0.95
PLUSFOND,60,0.95
PLUSFOND,61,0.95
PLUSFOND,62,0.95
PLUSFOND,63,0.95
PLUSFOND,64,0.95
PLUSFOND,65,0.95
PLUSFOND,66,0.95
PLUSFOND,67,0.95
PLUSFOND,68,0.95
PLUSFOND,69,0.95
PLUSFOND,70,0.95
PLUSFOND,71,0.95
PLUSFOND,72,0.95
PLUSFOND,73,0.95
PLUSFOND,74,0.95
PLUSFOND,75,0.95
PLUSFOND,76,0.95
PLUSFOND,77,0.95
PLUSFOND,78,0.95
PLUSFOND,79,0.95
PLUSFOND,80,0.95
PLUSFOND,81,0.95
PLUSFOND,82,0.95
PLUSFOND,83,0.95
PLUSFOND,84,0.95
PLUSFOND,85,0.95
PLUSFOND,86,0.95
PLUSFOND,87,0.95
PLUSFOND,88,0.95
PLUSFOND,89,0.95
PLUSFOND,90,0.95
PLUSFOND,91,0.95
PLUSFOND,92,0.95
PLUSFOND,93,0.95
PLUSFOND,94,0.95
PLUSFOND,95,0.95
PLUSFOND,96,0.95
PLUSFOND,97,0.95
PLUSFOND,98,0.95
PLUSFOND,99,0.95
PLUSFOND,100,0.95
