percentile,category,type_shock,gender,value
0.025,LYF,2+,Females,0.934686789
0.025,LYF,1,Females,0.934686789
0.025,SPB,2+,Females,0.934686789
0.025,SPB,1,Females,0.934686789
0.025,KBL,2+,Females,0.934686789
0.025,KBL,1,Females,0.934686789
0.025,KBO,2+,Females,0.947560327
0.025,KBO,1,Females,0.947560327
0.975,LYF,2+,Females,1.065313211
0.975,LYF,1,Females,1.065313211
0.975,SPB,2+,Females,1.065313211
0.975,SPB,1,Females,1.065313211
0.975,KBL,2+,Females,1.065313211
0.975,KBL,1,Females,1.065313211
0.975,KBO,2+,Females,1.052439673
0.975,KBO,1,Females,1.052439673
0.2,LYF,2+,Females,0.973565928
0.2,LYF,1,Females,0.973565928
0.2,SPB,2+,Females,0.973565928
0.2,SPB,1,Females,0.973565928
0.2,KBL,2+,Females,0.973565928
0.2,KBL,1,Females,0.973565928
0.2,KBO,2+,Females,0.978776207
0.2,KBO,1,Females,0.978776207
0.8,LYF,2+,Females,1.026434072
0.8,LYF,1,Females,1.026434072
0.8,SPB,2+,Females,1.026434072
0.8,SPB,1,Females,1.026434072
0.8,KBL,2+,Females,1.026434072
0.8,KBL,1,Females,1.026434072
0.8,KBO,2+,Females,1.021223793
0.8,KBO,1,Females,1.021223793
0.025,LYF,2+,Males,0.934686789
0.025,LYF,1,Males,0.934686789
0.025,SPB,2+,Males,0.934686789
0.025,SPB,1,Males,0.934686789
0.025,KBL,2+,Males,0.934686789
0.025,KBL,1,Males,0.934686789
0.025,KBO,2+,Males,0.947560327
0.025,KBO,1,Males,0.947560327
0.975,LYF,2+,Males,1.065313211
0.975,LYF,1,Males,1.065313211
0.975,SPB,2+,Males,1.065313211
0.975,SPB,1,Males,1.065313211
0.975,KBL,2+,Males,1.065313211
0.975,KBL,1,Males,1.065313211
0.975,KBO,2+,Males,1.052439673
0.975,KBO,1,Males,1.052439673
0.2,LYF,2+,Males,0.973565928
0.2,LYF,1,Males,0.973565928
0.2,SPB,2+,Males,0.973565928
0.2,SPB,1,Males,0.973565928
0.2,KBL,2+,Males,0.973565928
0.2,KBL,1,Males,0.973565928
0.2,KBO,2+,Males,0.978776207
0.2,KBO,1,Males,0.978776207
0.8,LYF,2+,Males,1.026434072
0.8,LYF,1,Males,1.026434072
0.8,SPB,2+,Males,1.026434072
0.8,SPB,1,Males,1.026434072
0.8,KBL,2+,Males,1.026434072
0.8,KBL,1,Males,1.026434072
0.8,KBO,2+,Males,1.021223793
0.8,KBO,1,Males,1.021223793
