name,comment,number,value
Cash Flow Timing,SII,1,0.5
Generic (Pension + Life) - not outsourcable,SII,2,0
Percentage Pension at start,SII,3,0.698956
Time span allocation from Life to Pension,SII,4,49
Fixed costs other (Only Life),SII,5,0
Cost per policy Life Individual2022,SII,6,47.685875
Cost per policy Life Individual2023,SII,7,44.852606
Cost per policy Life Individual2024,SII,8,44.218833
Cost per policy Life Individual2025,SII,9,45.6387
Cost per policy Life Individual2026,SII,10,49.791438
Cost per policy Life Individual2027,SII,11,44.266355
Cost per policy Life Individual2028,SII,12,46.647112
Apply delayed scalability,SII,13,1
Delay in scalability from year,SII,14,2029
No of years delay,SII,15,3
Correct for inflation,SII,16,1
Social plan costs as % of decrease in yearly costs,SII,17,1
Outsourcing after 2039 variable costs,SII,18,1
Outsourcing amount fixed,SII,19,0
Start year no inflation outsourcing,SII,20,2100
Percentage level risk - member,SII,21,0.1
Percentage inflation risk - member,SII,22,0.01
Level shock outsourcing IBM from year,SII,23,2040
Apply level shock to outsourcing costs,SII,24,0
Percentage partial LP bucket,LAT,25,0.75
Cash Flow Timing,LAT,26,0.5
Generic (Pension + Life) - not outsourcable,LAT,27,0
Percentage Pension at start,LAT,28,0.698956
Time span allocation from Life to Pension,LAT,29,49
Fixed costs other (Only Life),LAT,30,0
Cost per policy Life Individual2022,LAT,31,47.61
Cost per policy Life Individual2023,LAT,32,42.87
Cost per policy Life Individual2024,LAT,33,42.3
Cost per policy Life Individual2025,LAT,34,43.78
Cost per policy Life Individual2026,LAT,35,47.96
Cost per policy Life Individual2027,LAT,36,42.47
Cost per policy Life Individual2028,LAT,37,44.88
Apply delayed scalability,LAT,38,1
Delay in scalability from year,LAT,39,2029
No of years delay,LAT,40,3
Correct for inflation,LAT,41,1
Social plan costs as % of decrease in yearly costs,LAT,42,1
Outsourcing after 2039 variable costs,LAT,43,1
Outsourcing amount fixed,LAT,44,0
Start year no inflation outsourcing,LAT,45,2100
Percentage level risk - member,LAT,46,0.1
Percentage inflation risk - member,LAT,47,0
Level shock outsourcing IBM from year,LAT,48,2040
Apply level shock to outsourcing costs,LAT,49,0
IFRS17 - 2022,extra project costs input,50,500000
IFRS17 - 2023,extra project costs input,51,1500000
