prodboomcd,policy_year,value
AVN,0,0.0
AVN,1,0.5
AVN,2,0.5
AVN,3,0.5
AVN,4,0.5
AVN,5,0.5
AVN,6,0.5
AVN,7,0.5
AVN,8,0.5
AVN,9,0.5
AVN,10,0.5
AVN,11,0.5
AVN,12,0.5
AVN,13,0.5
AVN,14,0.5
AVN,15,0.5
AVN,16,0.5
AVN,17,0.5
AVN,18,0.5
AVN,19,0.5
AVN,20,0.5
AVN,21,0.5
AVN,22,0.5
AVN,23,0.5
AVN,24,0.5
AVN,25,0.5
AVN,26,0.5
AVN,27,0.5
AVN,28,0.5
AVN,29,0.5
AVN,30,0.5
AVN,31,0.5
AVN,32,0.5
AVN,33,0.5
AVN,34,0.5
AVN,35,0.5
AVN,36,0.5
AVN,37,0.5
AVN,38,0.5
AVN,39,0.5
AVN,40,0.5
AVN,41,0.5
AVN,42,0.5
AVN,43,0.5
AVN,44,0.5
AVN,45,0.5
AVN,46,0.5
AVN,47,0.5
AVN,48,0.5
AVN,49,0.5
AVN,50,0.5
AVN,51,0.5
AVN,52,0.5
AVN,53,0.5
AVN,54,0.5
AVN,55,0.5
AVN,56,0.5
AVN,57,0.5
AVN,58,0.5
AVN,59,0.5
AVN,60,0.5
AVN,61,0.5
AVN,62,0.5
AVN,63,0.5
AVN,64,0.5
AVN,65,0.5
AVN,66,0.5
AVN,67,0.5
AVN,68,0.5
AVN,69,0.5
AVN,70,0.5
AVN,71,0.5
AVN,72,0.5
AVN,73,0.5
AVN,74,0.5
AVN,75,0.5
AVN,76,0.5
AVN,77,0.5
AVN,78,0.5
AVN,79,0.5
AVN,80,0.5
AVN,81,0.5
AVN,82,0.5
AVN,83,0.5
AVN,84,0.5
AVN,85,0.5
AVN,86,0.5
AVN,87,0.5
AVN,88,0.5
AVN,89,0.5
AVN,90,0.5
AVN,91,0.5
AVN,92,0.5
AVN,93,0.5
AVN,94,0.5
AVN,95,0.5
AVN,96,0.5
AVN,97,0.5
AVN,98,0.5
AVN,99,0.5
AVN,100,0.5
AVN,101,0.5
AVN,102,0.5
AVN,103,0.5
AVN,104,0.5
AVN,105,0.5
AVN,106,0.5
AVN,107,0.5
AVN,108,0.5
AVN,109,0.5
AVN,110,0.5
AVN,111,0.5
AVN,112,0.5
AVN,113,0.5
AVN,114,0.5
AVN,115,0.5
AVN,116,0.5
AVN,117,0.5
AVN,118,0.5
AVN,119,0.5
AVN,120,0.5
BUDGETFOND,0,0.0
BUDGETFOND,1,0.8
BUDGETFOND,2,0.8
BUDGETFOND,3,0.8
BUDGETFOND,4,0.8
BUDGETFOND,5,0.8
BUDGETFOND,6,0.8
BUDGETFOND,7,0.8
BUDGETFOND,8,0.8
BUDGETFOND,9,0.8
BUDGETFOND,10,0.8
BUDGETFOND,11,0.8
BUDGETFOND,12,0.8
BUDGETFOND,13,0.8
BUDGETFOND,14,0.8
BUDGETFOND,15,0.8
BUDGETFOND,16,0.8
BUDGETFOND,17,0.8
BUDGETFOND,18,0.8
BUDGETFOND,19,0.8
BUDGETFOND,20,0.8
BUDGETFOND,21,0.8
BUDGETFOND,22,0.8
BUDGETFOND,23,0.8
BUDGETFOND,24,0.8
BUDGETFOND,25,0.8
BUDGETFOND,26,0.8
BUDGETFOND,27,0.8
BUDGETFOND,28,0.8
BUDGETFOND,29,0.8
BUDGETFOND,30,0.8
BUDGETFOND,31,0.8
BUDGETFOND,32,0.8
BUDGETFOND,33,0.8
BUDGETFOND,34,0.8
BUDGETFOND,35,0.8
BUDGETFOND,36,0.8
BUDGETFOND,37,0.8
BUDGETFOND,38,0.8
BUDGETFOND,39,0.8
BUDGETFOND,40,0.8
BUDGETFOND,41,0.8
BUDGETFOND,42,0.8
BUDGETFOND,43,0.8
BUDGETFOND,44,0.8
BUDGETFOND,45,0.8
BUDGETFOND,46,0.8
BUDGETFOND,47,0.8
BUDGETFOND,48,0.8
BUDGETFOND,49,0.8
BUDGETFOND,50,0.8
BUDGETFOND,51,0.8
BUDGETFOND,52,0.8
BUDGETFOND,53,0.8
BUDGETFOND,54,0.8
BUDGETFOND,55,0.8
BUDGETFOND,56,0.8
BUDGETFOND,57,0.8
BUDGETFOND,58,0.8
BUDGETFOND,59,0.8
BUDGETFOND,60,0.8
BUDGETFOND,61,0.8
BUDGETFOND,62,0.8
BUDGETFOND,63,0.8
BUDGETFOND,64,0.8
BUDGETFOND,65,0.8
BUDGETFOND,66,0.8
BUDGETFOND,67,0.8
BUDGETFOND,68,0.8
BUDGETFOND,69,0.8
BUDGETFOND,70,0.8
BUDGETFOND,71,0.8
BUDGETFOND,72,0.8
BUDGETFOND,73,0.8
BUDGETFOND,74,0.8
BUDGETFOND,75,0.8
BUDGETFOND,76,0.8
BUDGETFOND,77,0.8
BUDGETFOND,78,0.8
BUDGETFOND,79,0.8
BUDGETFOND,80,0.8
BUDGETFOND,81,0.8
BUDGETFOND,82,0.8
BUDGETFOND,83,0.8
BUDGETFOND,84,0.8
BUDGETFOND,85,0.8
BUDGETFOND,86,0.8
BUDGETFOND,87,0.8
BUDGETFOND,88,0.8
BUDGETFOND,89,0.8
BUDGETFOND,90,0.8
BUDGETFOND,91,0.8
BUDGETFOND,92,0.8
BUDGETFOND,93,0.8
BUDGETFOND,94,0.8
BUDGETFOND,95,0.8
BUDGETFOND,96,0.8
BUDGETFOND,97,0.8
BUDGETFOND,98,0.8
BUDGETFOND,99,0.8
BUDGETFOND,100,0.8
BUDGETFOND,101,0.8
BUDGETFOND,102,0.8
BUDGETFOND,103,0.8
BUDGETFOND,104,0.8
BUDGETFOND,105,0.8
BUDGETFOND,106,0.8
BUDGETFOND,107,0.8
BUDGETFOND,108,0.8
BUDGETFOND,109,0.8
BUDGETFOND,110,0.8
BUDGETFOND,111,0.8
BUDGETFOND,112,0.8
BUDGETFOND,113,0.8
BUDGETFOND,114,0.8
BUDGETFOND,115,0.8
BUDGETFOND,116,0.8
BUDGETFOND,117,0.8
BUDGETFOND,118,0.8
BUDGETFOND,119,0.8
BUDGETFOND,120,0.8
FP,0,0.0
FP,1,0.5
FP,2,0.5
FP,3,0.5
FP,4,0.5
FP,5,0.5
FP,6,0.5
FP,7,0.5
FP,8,0.5
FP,9,0.5
FP,10,0.5
FP,11,0.5
FP,12,0.5
FP,13,0.5
FP,14,0.5
FP,15,0.5
FP,16,0.5
FP,17,0.5
FP,18,0.5
FP,19,0.5
FP,20,0.5
FP,21,0.5
FP,22,0.5
FP,23,0.5
FP,24,0.5
FP,25,0.5
FP,26,0.5
FP,27,0.5
FP,28,0.5
FP,29,0.5
FP,30,0.5
FP,31,0.5
FP,32,0.5
FP,33,0.5
FP,34,0.5
FP,35,0.5
FP,36,0.5
FP,37,0.5
FP,38,0.5
FP,39,0.5
FP,40,0.5
FP,41,0.5
FP,42,0.5
FP,43,0.5
FP,44,0.5
FP,45,0.5
FP,46,0.5
FP,47,0.5
FP,48,0.5
FP,49,0.5
FP,50,0.5
FP,51,0.5
FP,52,0.5
FP,53,0.5
FP,54,0.5
FP,55,0.5
FP,56,0.5
FP,57,0.5
FP,58,0.5
FP,59,0.5
FP,60,0.5
FP,61,0.5
FP,62,0.5
FP,63,0.5
FP,64,0.5
FP,65,0.5
FP,66,0.5
FP,67,0.5
FP,68,0.5
FP,69,0.5
FP,70,0.5
FP,71,0.5
FP,72,0.5
FP,73,0.5
FP,74,0.5
FP,75,0.5
FP,76,0.5
FP,77,0.5
FP,78,0.5
FP,79,0.5
FP,80,0.5
FP,81,0.5
FP,82,0.5
FP,83,0.5
FP,84,0.5
FP,85,0.5
FP,86,0.5
FP,87,0.5
FP,88,0.5
FP,89,0.5
FP,90,0.5
FP,91,0.5
FP,92,0.5
FP,93,0.5
FP,94,0.5
FP,95,0.5
FP,96,0.5
FP,97,0.5
FP,98,0.5
FP,99,0.5
FP,100,0.5
FP,101,0.5
FP,102,0.5
FP,103,0.5
FP,104,0.5
FP,105,0.5
FP,106,0.5
FP,107,0.5
FP,108,0.5
FP,109,0.5
FP,110,0.5
FP,111,0.5
FP,112,0.5
FP,113,0.5
FP,114,0.5
FP,115,0.5
FP,116,0.5
FP,117,0.5
FP,118,0.5
FP,119,0.5
FP,120,0.5
KOERSPLAN,0,0.0
KOERSPLAN,1,0.8
KOERSPLAN,2,0.8
KOERSPLAN,3,0.8
KOERSPLAN,4,0.8
KOERSPLAN,5,0.8
KOERSPLAN,6,0.8
KOERSPLAN,7,0.8
KOERSPLAN,8,0.8
KOERSPLAN,9,0.8
KOERSPLAN,10,0.8
KOERSPLAN,11,0.8
KOERSPLAN,12,0.8
KOERSPLAN,13,0.8
KOERSPLAN,14,0.8
KOERSPLAN,15,0.8
KOERSPLAN,16,0.8
KOERSPLAN,17,0.8
KOERSPLAN,18,0.8
KOERSPLAN,19,0.8
KOERSPLAN,20,0.8
KOERSPLAN,21,0.8
KOERSPLAN,22,0.8
KOERSPLAN,23,0.8
KOERSPLAN,24,0.8
KOERSPLAN,25,0.8
KOERSPLAN,26,0.8
KOERSPLAN,27,0.8
KOERSPLAN,28,0.8
KOERSPLAN,29,0.8
KOERSPLAN,30,0.8
KOERSPLAN,31,0.8
KOERSPLAN,32,0.8
KOERSPLAN,33,0.8
KOERSPLAN,34,0.8
KOERSPLAN,35,0.8
KOERSPLAN,36,0.8
