date_time,scenario,source,currency,ccy_name,name,item,period,ask,bid,mid,mid_ccy_usd,eur_usd,eur_ccy,ccy_eur,usd_ccy,ccy_usd
2023-03-31,ACCOUNTING,BLOOMBERG,AED,UAE Dirham,USD/AED,AED WMCD Curncy,SPOT,3.673000000,3.672000000,3.672500000,3.672500000,1.086450000,3.989987600,0.250627300,3.672500000,0.272294100
2023-03-31,ACCOUNTING,BLOOMBERG,ANG,Antillean guilder,USD/ANG,ANG WMCD Curncy,SPOT,1.790000000,1.790000000,1.790000000,1.790000000,1.086450000,1.944745500,0.514206100,1.790000000,0.558659200
2023-03-31,ACCOUNTING,BLOOMBERG,ARS,Argentine Peso,USD/ARS,ARS WMCD Curncy,SPOT,208.996000000,208.986200000,208.991100000,208.991100000,1.086450000,227.058380600,0.004404200,208.991100000,0.004784900
2023-03-31,ACCOUNTING,BLOOMBERG,AUD,Australian Dollar,AUD/USD,AUD WMCD Curncy,SPOT,0.669900000,0.669600000,0.669750000,1.493094400,1.086450000,1.622172500,0.616457300,1.493094400,0.669750000
2023-03-31,ACCOUNTING,BLOOMBERG,BOB,Bolivia Boivianos,USD/BOB,BOB WMCD Curncy,SPOT,6.960000000,6.860000000,6.910000000,6.910000000,1.086450000,7.507369500,0.133202400,6.910000000,0.144717800
2023-03-31,ACCOUNTING,BLOOMBERG,BRL,Brazilian Real,USD/BRL,BRL WMCD Curncy,SPOT,5.070600000,5.069900000,5.070250000,5.070250000,1.086450000,5.508573100,0.181535200,5.070250000,0.197228900
2023-03-31,ACCOUNTING,BLOOMBERG,CAD,Canadian Dollar,USD/CAD,CAD WMCD Curncy,SPOT,1.353500000,1.353200000,1.353350000,1.353350000,1.086450000,1.470347100,0.680111500,1.353350000,0.738907200
2023-03-31,ACCOUNTING,BLOOMBERG,CHF,Swiss Franc,USD/CHF,CHF WMCD Curncy,SPOT,0.913700000,0.913400000,0.913550000,0.913550000,1.086450000,0.992526400,1.007529900,0.913550000,1.094630800
2023-03-31,ACCOUNTING,BLOOMBERG,CLP,Chilean Peso,USD/CLP,CLP WMCD Curncy,SPOT,791.000000000,790.220000000,790.610000000,790.610000000,1.086450000,858.958234500,0.001164200,790.610000000,0.001264800
2023-03-31,ACCOUNTING,BLOOMBERG,CNY,Yuan Renminbi,USD/CNY,CNY WMCD Curncy,SPOT,6.872900000,6.870800000,6.871850000,6.871850000,1.086450000,7.465921400,0.133941900,6.871850000,0.145521200
