POSTID,KEYFIELD,PRODUCT,GROUP,KSTVLGNR,KSTCD,KSTTOTBD,KSTVBGJR,KSTVBGMD,CHGPERIOD
613457260,613457260,CHARGE,chg,1,1,8.64,2007,2,120.00
613457450,613457450,CHARGE,chg,1,1,7.56,2007,5,120.00
613457780,613457780,CHARGE,chg,1,1,0.24,2005,6,120.00
613458460,613458460,CHARGE,chg,1,1,39.72,2005,3,120.00
613458460,613458460,CHARGE,chg,2,1,66.72,2007,2,120.00
613458820,613458820,CHARGE,chg,1,1,24.36,2015,3,120.00
613458820,613458820,CHARGE,chg,2,1,19.56,2016,2,120.00
613460550,613460550,CHARGE,chg,1,1,52.44,2004,10,120.00
613460960,613460960,CHARGE,chg,1,1,6.00,2006,7,120.00
613461950,613461950,CHARGE,chg,1,1,90.48,2004,2,120.00
613462020,613462020,CHARGE,chg,1,1,34.80,2004,11,120.00
613462040,613462040,CHARGE,chg,1,1,91.92,2004,11,120.00
613462110,613462110,CHARGE,chg,1,1,579.96,2005,5,120.00
613462120,613462120,CHARGE,chg,1,1,151.92,2005,8,120.00
613467350,613467350,CHARGE,chg,1,1,30.84,2011,7,120.00
613474150,613474150,CHARGE,chg,1,1,33.96,2008,2,120.00
613478270,613478270,CHARGE,chg,1,1,52.68,2007,1,120.00
613478550,613478550,CHARGE,chg,1,1,48.12,2004,12,120.00
613478840,613478840,CHARGE,chg,1,1,54.36,2005,1,120.00
613478970,613478970,CHARGE,chg,1,1,3.36,2005,2,120.00
613480200,613480200,CHARGE,chg,1,1,36.00,2005,9,120.00
613483470,613483470,CHARGE,chg,1,1,127.68,2017,8,71.00
613525230,613525230,CHARGE,chg,1,1,35.40,2006,9,120.00
613537880,613537880,CHARGE,chg,1,1,115.56,2005,3,120.00
613538540,613538540,CHARGE,chg,1,1,16.08,2005,3,120.00
613551990,613551990,CHARGE,chg,1,1,7.80,2004,4,120.00
613553370,613553370,CHARGE,chg,1,1,15.24,2005,1,120.00
613553530,613553530,CHARGE,chg,1,1,9.36,2004,10,120.00
613563660,613563660,CHARGE,chg,1,1,7.56,2021,7,83.00
613566120,613566120,CHARGE,chg,1,1,18.96,2008,4,120.00
613566990,613566990,CHARGE,chg,1,1,15.24,2005,4,120.00
613567480,613567480,CHARGE,chg,1,1,72.24,2006,11,120.00
613568670,613568670,CHARGE,chg,1,1,34.68,2006,4,120.00
613571280,613571280,CHARGE,chg,1,1,128.76,2005,6,120.00
613575720,613575720,CHARGE,chg,1,1,11.64,2015,4,120.00
613578570,613578570,CHARGE,chg,1,1,8.04,2004,8,120.00
613580050,613580050,CHARGE,chg,1,1,3.36,2003,12,120.00
613580560,613580560,CHARGE,chg,1,1,9.60,2005,10,120.00
613583260,613583260,CHARGE,chg,1,1,102.60,2004,4,120.00
613584090,613584090,CHARGE,chg,1,1,30.36,2004,6,120.00
613584090,613584090,CHARGE,chg,2,1,48.60,2007,6,120.00
613584670,613584670,CHARGE,chg,1,1,60.00,2006,12,120.00
613585070,613585070,CHARGE,chg,1,1,30.72,2005,2,120.00
