POSTID,KEYFIELD,PRODUCT,GROUP,FONDSCD,UNITAANT,GARKAP,BELEGPRC,PRODBOOMCD,TARCD,UNITSAVPRT,UNITSRV_PP,UNITEXT_BP
613453430,613453430,FUND,F,1,629.8983,0.00,100.000000,KOERSPLAN,KOERSPLAN,600.5018,29.3965,0.0000
613453470,613453470,FUND,F,1,580.0354,0.00,100.000000,KOERSPLAN,KOERSPLAN,563.2931,13.1312,3.6111
613453480,613453480,FUND,F,3,379.1982,10800.00,100.000000,KOERSPLAN,KOERSPLAN,370.0761,8.0036,1.1185
613453670,613453670,FUND,F,1,307.8894,0.00,100.000000,KOERSPLAN,KOERSPLAN,287.5503,20.3391,0.0000
613453680,613453680,FUND,F,1,747.2566,0.00,100.000000,KOERSPLAN,KOERSPLAN,715.5636,24.7671,6.9259
613453700,613453700,FUND,F,1,144.3622,0.00,100.000000,KOERSPLAN,KOERSPLAN,140.4400,3.9222,0.0000
613453730,613453730,FUND,F,5,1234.6061,0.00,100.000000,KOERSPLAN,KOERSPLAN,1180.7607,44.0600,9.7854
613453740,613453740,FUND,F,1,446.9631,0.00,100.000000,KOERSPLAN,KOERSPLAN,436.9997,8.9217,1.0417
613453830,613453830,FUND,F,1,809.3152,0.00,100.000000,KOERSPLAN,KOERSPLAN,785.8086,18.2408,5.2658
613453840,613453840,FUND,F,3,447.2834,0.00,100.000000,KOERSPLAN,KOERSPLAN,433.0547,14.2287,0.0000
613453910,613453910,FUND,F,1,225.7441,0.00,100.000000,KOERSPLAN,KOERSPLAN,218.7043,7.0398,0.0000
613453920,613453920,FUND,F,1,283.0977,0.00,100.000000,KOERSPLAN,KOERSPLAN,265.2556,17.8421,0.0000
613453950,613453950,FUND,F,1,377.1049,0.00,100.000000,KOERSPLAN,KOERSPLAN,352.5614,24.5435,0.0000
613453970,613453970,FUND,F,1,883.2473,0.00,100.000000,KOERSPLAN,KOERSPLAN,871.0212,9.6477,2.5784
613453980,613453980,FUND,F,1,284.8612,0.00,100.000000,KOERSPLAN,KOERSPLAN,275.4530,5.3690,4.0392
613454040,613454040,FUND,F,1,579.2040,0.00,100.000000,KOERSPLAN,KOERSPLAN,572.1083,6.2589,0.8368
613454270,613454270,FUND,F,1,555.1947,0.00,100.000000,KOERSPLAN,KOERSPLAN,533.7164,17.2174,4.2609
613454300,613454300,FUND,F,1,626.7552,0.00,100.000000,KOERSPLAN,KOERSPLAN,596.1675,30.5877,0.0000
613454400,613454400,FUND,F,1,290.8162,0.00,100.000000,KOERSPLAN,KOERSPLAN,284.1940,3.2188,3.4034
613454750,613454750,FUND,F,1,542.6550,0.00,100.000000,KOERSPLAN,KOERSPLAN,519.4760,21.0880,2.0910
613454830,613454830,FUND,F,1,69.5934,0.00,100.000000,KOERSPLAN,KOERSPLAN,67.8605,1.7329,0.0000
613454860,613454860,FUND,F,1,333.5142,0.00,100.000000,KOERSPLAN,KOERSPLAN,320.3047,11.2400,1.9695
613454890,613454890,FUND,F,1,1003.6154,0.00,100.000000,KOERSPLAN,KOERSPLAN,965.5589,32.5328,5.5237
613454940,613454940,FUND,F,3,496.7984,0.00,100.000000,KOERSPLAN,FISCAALVOORDEELPLAN,475.3515,21.4469,0.0000
613455010,613455010,FUND,F,3,297.2922,10891.00,100.000000,KOERSPLAN,KOERSPLAN,293.0072,3.3259,0.9591
613455070,613455070,FUND,F,1,384.6936,0.00,100.000000,KOERSPLAN,KOERSPLAN,364.3368,20.3568,0.0000
613455090,613455090,FUND,F,1,337.2914,0.00,100.000000,KOERSPLAN,KOERSPLAN,324.7776,10.6020,1.9118
